,language,round,elevation
abau1245,Abau,3,51
achi1257,Achinese,12,12
adam1253,Adamawa Fulfulde,4,370
adan1251,Adang,13,316
aheu1239,Thavung,23,150
akha1245,Akha,6,1109
akla1241,Aklanon,2,140
alya1239,Alyawarr,6,240
aman1265,Amanab,3,412
ambe1247,Ambele,11,429
ambu1247,Ambulas,3,101
anei1239,Aneityum,5,557
anti1245,Antigua and Barbuda Creole English,6,24
anua1242,Anuak,11,432
apur1254,Apurinã,8,138
arag1245,Aragonese,17,657
aran1237,Arandai,2,20
arhu1242,Arhuaco,8,3650
auuu1241,Au,5,356
awac1239,Awa-Cuaiquer,3,453
awar1248,Awara,6,1281
awin1248,Awing,13,1972
awtu1239,Awtuw,3,241
baba1264,Baba,3,1527
baba1266,Babanki,3,1731
bafa1247,Bafaw-Balong,7,98
baga1272,Baga Sitemu,4,3
baga1273,Baga Koga,4,17
bako1249,Bakoko,7,26
bako1250,Bakole,6,31
bamb1265,Bambalang,17,1150
bame1260,Bamenyam,18,1222
bamu1253,Bamun,5,960
bamu1256,Bamunka,4,1171
bang1356,Bangolan,4,1207
bani1255,Baniwa do Icana,7,152
baou1238,Baoulé,4,9
barb1263,Barbareño,8,315
bari1286,Bariai,2,237
baru1269,Baruga,4,63
bata1285,Batanga,5,46
bata1289,Batak Toba,4,948
befa1241,Befang,13,573
beli1260,Belize Kriol English,5,33
bemb1257,Bemba (Zambia),5,1257
berb1259,Berbice Creole Dutch,3,25
bett1235,Betta Kurumba,5,1042
biak1248,Biak,5,187
bili1250,Bilinarra,3,254
bilo1248,Biloxi,4,81
bilu1245,Bilua,16,176
bina1277,Binandere,13,35
binu1245,Binumarien,3,883
blan1242,Blang,7,1229
boik1241,Boikin,4,235
bond1245,Bondo,3,100
bong1285,Bongo,6,504
boro1277,Boro (Ethiopia),4,840
brok1247,Brokskat,4,3231
bubi1249,Bubia,9,166
buku1249,Bukusu,5,1631
bumb1241,Bumbita Arapesh,4,204
cavi1250,Cavineña,3,173
cham1318,Chamicuro,5,129
chec1245,Chechen,6,178
chee1238,Che,19,999
chep1245,Chepang,3,1595
chic1270,Chickasaw,4,266
chim1300,Chimalapa Zoque,3,263
chim1301,Chimariko,5,1740
chim1302,Chimborazo Highland Quichua,3,3888
choc1276,Choctaw,3,137
chol1282,Chol,3,260
chon1284,Chong of Chanthaburi,8,21
chra1242,Chrau,6,182
coeu1236,Coeur d'Alene,15,803
colo1256,Tsafiki,4,440
coma1245,Comanche,4,332
como1259,Comox,9,42
croa1245,Croatian Standard,4,92
crow1244,Crow,5,1014
cupe1243,Cupeño,8,1443
cuvo1236,Cuvok,1,718
czec1258,Czech,7,468
deny1238,Denya,5,133
diml1238,Dimli,8,1667
dobu1241,Dobu,9,32
dupa1235,Dupaninan Agta,3,759
dutc1256,Dutch,9,-3
east2295,Eastern Yiddish,3,187
east2328,Eastern Mari,4,45
east2398,Eastern Karaboro,4,264
east2440,East Makian,6,308
egaa1242,Ega,5,109
eggo1239,Eggon,4,161
ekpe1253,Ekpeye,6,15
elip1238,Elip,4,440
esim1238,Esimbi,4,693
faiw1243,Faiwol,4,1233
fang1246,Fang (Equatorial Guinea),7,625
fili1244,Filipino,5,46
friu1240,Friulian,7,194
furu1242,Furu,7,406
fwee1238,Fwe,25,940
gali1258,Galician,4,1107
gayo1244,Gayo,4,1067
gbar1246,Gbari,3,156
gbay1281,Gbaya-Mbodomo,4,697
gida1247,Gidar,5,394
goli1247,Golin,5,1743
guaj1255,Guajajára,5,308
guan1269,Kotiria,4,143
guja1253,Gujari,8,862
gunw1252,Bininj Kun-Wok,3,72
halk1245,Halkomelem,11,94
hang1263,Hanga Hundi,3,54
haya1250,Haya,5,1435
hoav1238,Hoava,2,254
huam1248,Huamalíes-Dos de Mayo Huánuco Quechua,5,1471
huar1255,Huarijio,8,1203
huas1242,Huastec,7,69
huay1240,Huaylas Ancash Quechua,5,4528
hueh1236,Huehuetla Tepehua,5,331
huic1243,Huichol,4,1170
hung1278,Hungana-Saamba,5,355
hupd1244,Hupdë,5,156
iban1261,Ibani,5,5
ibib1240,Ibibio,7,47
idaa1241,Ida'an,3,64
ilok1237,Iloko,2,287
imon1245,Imonda,4,284
indo1316,Indonesian,5,556
ingu1240,Ingush,5,661
