,language,sonorant,elevation
abau1245,Abau,10,51
achi1257,Achinese,42,12
adam1253,Adamawa Fulfulde,17,370
adan1251,Adang,28,316
aheu1239,Thavung,88,150
akha1245,Akha,19,1109
akla1241,Aklanon,10,140
alya1239,Alyawarr,20,240
aman1265,Amanab,11,412
ambe1247,Ambele,18,429
ambu1247,Ambulas,15,101
anei1239,Aneityum,14,557
anti1245,Antigua and Barbuda Creole English,20,24
anua1242,Anuak,33,432
apur1254,Apurinã,32,138
arag1245,Aragonese,33,657
aran1237,Arandai,8,20
arhu1242,Arhuaco,19,3650
auuu1241,Au,12,356
awac1239,Awa-Cuaiquer,13,453
awar1248,Awara,12,1281
awin1248,Awing,27,1972
awtu1239,Awtuw,14,241
baba1264,Baba,16,1527
baba1266,Babanki,14,1731
bafa1247,Bafaw-Balong,23,98
baga1272,Baga Sitemu,15,3
baga1273,Baga Koga,16,17
bako1249,Bakoko,15,26
bako1250,Bakole,16,31
bamb1265,Bambalang,27,1150
bame1260,Bamenyam,25,1222
bamu1253,Bamun,19,960
bamu1256,Bamunka,16,1171
bang1356,Bangolan,16,1207
bani1255,Baniwa do Icana,21,152
baou1238,Baoulé,11,9
barb1263,Barbareño,32,315
bari1286,Bariai,10,237
baru1269,Baruga,14,63
bata1285,Batanga,14,46
bata1289,Batak Toba,16,948
befa1241,Befang,24,573
beli1260,Belize Kriol English,20,33
bemb1257,Bemba (Zambia),17,1257
berb1259,Berbice Creole Dutch,12,25
bett1235,Betta Kurumba,24,1042
biak1248,Biak,16,187
bili1250,Bilinarra,18,254
bilo1248,Biloxi,12,81
bilu1245,Bilua,31,176
bina1277,Binandere,28,35
binu1245,Binumarien,10,883
blan1242,Blang,26,1229
boik1241,Boikin,17,235
bond1245,Bondo,15,100
bong1285,Bongo,17,504
boro1277,Boro (Ethiopia),13,840
brok1247,Brokskat,15,3231
bubi1249,Bubia,22,166
buku1249,Bukusu,18,1631
bumb1241,Bumbita Arapesh,11,204
cavi1250,Cavineña,11,173
cham1318,Chamicuro,18,129
chec1245,Chechen,18,178
chee1238,Che,37,999
chep1245,Chepang,13,1595
chic1270,Chickasaw,14,266
chim1300,Chimalapa Zoque,13,263
chim1301,Chimariko,15,1740
chim1302,Chimborazo Highland Quichua,12,3888
choc1276,Choctaw,11,137
chol1282,Chol,11,260
chon1284,Chong of Chanthaburi,27,21
chra1242,Chrau,21,182
coeu1236,Coeur d'Alene,18,803
colo1256,Tsafiki,15,440
coma1245,Comanche,10,332
como1259,Comox,15,42
croa1245,Croatian Standard,19,92
crow1244,Crow,12,1014
cupe1243,Cupeño,20,1443
cuvo1236,Cuvok,8,718
czec1258,Czech,20,468
deny1238,Denya,15,133
diml1238,Dimli,22,1667
dobu1241,Dobu,11,32
dupa1235,Dupaninan Agta,11,759
dutc1256,Dutch,24,-3
east2295,Eastern Yiddish,19,187
east2328,Eastern Mari,16,45
east2398,Eastern Karaboro,14,264
east2440,East Makian,28,308
egaa1242,Ega,16,109
eggo1239,Eggon,16,161
ekpe1253,Ekpeye,16,15
elip1238,Elip,14,440
esim1238,Esimbi,16,693
faiw1243,Faiwol,13,1233
fang1246,Fang (Equatorial Guinea),23,625
fili1244,Filipino,17,46
friu1240,Friulian,21,194
furu1242,Furu,19,406
fwee1238,Fwe,25,940
gali1258,Galician,19,1107
gayo1244,Gayo,16,1067
gbar1246,Gbari,12,156
gbay1281,Gbaya-Mbodomo,15,697
gida1247,Gidar,14,394
goli1247,Golin,16,1743
guaj1255,Guajajára,13,308
guan1269,Kotiria,9,143
guja1253,Gujari,28,862
gunw1252,Bininj Kun-Wok,18,72
halk1245,Halkomelem,18,94
hang1263,Hanga Hundi,14,54
haya1250,Haya,16,1435
hoav1238,Hoava,10,254
huam1248,Huamalíes-Dos de Mayo Huánuco Quechua,18,1471
huar1255,Huarijio,19,1203
huas1242,Huastec,16,69
huay1240,Huaylas Ancash Quechua,17,4528
hueh1236,Huehuetla Tepehua,17,331
huic1243,Huichol,16,1170
hung1278,Hungana-Saamba,17,355
hupd1244,Hupdë,13,156
iban1261,Ibani,18,5
ibib1240,Ibibio,23,47
idaa1241,Ida'an,13,64
ilok1237,Iloko,11,287
imon1245,Imonda,14,284
indo1316,Indonesian,17,556
ingu1240,Ingush,19,661
iseb1246,Isebe,16,258
ital1282,Italian,15,530
izer1241,Izere,20,1041
jama1261,Madi,9,96
jama1262,Jamaican Creole English,19,457
jauj1238,Jauja Wanca Quechua,14,4697
jeme1245,Towa,33,1733
jiar1240,Northern Gyalrong,16,4592
jica1244,Jicarilla Apache,23,2401
juan1238,Juang,18,282
kabi1261,Kabiyé,30,191
kaby1243,Kabyle,6,482
kadi1248,Kadiwéu,18,86
kala1381,Kalabari,24,6
kama1367,Kamasau,13,96
kano1245,Kanoê,20,142
kara1476,Karadjeri,15,135
kari1301,Karipúna Creole French,17,66
kari1311,Karitiâna,20,125
kaya1329,Kayabí,16,345
kela1255,Kela (Papua New Guinea),21,27
kens1251,Kenswei Nsei,21,1403
keny1279,Kenyang,27,165
keoo1238,Kéo,12,382
khan1273,Kazym-Berezover-Suryskarer Khanty,22,54
khar1287,Kharia,21,376
kich1262,K'iche',16,1366
kima1246,Kimaama,27,6
kinn1249,Kinnauri,23,4637
kiny1244,Kinyarwanda,21,1611
kiri1254,Kirike,18,22
koas1236,Koasati,11,14
