Glottocode,language,syllabic,elevation
abau1245,Abau,5,51
achi1257,Achinese,34,12
adam1253,Adamawa Fulfulde,9,370
adan1251,Adang,22,316
aheu1239,Thavung,73,150
akha1245,Akha,13,1109
akla1241,Aklanon,3,140
alya1239,Alyawarr,7,240
aman1265,Amanab,5,412
ambe1247,Ambele,10,429
ambu1247,Ambulas,7,101
anei1239,Aneityum,5,557
anti1245,Antigua and Barbuda Creole English,13,24
anua1242,Anuak,24,432
apur1254,Apurinã,26,138
arag1245,Aragonese,5,657
aran1237,Arandai,5,20
arhu1242,Arhuaco,16,3650
auuu1241,Au,7,356
awac1239,Awa-Cuaiquer,7,453
awar1248,Awara,6,1281
awin1248,Awing,17,1972
awtu1239,Awtuw,7,241
baba1264,Baba,7,1527
baba1266,Babanki,7,1731
bafa1247,Bafaw-Balong,16,98
baga1272,Baga Sitemu,8,3
baga1273,Baga Koga,8,17
bako1249,Bakoko,7,26
bako1250,Bakole,7,31
bamb1265,Bambalang,18,1150
bame1260,Bamenyam,11,1222
bamu1253,Bamun,10,960
bamu1256,Bamunka,9,1171
bang1356,Bangolan,9,1207
bani1255,Baniwa do Icana,12,152
baou1238,Baoulé,7,9
barb1263,Barbareño,12,315
bari1286,Bariai,5,237
baru1269,Baruga,10,63
bata1285,Batanga,8,46
bata1289,Batak Toba,9,948
befa1241,Befang,14,573
beli1260,Belize Kriol English,13,33
bemb1257,Bemba (Zambia),10,1257
berb1259,Berbice Creole Dutch,6,25
bett1235,Betta Kurumba,15,1042
biak1248,Biak,10,187
bili1250,Bilinarra,6,254
bilo1248,Biloxi,8,81
bilu1245,Bilua,25,176
bina1277,Binandere,24,35
binu1245,Binumarien,5,883
blan1242,Blang,14,1229
boik1241,Boikin,8,235
bond1245,Bondo,6,100
bong1285,Bongo,11,504
boro1277,Boro (Ethiopia),6,840
brok1247,Brokskat,10,3231
bubi1249,Bubia,14,166
buku1249,Bukusu,10,1631
bumb1241,Bumbita Arapesh,7,204
cavi1250,Cavineña,4,173
cham1318,Chamicuro,10,129
chec1245,Chechen,12,178
chee1238,Che,24,999
chep1245,Chepang,6,1595
chic1270,Chickasaw,9,266
chim1300,Chimalapa Zoque,6,263
chim1301,Chimariko,9,1740
chim1302,Chimborazo Highland Quichua,5,3888
choc1276,Choctaw,6,137
chol1282,Chol,6,260
chon1284,Chong of Chanthaburi,19,21
chra1242,Chrau,13,182
coeu1236,Coeur d'Alene,8,803
colo1256,Tsafiki,9,440
coma1245,Comanche,6,332
como1259,Comox,5,42
croa1245,Croatian Standard,11,92
crow1244,Crow,10,1014
cupe1243,Cupeño,11,1443
cuvo1236,Cuvok,2,718
czec1258,Czech,13,468
deny1238,Denya,8,133
diml1238,Dimli,14,1667
dobu1241,Dobu,5,32
dupa1235,Dupaninan Agta,5,759
dutc1256,Dutch,14,-3
east2295,Eastern Yiddish,9,187
east2328,Eastern Mari,8,45
east2398,Eastern Karaboro,7,264
east2440,East Makian,10,308
egaa1242,Ega,9,109
eggo1239,Eggon,7,161
ekpe1253,Ekpeye,9,15
elip1238,Elip,7,440
esim1238,Esimbi,8,693
faiw1243,Faiwol,8,1233
fang1246,Fang (Equatorial Guinea),16,625
fili1244,Filipino,10,46
friu1240,Friulian,14,194
furu1242,Furu,10,406
fwee1238,Fwe,10,940
gali1258,Galician,7,1107
gayo1244,Gayo,8,1067
gbar1246,Gbari,7,156
gbay1281,Gbaya-Mbodomo,7,697
gida1247,Gidar,8,394
goli1247,Golin,10,1743
guaj1255,Guajajára,7,308
guan1269,Kotiria,6,143
guja1253,Gujari,18,862
gunw1252,Bininj Kun-Wok,5,72
halk1245,Halkomelem,12,94
hang1263,Hanga Hundi,7,54
haya1250,Haya,10,1435
hoav1238,Hoava,5,254
huam1248,Huamalíes-Dos de Mayo Huánuco Quechua,10,1471
huar1255,Huarijio,14,1203
huas1242,Huastec,10,69
huay1240,Huaylas Ancash Quechua,10,4528
hueh1236,Huehuetla Tepehua,10,331
huic1243,Huichol,10,1170
hung1278,Hungana-Saamba,10,355
hupd1244,Hupdë,10,156
iban1261,Ibani,10,5
ibib1240,Ibibio,13,47
idaa1241,Ida'an,6,64
ilok1237,Iloko,4,287
imon1245,Imonda,10,284
indo1316,Indonesian,6,556
ingu1240,Ingush,13,661
iseb1246,Isebe,14,258
ital1282,Italian,7,530
izer1241,Izere,11,1041
jama1261,Madi,4,96
jama1262,Jamaican Creole English,12,457
jauj1238,Jauja Wanca Quechua,5,4697
jeme1245,Towa,22,1733
jiar1240,Northern Gyalrong,8,4592
jica1244,Jicarilla Apache,19,2401
juan1238,Juang,10,282
kabi1261,Kabiyé,23,191
kaby1243,Kabyle,3,482
kadi1248,Kadiwéu,8,86
kala1381,Kalabari,18,6
kama1367,Kamasau,6,96
kano1245,Kanoê,14,142
kara1476,Karadjeri,3,135
kari1301,Karipúna Creole French,10,66
kari1311,Karitiâna,14,125
kaya1329,Kayabí,10,345
kela1255,Kela (Papua New Guinea),14,27
kens1251,Kenswei Nsei,10,1403
keny1279,Kenyang,20,165
keoo1238,Kéo,6,382
khan1273,Kazym-Berezover-Suryskarer Khanty,13,54
khar1287,Kharia,10,376
kich1262,K'iche',10,1366
kima1246,Kimaama,20,6
kinn1249,Kinnauri,15,4637
kiny1244,Kinyarwanda,10,1611
kiri1254,Kirike,10,22
koas1236,Koasati,6,14
koko1269,Kokota,5,44
konn1242,Konni,18,174
kris1246,I'saka,5,542
kulu1253,Kulung (Nepal),21,1775
kuot1243,Kuot,6,564
kusu1250,Kusunda,6,2429
kute1248,Kutep,13,220
kuvi1243,Kuvi,15,554
kwaz1243,Kwaza,16,176
lada1244,Leh-Kenhat,5,5176
lake1258,Lake Miwok,10,516
lang1320,Langi,20,1236
laoo1244,Lao,12,153
lavu1241,Lavukaleve,5,37
lazz1240,Laz,5,1469
leal1235,Lealao Chinantec,7,1326
liby1240,Libyan Arabic,16,584
liji1238,Lijili,16,138
lisu1250,Lisu,8,383
loni1238,Loniu,7,75
loxi1235,Loxicha Zapotec,7,207
luch1239,Luchazi,10,1061
lund1266,Lunda,10,1225
luya1241,Luyi,5,1030
lyel1241,Lyélé,10,275
mace1250,Macedonian,6,919
mada1293,Mada (Cameroon),13,491
madi1261,Madi (Papua New Guinea),9,67
maib1239,Maybrat-Karon,5,114
mako1251,Makonde,5,55
mall1246,Mal,22,996
malo1243,Tamambo,5,157
mamb1294,Mambai,24,229
mamm1241,Mam,10,1816
mana1288,Manange,10,3673
mana1295,Manam,5,1346
mand1415,Mandarin Chinese,21,88
mand1436,Mandinka,10,45
mani1292,Manipuri,6,312
mara1385,Marra,5,10
marw1260,Marwari (India),10,364
matb1237,Matbat,5,158
mats1244,Matsés,6,151
maza1291,Mazanderani,7,1715
medu1238,Medumba,9,1311
mesc1238,Mescalero-Chiricahua Apache,16,2442
mewa1250,Mewati,20,210
mich1243,Michif,16,534
mich1245,Michoacán Nahuatl,5,148
ming1252,Mingrelian,5,109
mmen1238,Mmen,9,925
moco1246,Mocoví,8,64
moke1242,Moken,10,0
mola1238,Molale,7,161
mono1270,Mono (Democratic Republic of Congo),8,413
mose1249,Mosetén-Chimané,12,385
motl1237,Mwotlap,7,31
mpon1254,Mpongmpong,7,594
mufi1238,Mufian,5,173
muna1247,Muna,5,76
mund1330,Mundurukú,20,108
mung1266,Mungaka,9,1374
naga1394,Naga Pidgin,17,1361
naki1238,Naki,8,738
nami1256,Namia,6,63
nand1266,Nandi,10,2146
nang1259,Nangikurrunggurr,8,113
nank1250,Nankina,6,1140
ndem1249,Ndemli,18,115
nepa1253,Nepali Kurux,5,77
ngad1261,Ngad'a,6,1186
ngal1293,Ngalakgan,9,123
ngem1255,Ngemba,9,1220
ngom1271,Ngombale,19,1708
ngos1238,Ngoshie,6,1254
nige1257,Nigerian Pidgin,7,278
ning1273,Ningil,7,418
nisg1240,Nisga'a,10,22
nort2626,Northern Frisian,19,0
nort2627,Eastern Low German,14,67
nort2684,Northern Khmer,22,220
nort2845,North Marquesan,10,333
nort2943,North Alaskan Inupiatun,3,0
nort2954,Northern Paiute,10,1165
nort2966,Northern Pomo,10,360
nort2984,Northern Pame,12,1375
nubi1253,Nubi,5,1134
nucl1290,Zhenkang Wa,22,1729
nucl1634,Skou,7,36
nucl1695,Bole,10,450
nuer1246,Nuer,28,409
nuuc1236,Nuu-chah-nulth,10,614
nyam1276,Nyamwezi,14,1272
nyan1307,Nyankole,8,1431
nyeu1238,Nyeu,20,136
nyon1241,Nyong,14,1179
obol1243,Obolo,12,22
okuu1243,Oku,7,2019
olut1240,Oluta Popoluca,12,62
onge1236,Önge,8,159
orok1266,Oroko,7,386
orok1269,Orokaiva,5,201
osse1243,Ossetian,9,852
pagi1243,Pagibete,7,484
pala1344,Palauan,12,19
pana1305,Panamint,13,1040
paok1235,Pa'o Karen,11,955
pate1247,Patep,14,1111
peta1245,Petats,15,122
phai1238,Prai,18,677
phal1254,Phalura,10,2948
pila1245,Pilagá,4,119
poli1260,Polish,6,126
pwon1235,Pwo Northern Karen,24,1113
qima1242,Qimant,7,1205
quec1382,Quechan,10,36
rama1270,Rama,9,29
rund1242,Rundi,5,1271
saba1268,Sabanê,5,312
saki1248,Mekens,20,156
sala1272,Salasaca Highland Quichua,5,2483
samb1305,Samba Leko,9,912
samo1303,Samo,6,138
samr1245,Samre of Siem Reap,21,32
sanj1284,San Juan Guelavía Zapotec,18,1612
sanm1287,San Mateo del Mar Huave,6,5
sanu1240,Sanumá,13,121
sasa1249,Sasak,11,297
sata1237,Satawalese,13,0
sava1244,Savara,11,260
sayu1241,Sayula Popoluca,6,70
seco1241,Secoya,6,211
seim1238,Seimat,17,0
sela1259,Selaru,5,39
seme1247,Semelai,18,67
sera1259,Saraiki,35,121
seri1257,Seri,8,188
serr1255,Serrano,9,731
shab1252,Shabo,13,1683
shaw1249,Shawnee,6,313
shon1251,Shona,5,1216
siar1238,Siar-Lak,7,556
sida1246,Sidamo,10,1781
siks1238,Siksika,12,1232
sind1272,Sindhi,10,20
sipa1247,Sipacapense,10,2186
siss1243,Sissano,9,15
slov1268,Slovenian,16,1195
soch1239,Sochiapam Chinantec,14,682
sout2750,Southern Yukaghir,12,0
sout2840,Southern Bobo Madaré,19,321
sout2844,Southern Samo,8,276
sout2856,South Efate,5,236
sout2895,South Nuaulu,5,120
spok1245,Spokane,5,726
stan1289,Catalan,8,619
subi1246,Subiya,5,933
suri1267,Tirma-Chai,7,1104
surs1246,Sursurunga,6,813
swed1254,Swedish,17,27
tagw1240,Tagwana Senoufo,22,311
tami1289,Tamil,12,106
tana1290,Tanacross,14,0
taro1264,Seediq,10,1174
tata1257,Tatana,4,13
tatu1247,Tatuyo,6,219
tern1247,Ternate,5,1633
texi1237,Texistepec Popoluca,10,25
thul1246,Thulung,8,2514
tibe1272,Tibetan,8,5409
tilq1235,Tilquiapan Zapotec,6,1769
tinp1237,Tinputz,14,181
tiwi1244,Tiwi,4,74
tlac1235,Tlachichilco Tepehua,10,323
toba1269,Toba,7,139
tokp1240,Tok Pisin,12,197
tolo1259,Tolowa-Chetco,5,81
tong1325,Tonga (Tonga Islands),5,16
torw1241,Torwali,13,4139
tote1238,Totela,10,1063
tsha1245,Tshangla,5,1920
tsuv1239,Tsuvadi,12,257
tuka1248,Tukang Besi North,5,137
tuvi1240,Tuvinian,16,613
tzot1259,Tzotzil,5,997
tzut1248,Tz'utujil,10,2101
ukra1253,Ukrainian,6,1349
ulwa1239,Ulwa,6,9
urii1240,Uri,8,1275
usar1243,Usarufa,5,1982
utes1238,Ute-Southern Paiute,18,1842
vaii1241,Vai,11,17
wamb1259,Wambon,10,79
wari1268,Wari',6,153
wash1253,Washo,6,1925
waya1269,Wayana,7,182
west2441,Western Arrarnta,3,621
west2560,West Coast Bajau,6,12
woge1237,Wogeo,5,239
