,language,tap,elevation
abau1245,Abau,1,51
aheu1239,Thavung,1,150
alya1239,Alyawarr,1,240
anei1239,Aneityum,1,557
apur1254,Apurinã,1,138
arag1245,Aragonese,1,657
aran1237,Arandai,1,20
arhu1242,Arhuaco,1,3650
auuu1241,Au,1,356
awtu1239,Awtuw,1,241
bako1249,Bakoko,1,26
bamu1253,Bamun,1,960
bang1356,Bangolan,1,1207
bani1255,Baniwa do Icana,3,152
baru1269,Baruga,1,63
bett1235,Betta Kurumba,1,1042
bili1250,Bilinarra,1,254
bina1277,Binandere,1,35
boik1241,Boikin,1,235
chee1238,Che,2,999
chra1242,Chrau,1,182
cupe1243,Cupeño,1,1443
cuvo1236,Cuvok,1,718
deny1238,Denya,1,133
diml1238,Dimli,1,1667
dupa1235,Dupaninan Agta,1,759
east2295,Eastern Yiddish,1,187
east2328,Eastern Mari,1,45
eggo1239,Eggon,2,161
fili1244,Filipino,1,46
furu1242,Furu,1,406
gali1258,Galician,1,1107
guaj1255,Guajajára,1,308
guan1269,Kotiria,1,143
guja1253,Gujari,2,862
gunw1252,Bininj Kun-Wok,1,72
hang1263,Hanga Hundi,1,54
huam1248,Huamalíes-Dos de Mayo Huánuco Quechua,1,1471
huar1255,Huarijio,1,1203
huas1242,Huastec,1,69
hueh1236,Huehuetla Tepehua,1,331
huic1243,Huichol,1,1170
iban1261,Ibani,1,5
ilok1237,Iloko,1,287
ingu1240,Ingush,2,661
izer1241,Izere,1,1041
jeme1245,Towa,1,1733
juan1238,Juang,1,282
kama1367,Kamasau,1,96
kari1301,Karipúna Creole French,1,66
kari1311,Karitiâna,1,125
kaya1329,Kayabí,1,345
khar1287,Kharia,3,376
kiny1244,Kinyarwanda,2,1611
kiri1254,Kirike,1,22
koko1269,Kokota,2,44
konn1242,Konni,1,174
kute1248,Kutep,1,220
kuvi1243,Kuvi,2,554
kwaz1243,Kwaza,1,176
liby1240,Libyan Arabic,2,584
loxi1235,Loxicha Zapotec,1,207
mamb1294,Mambai,2,229
mana1288,Manange,1,3673
mana1295,Manam,1,1346
mara1385,Marra,2,10
marw1260,Marwari (India),2,364
mewa1250,Mewati,1,210
moco1246,Mocoví,1,64
mono1270,Mono (Democratic Republic of Congo),1,413
mund1330,Mundurukú,1,108
naga1394,Naga Pidgin,1,1361
nand1266,Nandi,1,2146
nang1259,Nangikurrunggurr,1,113
nepa1253,Nepali Kurux,2,77
ngad1261,Ngad'a,1,1186
ngal1293,Ngalakgan,1,123
nige1257,Nigerian Pidgin,1,278
nort2627,Eastern Low German,1,67
nort2684,Northern Khmer,1,220
nort2984,Northern Pame,2,1375
nubi1253,Nubi,1,1134
olut1240,Oluta Popoluca,1,62
orok1266,Oroko,1,386
phal1254,Phalura,1,2948
saki1248,Mekens,1,156
