Glottocode,language,tense,elevation
abau1245,Abau,6,51
achi1257,Achinese,14,12
adam1253,Adamawa Fulfulde,9,370
adan1251,Adang,13,316
aheu1239,Thavung,47,150
akha1245,Akha,8,1109
akla1241,Aklanon,4,140
alya1239,Alyawarr,6,240
aman1265,Amanab,6,412
ambe1247,Ambele,8,429
ambu1247,Ambulas,7,101
anei1239,Aneityum,2,557
anti1245,Antigua and Barbuda Creole English,12,24
anua1242,Anuak,12,432
apur1254,Apurinã,24,138
arag1245,Aragonese,25,657
aran1237,Arandai,4,20
arhu1242,Arhuaco,13,3650
auuu1241,Au,6,356
awac1239,Awa-Cuaiquer,8,453
awar1248,Awara,5,1281
awin1248,Awing,11,1972
awtu1239,Awtuw,6,241
baba1264,Baba,7,1527
baba1266,Babanki,7,1731
bafa1247,Bafaw-Balong,10,98
baga1272,Baga Sitemu,7,3
baga1273,Baga Koga,6,17
bako1249,Bakoko,6,26
bako1250,Bakole,6,31
bamb1265,Bambalang,13,1150
bame1260,Bamenyam,9,1222
bamu1253,Bamun,8,960
bamu1256,Bamunka,7,1171
bang1356,Bangolan,7,1207
bani1255,Baniwa do Icana,13,152
baou1238,Baoulé,6,9
barb1263,Barbareño,18,315
bari1286,Bariai,4,237
baru1269,Baruga,9,63
bata1285,Batanga,6,46
bata1289,Batak Toba,6,948
befa1241,Befang,10,573
beli1260,Belize Kriol English,12,33
bemb1257,Bemba (Zambia),10,1257
berb1259,Berbice Creole Dutch,6,25
bett1235,Betta Kurumba,7,1042
biak1248,Biak,10,187
bili1250,Bilinarra,6,254
bilo1248,Biloxi,8,81
bilu1245,Bilua,8,176
bina1277,Binandere,23,35
binu1245,Binumarien,6,883
blan1242,Blang,13,1229
boik1241,Boikin,7,235
bond1245,Bondo,5,100
bong1285,Bongo,8,504
boro1277,Boro (Ethiopia),7,840
brok1247,Brokskat,9,3231
bubi1249,Bubia,10,166
buku1249,Bukusu,10,1631
bumb1241,Bumbita Arapesh,6,204
cavi1250,Cavineña,4,173
cham1318,Chamicuro,10,129
chec1245,Chechen,9,178
chee1238,Che,11,999
chep1245,Chepang,6,1595
chic1270,Chickasaw,8,266
chim1300,Chimalapa Zoque,6,263
chim1301,Chimariko,10,1740
chim1302,Chimborazo Highland Quichua,6,3888
choc1276,Choctaw,6,137
chol1282,Chol,7,260
chon1284,Chong of Chanthaburi,12,21
chra1242,Chrau,9,182
coeu1236,Coeur d'Alene,8,803
colo1256,Tsafiki,9,440
coma1245,Comanche,7,332
como1259,Comox,5,42
croa1245,Croatian Standard,10,92
crow1244,Crow,9,1014
cupe1243,Cupeño,8,1443
cuvo1236,Cuvok,2,718
czec1258,Czech,8,468
deny1238,Denya,6,133
diml1238,Dimli,12,1667
dobu1241,Dobu,4,32
dupa1235,Dupaninan Agta,5,759
dutc1256,Dutch,8,-3
east2295,Eastern Yiddish,1,187
east2328,Eastern Mari,5,45
east2398,Eastern Karaboro,6,264
east2440,East Makian,10,308
egaa1242,Ega,10,109
eggo1239,Eggon,6,161
ekpe1253,Ekpeye,7,15
elip1238,Elip,6,440
esim1238,Esimbi,6,693
faiw1243,Faiwol,9,1233
fang1246,Fang (Equatorial Guinea),8,625
fili1244,Filipino,10,46
friu1240,Friulian,10,194
furu1242,Furu,9,406
fwee1238,Fwe,6,940
gali1258,Galician,7,1107
gayo1244,Gayo,6,1067
gbar1246,Gbari,6,156
gbay1281,Gbaya-Mbodomo,6,697
gida1247,Gidar,7,394
goli1247,Golin,2,1743
guaj1255,Guajajára,5,308
guan1269,Kotiria,7,143
guja1253,Gujari,11,862
gunw1252,Bininj Kun-Wok,6,72
halk1245,Halkomelem,8,94
hang1263,Hanga Hundi,7,54
haya1250,Haya,10,1435
hoav1238,Hoava,2,254
huam1248,Huamalíes-Dos de Mayo Huánuco Quechua,10,1471
huar1255,Huarijio,15,1203
huas1242,Huastec,7,69
huay1240,Huaylas Ancash Quechua,10,4528
hueh1236,Huehuetla Tepehua,8,331
huic1243,Huichol,10,1170
hung1278,Hungana-Saamba,6,355
hupd1244,Hupdë,9,156
iban1261,Ibani,6,5
ibib1240,Ibibio,10,47
idaa1241,Ida'an,6,64
ilok1237,Iloko,5,287
imon1245,Imonda,4,284
indo1316,Indonesian,9,556
ingu1240,Ingush,12,661
iseb1246,Isebe,9,258
ital1282,Italian,6,530
izer1241,Izere,8,1041
jama1261,Madi,5,96
jama1262,Jamaican Creole English,12,457
jauj1238,Jauja Wanca Quechua,6,4697
jeme1245,Towa,18,1733
jiar1240,Northern Gyalrong,9,4592
jica1244,Jicarilla Apache,7,2401
juan1238,Juang,4,282
kabi1261,Kabiyé,12,191
kadi1248,Kadiwéu,8,86
kala1381,Kalabari,10,6
kama1367,Kamasau,7,96
kano1245,Kanoê,12,142
kara1476,Karadjeri,4,135
kari1301,Karipúna Creole French,6,66
kari1311,Karitiâna,12,125
kaya1329,Kayabí,10,345
kela1255,Kela (Papua New Guinea),14,27
kens1251,Kenswei Nsei,8,1403
keny1279,Kenyang,14,165
keoo1238,Kéo,5,382
khan1273,Kazym-Berezover-Suryskarer Khanty,9,54
khar1287,Kharia,10,376
kich1262,K'iche',10,1366
kima1246,Kimaama,12,6
kinn1249,Kinnauri,11,4637
kiny1244,Kinyarwanda,10,1611
kiri1254,Kirike,6,22
koas1236,Koasati,6,14
koko1269,Kokota,4,44
konn1242,Konni,10,174
kris1246,I'saka,4,542
kulu1253,Kulung (Nepal),18,1775
kuot1243,Kuot,4,564
kusu1250,Kusunda,6,2429
kute1248,Kutep,11,220
kuvi1243,Kuvi,13,554
kwaz1243,Kwaza,11,176
