Glottocode,language,anterior,elevation
abau1245,Abau,3,51
achi1257,Achinese,6,12
adam1253,Adamawa Fulfulde,8,370
adan1251,Adang,6,316
aheu1239,Thavung,13,150
akha1245,Akha,10,1109
akla1241,Aklanon,6,140
alya1239,Alyawarr,9,240
aman1265,Amanab,4,412
ambe1247,Ambele,10,429
ambu1247,Ambulas,6,101
anei1239,Aneityum,6,557
anti1245,Antigua and Barbuda Creole English,7,24
anua1242,Anuak,8,432
apur1254,Apurinã,5,138
arag1245,Aragonese,8,657
aran1237,Arandai,5,20
arhu1242,Arhuaco,6,3650
auuu1241,Au,4,356
awac1239,Awa-Cuaiquer,6,453
awar1248,Awara,5,1281
awin1248,Awing,11,1972
awtu1239,Awtuw,5,241
baba1264,Baba,7,1527
baba1266,Babanki,8,1731
bafa1247,Bafaw-Balong,7,98
baga1272,Baga Sitemu,6,3
baga1273,Baga Koga,7,17
bako1249,Bakoko,7,26
bako1250,Bakole,7,31
bamb1265,Bambalang,8,1150
bame1260,Bamenyam,13,1222
bamu1253,Bamun,7,960
bamu1256,Bamunka,5,1171
bang1356,Bangolan,10,1207
bani1255,Baniwa do Icana,9,152
baou1238,Baoulé,4,9
barb1263,Barbareño,25,315
bari1286,Bariai,6,237
baru1269,Baruga,5,63
bata1285,Batanga,6,46
bata1289,Batak Toba,6,948
befa1241,Befang,13,573
beli1260,Belize Kriol English,6,33
bemb1257,Bemba (Zambia),4,1257
berb1259,Berbice Creole Dutch,7,25
bett1235,Betta Kurumba,8,1042
biak1248,Biak,6,187
bili1250,Bilinarra,4,254
bilo1248,Biloxi,4,81
bilu1245,Bilua,7,176
bina1277,Binandere,4,35
binu1245,Binumarien,4,883
blan1242,Blang,8,1229
boik1241,Boikin,8,235
bond1245,Bondo,7,100
bong1285,Bongo,7,504
boro1277,Boro (Ethiopia),7,840
brok1247,Brokskat,13,3231
bubi1249,Bubia,6,166
buku1249,Bukusu,6,1631
bumb1241,Bumbita Arapesh,6,204
cavi1250,Cavineña,7,173
cham1318,Chamicuro,6,129
chec1245,Chechen,10,178
chee1238,Che,7,999
chep1245,Chepang,8,1595
chic1270,Chickasaw,5,266
chim1300,Chimalapa Zoque,7,263
chim1301,Chimariko,10,1740
chim1302,Chimborazo Highland Quichua,17,3888
choc1276,Choctaw,5,137
chol1282,Chol,6,260
chon1284,Chong of Chanthaburi,7,21
chra1242,Chrau,6,182
coeu1236,Coeur d'Alene,11,803
colo1256,Tsafiki,5,440
coma1245,Comanche,4,332
como1259,Comox,12,42
croa1245,Croatian Standard,10,92
crow1244,Crow,2,1014
cupe1243,Cupeño,6,1443
cuvo1236,Cuvok,14,718
czec1258,Czech,9,468
deny1238,Denya,6,133
diml1238,Dimli,11,1667
dobu1241,Dobu,5,32
dupa1235,Dupaninan Agta,5,759
dutc1256,Dutch,6,-3
east2295,Eastern Yiddish,17,187
east2328,Eastern Mari,7,45
east2398,Eastern Karaboro,6,264
east2440,East Makian,17,308
egaa1242,Ega,7,109
eggo1239,Eggon,9,161
ekpe1253,Ekpeye,6,15
elip1238,Elip,5,440
esim1238,Esimbi,11,693
faiw1243,Faiwol,5,1233
fang1246,Fang (Equatorial Guinea),7,625
fili1244,Filipino,6,46
friu1240,Friulian,9,194
furu1242,Furu,10,406
fwee1238,Fwe,17,940
gali1258,Galician,8,1107
gayo1244,Gayo,6,1067
gbar1246,Gbari,8,156
gbay1281,Gbaya-Mbodomo,10,697
gida1247,Gidar,10,394
goli1247,Golin,6,1743
guaj1255,Guajajára,5,308
guan1269,Kotiria,5,143
guja1253,Gujari,9,862
gunw1252,Bininj Kun-Wok,5,72
halk1245,Halkomelem,11,94
hang1263,Hanga Hundi,6,54
haya1250,Haya,6,1435
hoav1238,Hoava,6,254
huam1248,Huamalíes-Dos de Mayo Huánuco Quechua,7,1471
huar1255,Huarijio,4,1203
huas1242,Huastec,10,69
huay1240,Huaylas Ancash Quechua,8,4528
hueh1236,Huehuetla Tepehua,11,331
huic1243,Huichol,4,1170
hung1278,Hungana-Saamba,8,355
hupd1244,Hupdë,3,156
iban1261,Ibani,7,5
ibib1240,Ibibio,5,47
idaa1241,Ida'an,6,64
ilok1237,Iloko,6,287
imon1245,Imonda,6,284
indo1316,Indonesian,7,556
ingu1240,Ingush,12,661
iseb1246,Isebe,3,258
ital1282,Italian,9,530
izer1241,Izere,9,1041
jama1261,Madi,3,96
jama1262,Jamaican Creole English,6,457
jauj1238,Jauja Wanca Quechua,8,4697
jeme1245,Towa,13,1733
jiar1240,Northern Gyalrong,19,4592
jica1244,Jicarilla Apache,15,2401
juan1238,Juang,6,282
kabi1261,Kabiyé,7,191
kaby1243,Kabyle,9,482
kadi1248,Kadiwéu,7,86
kala1381,Kalabari,8,6
kama1367,Kamasau,8,96
kano1245,Kanoê,4,142
kara1476,Karadjeri,9,135
kari1301,Karipúna Creole French,7,66
kari1311,Karitiâna,4,125
kaya1329,Kayabí,4,345
kela1255,Kela (Papua New Guinea),8,27
kens1251,Kenswei Nsei,17,1403
keny1279,Kenyang,5,165
keoo1238,Kéo,8,382
khan1273,Kazym-Berezover-Suryskarer Khanty,6,54
khar1287,Kharia,13,376
kich1262,K'iche',8,1366
kima1246,Kimaama,7,6
kinn1249,Kinnauri,9,4637
kiny1244,Kinyarwanda,9,1611
kiri1254,Kirike,7,22
koas1236,Koasati,5,14
koko1269,Kokota,10,44
konn1242,Konni,10,174
kris1246,I'saka,3,542
kulu1253,Kulung (Nepal),7,1775
kuot1243,Kuot,6,564
kusu1250,Kusunda,12,2429
kute1248,Kutep,10,220
kuvi1243,Kuvi,8,554
kwaz1243,Kwaza,11,176
lada1244,Leh-Kenhat,13,5176
lake1258,Lake Miwok,11,516
lang1320,Langi,9,1236
laoo1244,Lao,9,153
lavu1241,Lavukaleve,6,37
lazz1240,Laz,10,1469
leal1235,Lealao Chinantec,10,1326
liby1240,Libyan Arabic,16,584
liji1238,Lijili,9,138
lisu1250,Lisu,10,383
loni1238,Loniu,5,75
loxi1235,Loxicha Zapotec,8,207
luch1239,Luchazi,13,1061
lund1266,Lunda,6,1225
luya1241,Luyi,6,1030
lyel1241,Lyélé,7,275
mace1250,Macedonian,10,919
mada1293,Mada (Cameroon),9,491
madi1261,Madi (Papua New Guinea),14,67
maib1239,Maybrat-Karon,4,114
mako1251,Makonde,5,55
mall1246,Mal,5,996
malo1243,Tamambo,6,157
mamb1294,Mambai,6,229
mamm1241,Mam,9,1816
mana1288,Manange,8,3673
mana1295,Manam,7,1346
mand1415,Mandarin Chinese,10,88
mand1436,Mandinka,6,45
mani1292,Manipuri,8,312
mara1385,Marra,7,10
marw1260,Marwari (India),11,364
matb1237,Matbat,5,158
mats1244,Matsés,5,151
maza1291,Mazanderani,7,1715
