Glottocode,language,approximant,elevation
abau1245,Abau,8,51
achi1257,Achinese,38,12
adam1253,Adamawa Fulfulde,13,370
adan1251,Adang,24,316
aheu1239,Thavung,80,150
akha1245,Akha,15,1109
akla1241,Aklanon,7,140
alya1239,Alyawarr,14,240
aman1265,Amanab,8,412
ambe1247,Ambele,13,429
ambu1247,Ambulas,11,101
anei1239,Aneityum,9,557
anti1245,Antigua and Barbuda Creole English,17,24
anua1242,Anuak,28,432
apur1254,Apurinã,29,138
arag1245,Aragonese,30,657
aran1237,Arandai,6,20
arhu1242,Arhuaco,17,3650
auuu1241,Au,10,356
awac1239,Awa-Cuaiquer,10,453
awar1248,Awara,8,1281
awin1248,Awing,21,1972
awtu1239,Awtuw,11,241
baba1264,Baba,11,1527
baba1266,Babanki,10,1731
bafa1247,Bafaw-Balong,19,98
baga1272,Baga Sitemu,12,3
baga1273,Baga Koga,12,17
bako1249,Bakoko,11,26
bako1250,Bakole,11,31
bamb1265,Bambalang,22,1150
bame1260,Bamenyam,17,1222
bamu1253,Bamun,14,960
bamu1256,Bamunka,12,1171
bang1356,Bangolan,13,1207
bani1255,Baniwa do Icana,17,152
baou1238,Baoulé,10,9
barb1263,Barbareño,24,315
bari1286,Bariai,7,237
baru1269,Baruga,12,63
bata1285,Batanga,10,46
bata1289,Batak Toba,13,948
befa1241,Befang,18,573
beli1260,Belize Kriol English,17,33
bemb1257,Bemba (Zambia),13,1257
berb1259,Berbice Creole Dutch,10,25
bett1235,Betta Kurumba,20,1042
biak1248,Biak,14,187
bili1250,Bilinarra,13,254
bilo1248,Biloxi,10,81
bilu1245,Bilua,27,176
bina1277,Binandere,26,35
binu1245,Binumarien,8,883
blan1242,Blang,20,1229
boik1241,Boikin,13,235
bond1245,Bondo,10,100
bong1285,Bongo,14,504
boro1277,Boro (Ethiopia),10,840
brok1247,Brokskat,12,3231
bubi1249,Bubia,17,166
buku1249,Bukusu,14,1631
bumb1241,Bumbita Arapesh,8,204
cavi1250,Cavineña,8,173
cham1318,Chamicuro,15,129
chec1245,Chechen,16,178
chee1238,Che,32,999
chep1245,Chepang,10,1595
chic1270,Chickasaw,12,266
chim1300,Chimalapa Zoque,10,263
chim1301,Chimariko,13,1740
chim1302,Chimborazo Highland Quichua,9,3888
choc1276,Choctaw,9,137
chol1282,Chol,9,260
chon1284,Chong of Chanthaburi,23,21
chra1242,Chrau,17,182
coeu1236,Coeur d'Alene,14,803
colo1256,Tsafiki,13,440
coma1245,Comanche,8,332
como1259,Comox,11,42
croa1245,Croatian Standard,16,92
crow1244,Crow,12,1014
cupe1243,Cupeño,16,1443
cuvo1236,Cuvok,6,718
czec1258,Czech,17,468
deny1238,Denya,11,133
diml1238,Dimli,20,1667
dobu1241,Dobu,8,32
dupa1235,Dupaninan Agta,9,759
dutc1256,Dutch,20,-3
east2295,Eastern Yiddish,15,187
