Glottocode,language,front,elevation
abau1245,Abau,3,51
achi1257,Achinese,9,12
adam1253,Adamawa Fulfulde,6,370
adan1251,Adang,8,316
aheu1239,Thavung,25,150
akha1245,Akha,8,1109
akla1241,Aklanon,2,140
alya1239,Alyawarr,7,240
aman1265,Amanab,3,412
ambe1247,Ambele,9,429
ambu1247,Ambulas,5,101
anei1239,Aneityum,5,557
anti1245,Antigua and Barbuda Creole English,6,24
anua1242,Anuak,14,432
apur1254,Apurinã,11,138
arag1245,Aragonese,7,657
aran1237,Arandai,3,20
arhu1242,Arhuaco,3,3650
auuu1241,Au,2,356
awac1239,Awa-Cuaiquer,3,453
awar1248,Awara,3,1281
awin1248,Awing,12,1972
awtu1239,Awtuw,4,241
baba1264,Baba,4,1527
baba1266,Babanki,4,1731
bafa1247,Bafaw-Balong,10,98
baga1272,Baga Sitemu,4,3
baga1273,Baga Koga,5,17
bako1249,Bakoko,5,26
bako1250,Bakole,6,31
bamb1265,Bambalang,7,1150
bame1260,Bamenyam,15,1222
bamu1253,Bamun,5,960
bamu1256,Bamunka,5,1171
bang1356,Bangolan,4,1207
bani1255,Baniwa do Icana,4,152
baou1238,Baoulé,6,9
barb1263,Barbareño,8,315
bari1286,Bariai,2,237
baru1269,Baruga,5,63
bata1285,Batanga,8,46
bata1289,Batak Toba,5,948
befa1241,Befang,14,573
beli1260,Belize Kriol English,6,33
bemb1257,Bemba (Zambia),6,1257
berb1259,Berbice Creole Dutch,5,25
bett1235,Betta Kurumba,5,1042
biak1248,Biak,5,187
bili1250,Bilinarra,6,254
bilo1248,Biloxi,5,81
bilu1245,Bilua,5,176
bina1277,Binandere,7,35
binu1245,Binumarien,3,883
blan1242,Blang,9,1229
boik1241,Boikin,4,235
bond1245,Bondo,5,100
bong1285,Bongo,6,504
boro1277,Boro (Ethiopia),3,840
brok1247,Brokskat,8,3231
bubi1249,Bubia,8,166
buku1249,Bukusu,6,1631
bumb1241,Bumbita Arapesh,5,204
cavi1250,Cavineña,9,173
cham1318,Chamicuro,8,129
chec1245,Chechen,8,178
chee1238,Che,12,999
chep1245,Chepang,3,1595
chic1270,Chickasaw,4,266
chim1300,Chimalapa Zoque,3,263
chim1301,Chimariko,4,1740
chim1302,Chimborazo Highland Quichua,7,3888
choc1276,Choctaw,3,137
chol1282,Chol,8,260
chon1284,Chong of Chanthaburi,10,21
chra1242,Chrau,9,182
coeu1236,Coeur d'Alene,4,803
colo1256,Tsafiki,5,440
coma1245,Comanche,3,332
como1259,Comox,4,42
croa1245,Croatian Standard,10,92
crow1244,Crow,4,1014
cupe1243,Cupeño,7,1443
cuvo1236,Cuvok,1,718
czec1258,Czech,8,468
deny1238,Denya,4,133
diml1238,Dimli,3,1667
dobu1241,Dobu,3,32
dupa1235,Dupaninan Agta,3,759
dutc1256,Dutch,12,-3
east2295,Eastern Yiddish,14,187
east2328,Eastern Mari,5,45
east2398,Eastern Karaboro,4,264
east2440,East Makian,5,308
egaa1242,Ega,9,109
eggo1239,Eggon,5,161
ekpe1253,Ekpeye,7,15
elip1238,Elip,5,440
esim1238,Esimbi,5,693
faiw1243,Faiwol,4,1233
fang1246,Fang (Equatorial Guinea),11,625
fili1244,Filipino,5,46
friu1240,Friulian,10,194
furu1242,Furu,8,406
fwee1238,Fwe,10,940
gali1258,Galician,6,1107
gayo1244,Gayo,5,1067
gbar1246,Gbari,5,156
gbay1281,Gbaya-Mbodomo,5,697
gida1247,Gidar,4,394
goli1247,Golin,5,1743
guaj1255,Guajajára,2,308
guan1269,Kotiria,3,143
guja1253,Gujari,9,862
gunw1252,Bininj Kun-Wok,6,72
