Glottocode,language,labial,elevation
abau1245,Abau,5,51
achi1257,Achinese,10,12
adam1253,Adamawa Fulfulde,11,370
adan1251,Adang,12,316
aheu1239,Thavung,30,150
akha1245,Akha,10,1109
akla1241,Aklanon,5,140
alya1239,Alyawarr,9,240
aman1265,Amanab,7,412
ambe1247,Ambele,20,429
ambu1247,Ambulas,7,101
anei1239,Aneityum,9,557
anti1245,Antigua and Barbuda Creole English,10,24
anua1242,Anuak,14,432
apur1254,Apurinã,6,138
arag1245,Aragonese,8,657
aran1237,Arandai,6,20
arhu1242,Arhuaco,7,3650
auuu1241,Au,7,356
awac1239,Awa-Cuaiquer,5,453
awar1248,Awara,10,1281
awin1248,Awing,20,1972
awtu1239,Awtuw,5,241
baba1264,Baba,7,1527
baba1266,Babanki,9,1731
bafa1247,Bafaw-Balong,15,98
baga1272,Baga Sitemu,9,3
baga1273,Baga Koga,9,17
bako1249,Bakoko,12,26
bako1250,Bakole,16,31
bamb1265,Bambalang,21,1150
bame1260,Bamenyam,25,1222
bamu1253,Bamun,13,960
bamu1256,Bamunka,9,1171
bang1356,Bangolan,9,1207
bani1255,Baniwa do Icana,9,152
baou1238,Baoulé,10,9
barb1263,Barbareño,18,315
bari1286,Bariai,5,237
baru1269,Baruga,8,63
bata1285,Batanga,11,46
bata1289,Batak Toba,7,948
befa1241,Befang,22,573
beli1260,Belize Kriol English,10,33
bemb1257,Bemba (Zambia),9,1257
berb1259,Berbice Creole Dutch,8,25
bett1235,Betta Kurumba,9,1042
biak1248,Biak,10,187
bili1250,Bilinarra,5,254
bilo1248,Biloxi,6,81
bilu1245,Bilua,8,176
bina1277,Binandere,10,35
binu1245,Binumarien,6,883
blan1242,Blang,12,1229
boik1241,Boikin,7,235
bond1245,Bondo,6,100
bong1285,Bongo,11,504
boro1277,Boro (Ethiopia),7,840
brok1247,Brokskat,10,3231
bubi1249,Bubia,16,166
buku1249,Bukusu,10,1631
bumb1241,Bumbita Arapesh,7,204
cavi1250,Cavineña,6,173
cham1318,Chamicuro,7,129
chec1245,Chechen,12,178
chee1238,Che,22,999
chep1245,Chepang,6,1595
chic1270,Chickasaw,8,266
chim1300,Chimalapa Zoque,7,263
chim1301,Chimariko,7,1740
chim1302,Chimborazo Highland Quichua,7,3888
choc1276,Choctaw,7,137
chol1282,Chol,7,260
chon1284,Chong of Chanthaburi,11,21
chra1242,Chrau,9,182
coeu1236,Coeur d'Alene,20,803
colo1256,Tsafiki,8,440
coma1245,Comanche,6,332
como1259,Comox,13,42
croa1245,Croatian Standard,9,92
crow1244,Crow,6,1014
cupe1243,Cupeño,12,1443
cuvo1236,Cuvok,8,718
czec1258,Czech,10,468
deny1238,Denya,12,133
diml1238,Dimli,9,1667
dobu1241,Dobu,12,32
dupa1235,Dupaninan Agta,6,759
dutc1256,Dutch,14,-3
east2295,Eastern Yiddish,7,187
east2328,Eastern Mari,7,45
east2398,Eastern Karaboro,9,264
east2440,East Makian,18,308
egaa1242,Ega,13,109
eggo1239,Eggon,13,161
ekpe1253,Ekpeye,12,15
elip1238,Elip,9,440
esim1238,Esimbi,14,693
faiw1243,Faiwol,6,1233
fang1246,Fang (Equatorial Guinea),15,625
fili1244,Filipino,9,46
friu1240,Friulian,12,194
furu1242,Furu,13,406
fwee1238,Fwe,33,940
gali1258,Galician,8,1107
gayo1244,Gayo,7,1067
gbar1246,Gbari,11,156
gbay1281,Gbaya-Mbodomo,14,697
gida1247,Gidar,14,394
goli1247,Golin,8,1743
guaj1255,Guajajára,7,308
guan1269,Kotiria,7,143
guja1253,Gujari,13,862
gunw1252,Bininj Kun-Wok,5,72
halk1245,Halkomelem,15,94
hang1263,Hanga Hundi,6,54
haya1250,Haya,9,1435
hoav1238,Hoava,6,254
huam1248,Huamalíes-Dos de Mayo Huánuco Quechua,9,1471
huar1255,Huarijio,5,1203
huas1242,Huastec,11,69
huay1240,Huaylas Ancash Quechua,9,4528
hueh1236,Huehuetla Tepehua,9,331
huic1243,Huichol,6,1170
hung1278,Hungana-Saamba,10,355
hupd1244,Hupdë,9,156
iban1261,Ibani,13,5
ibib1240,Ibibio,12,47
idaa1241,Ida'an,6,64
ilok1237,Iloko,5,287
imon1245,Imonda,8,284
indo1316,Indonesian,7,556
ingu1240,Ingush,10,661
iseb1246,Isebe,10,258
ital1282,Italian,10,530
izer1241,Izere,13,1041
jama1261,Madi,4,96
jama1262,Jamaican Creole English,9,457
jauj1238,Jauja Wanca Quechua,7,4697
jeme1245,Towa,15,1733
jiar1240,Northern Gyalrong,9,4592
jica1244,Jicarilla Apache,11,2401
juan1238,Juang,7,282
kabi1261,Kabiyé,15,191
kaby1243,Kabyle,9,482
kadi1248,Kadiwéu,9,86
kala1381,Kalabari,17,6
kama1367,Kamasau,8,96
kano1245,Kanoê,10,142
kara1476,Karadjeri,4,135
kari1301,Karipúna Creole French,10,66
kari1311,Karitiâna,6,125
kaya1329,Kayabí,9,345
kela1255,Kela (Papua New Guinea),8,27
kens1251,Kenswei Nsei,25,1403
keny1279,Kenyang,14,165
keoo1238,Kéo,9,382
khan1273,Kazym-Berezover-Suryskarer Khanty,9,54
khar1287,Kharia,11,376
kich1262,K'iche',8,1366
kima1246,Kimaama,12,6
kinn1249,Kinnauri,11,4637
kiny1244,Kinyarwanda,17,1611
kiri1254,Kirike,13,22
koas1236,Koasati,7,14
koko1269,Kokota,8,44
konn1242,Konni,18,174
kris1246,I'saka,6,542
kulu1253,Kulung (Nepal),10,1775
kuot1243,Kuot,6,564
kusu1250,Kusunda,8,2429
kute1248,Kutep,11,220
kuvi1243,Kuvi,10,554
kwaz1243,Kwaza,13,176
lada1244,Leh-Kenhat,7,5176
lake1258,Lake Miwok,11,516
lang1320,Langi,17,1236
laoo1244,Lao,17,153
lavu1241,Lavukaleve,7,37
lazz1240,Laz,7,1469
leal1235,Lealao Chinantec,10,1326
liby1240,Libyan Arabic,10,584
liji1238,Lijili,15,138
lisu1250,Lisu,10,383
loni1238,Loniu,8,75
loxi1235,Loxicha Zapotec,8,207
luch1239,Luchazi,10,1061
lund1266,Lunda,10,1225
luya1241,Luyi,6,1030
lyel1241,Lyélé,12,275
mace1250,Macedonian,7,919
mada1293,Mada (Cameroon),14,491
madi1261,Madi (Papua New Guinea),24,67
maib1239,Maybrat-Karon,6,114
mako1251,Makonde,7,55
