Glottocode,language,low,elevation
abau1245,Abau,1,51
achi1257,Achinese,2,12
adam1253,Adamawa Fulfulde,2,370
adan1251,Adang,2,316
aheu1239,Thavung,10,150
akha1245,Akha,2,1109
akla1241,Aklanon,1,140
alya1239,Alyawarr,2,240
aman1265,Amanab,1,412
ambe1247,Ambele,1,429
ambu1247,Ambulas,2,101
anei1239,Aneityum,1,557
anti1245,Antigua and Barbuda Creole English,2,24
anua1242,Anuak,2,432
apur1254,Apurinã,4,138
arag1245,Aragonese,1,657
aran1237,Arandai,1,20
arhu1242,Arhuaco,1,3650
auuu1241,Au,2,356
awac1239,Awa-Cuaiquer,1,453
awar1248,Awara,1,1281
awin1248,Awing,2,1972
awtu1239,Awtuw,2,241
baba1264,Baba,1,1527
baba1266,Babanki,1,1731
bafa1247,Bafaw-Balong,2,98
baga1272,Baga Sitemu,1,3
baga1273,Baga Koga,1,17
bako1249,Bakoko,1,26
bako1250,Bakole,1,31
bamb1265,Bambalang,2,1150
bame1260,Bamenyam,2,1222
bamu1253,Bamun,1,960
bamu1256,Bamunka,1,1171
bang1356,Bangolan,1,1207
bani1255,Baniwa do Icana,1,152
baou1238,Baoulé,1,9
barb1263,Barbareño,2,315
bari1286,Bariai,1,237
baru1269,Baruga,2,63
bata1285,Batanga,1,46
bata1289,Batak Toba,2,948
befa1241,Befang,2,573
beli1260,Belize Kriol English,3,33
bemb1257,Bemba (Zambia),2,1257
berb1259,Berbice Creole Dutch,1,25
bett1235,Betta Kurumba,2,1042
biak1248,Biak,2,187
bili1250,Bilinarra,2,254
bilo1248,Biloxi,2,81
bilu1245,Bilua,1,176
bina1277,Binandere,2,35
binu1245,Binumarien,1,883
blan1242,Blang,2,1229
boik1241,Boikin,3,235
bond1245,Bondo,1,100
bong1285,Bongo,2,504
boro1277,Boro (Ethiopia),1,840
brok1247,Brokskat,2,3231
bubi1249,Bubia,2,166
buku1249,Bukusu,2,1631
bumb1241,Bumbita Arapesh,1,204
cavi1250,Cavineña,1,173
cham1318,Chamicuro,2,129
chec1245,Chechen,4,178
chee1238,Che,4,999
chep1245,Chepang,1,1595
chic1270,Chickasaw,3,266
chim1300,Chimalapa Zoque,1,263
chim1301,Chimariko,1,1740
chim1302,Chimborazo Highland Quichua,1,3888
choc1276,Choctaw,2,137
chol1282,Chol,1,260
chon1284,Chong of Chanthaburi,2,21
chra1242,Chrau,2,182
coeu1236,Coeur d'Alene,5,803
colo1256,Tsafiki,2,440
coma1245,Comanche,1,332
como1259,Comox,1,42
croa1245,Croatian Standard,2,92
crow1244,Crow,2,1014
cupe1243,Cupeño,2,1443
cuvo1236,Cuvok,1,718
czec1258,Czech,2,468
deny1238,Denya,1,133
diml1238,Dimli,3,1667
dobu1241,Dobu,1,32
dupa1235,Dupaninan Agta,1,759
dutc1256,Dutch,2,-3
east2295,Eastern Yiddish,1,187
east2328,Eastern Mari,1,45
east2398,Eastern Karaboro,1,264
east2440,East Makian,2,308
egaa1242,Ega,1,109
eggo1239,Eggon,1,161
ekpe1253,Ekpeye,1,15
elip1238,Elip,1,440
esim1238,Esimbi,1,693
faiw1243,Faiwol,1,1233
fang1246,Fang (Equatorial Guinea),2,625
fili1244,Filipino,2,46
friu1240,Friulian,2,194
furu1242,Furu,1,406
fwee1238,Fwe,2,940
gali1258,Galician,1,1107
gayo1244,Gayo,1,1067
gbar1246,Gbari,1,156
gbay1281,Gbaya-Mbodomo,1,697
gida1247,Gidar,1,394
goli1247,Golin,2,1743
guaj1255,Guajajára,1,308
guan1269,Kotiria,1,143
guja1253,Gujari,3,862
gunw1252,Bininj Kun-Wok,1,72
halk1245,Halkomelem,2,94
hang1263,Hanga Hundi,1,54
haya1250,Haya,2,1435
hoav1238,Hoava,1,254
huam1248,Huamalíes-Dos de Mayo Huánuco Quechua,2,1471
huar1255,Huarijio,1,1203
huas1242,Huastec,2,69
huay1240,Huaylas Ancash Quechua,2,4528
hueh1236,Huehuetla Tepehua,2,331
huic1243,Huichol,2,1170
hung1278,Hungana-Saamba,2,355
hupd1244,Hupdë,2,156
iban1261,Ibani,1,5
ibib1240,Ibibio,2,47
idaa1241,Ida'an,1,64
ilok1237,Iloko,1,287
imon1245,Imonda,3,284
indo1316,Indonesian,1,556
ingu1240,Ingush,3,661
iseb1246,Isebe,2,258
ital1282,Italian,1,530
izer1241,Izere,2,1041
jama1261,Madi,1,96
jama1262,Jamaican Creole English,2,457
jauj1238,Jauja Wanca Quechua,1,4697
jeme1245,Towa,8,1733
jiar1240,Northern Gyalrong,1,4592
jica1244,Jicarilla Apache,4,2401
juan1238,Juang,2,282
kabi1261,Kabiyé,2,191
kaby1243,Kabyle,2,482
kadi1248,Kadiwéu,2,86
kala1381,Kalabari,2,6
kama1367,Kamasau,1,96
kano1245,Kanoê,4,142
kara1476,Karadjeri,1,135
kari1301,Karipúna Creole French,2,66
kari1311,Karitiâna,3,125
kaya1329,Kayabí,2,345
kela1255,Kela (Papua New Guinea),2,27
kens1251,Kenswei Nsei,2,1403
keny1279,Kenyang,2,165
keoo1238,Kéo,1,382
khan1273,Kazym-Berezover-Suryskarer Khanty,2,54
khar1287,Kharia,2,376
kich1262,K'iche',2,1366
kima1246,Kimaama,2,6
kinn1249,Kinnauri,4,4637
kiny1244,Kinyarwanda,2,1611
kiri1254,Kirike,1,22
koas1236,Koasati,2,14
koko1269,Kokota,1,44
konn1242,Konni,2,174
kris1246,I'saka,1,542
kulu1253,Kulung (Nepal),2,1775
kuot1243,Kuot,1,564
kusu1250,Kusunda,1,2429
kute1248,Kutep,4,220
kuvi1243,Kuvi,3,554
kwaz1243,Kwaza,2,176
lake1258,Lake Miwok,2,516
lang1320,Langi,4,1236
laoo1244,Lao,1,153
lavu1241,Lavukaleve,1,37
lazz1240,Laz,1,1469
leal1235,Lealao Chinantec,1,1326
liby1240,Libyan Arabic,4,584
liji1238,Lijili,2,138
lisu1250,Lisu,3,383
loni1238,Loniu,1,75
loxi1235,Loxicha Zapotec,1,207
luch1239,Luchazi,2,1061
lund1266,Lunda,2,1225
luya1241,Luyi,1,1030
lyel1241,Lyélé,2,275
mace1250,Macedonian,1,919
mada1293,Mada (Cameroon),2,491
madi1261,Madi (Papua New Guinea),1,67
maib1239,Maybrat-Karon,1,114
mako1251,Makonde,1,55
mall1246,Mal,4,996
malo1243,Tamambo,1,157
mamb1294,Mambai,6,229
mamm1241,Mam,2,1816
mana1288,Manange,2,3673
mana1295,Manam,1,1346
mand1415,Mandarin Chinese,1,88
mand1436,Mandinka,2,45
mani1292,Manipuri,1,312
mara1385,Marra,1,10
marw1260,Marwari (India),1,364
matb1237,Matbat,1,158
mats1244,Matsés,1,151
maza1291,Mazanderani,2,1715
medu1238,Medumba,2,1311
mesc1238,Mescalero-Chiricahua Apache,4,2442
mewa1250,Mewati,2,210
mich1243,Michif,3,534
mich1245,Michoacán Nahuatl,1,148
ming1252,Mingrelian,1,109
mmen1238,Mmen,1,925
moco1246,Mocoví,2,64
moke1242,Moken,2,0
mola1238,Molale,3,161
mono1270,Mono (Democratic Republic of Congo),1,413
mose1249,Mosetén-Chimané,2,385
motl1237,Mwotlap,1,31
mpon1254,Mpongmpong,1,594
mufi1238,Mufian,1,173
muna1247,Muna,1,76
mund1330,Mundurukú,4,108
mung1266,Mungaka,1,1374
naga1394,Naga Pidgin,1,1361
naki1238,Naki,1,738
nami1256,Namia,1,63
nand1266,Nandi,2,2146
nang1259,Nangikurrunggurr,2,113
nank1250,Nankina,1,1140
ndem1249,Ndemli,2,115
nepa1253,Nepali Kurux,1,77
ngad1261,Ngad'a,1,1186
ngal1293,Ngalakgan,1,123
ngem1255,Ngemba,1,1220
ngom1271,Ngombale,1,1708
ngos1238,Ngoshie,1,1254
nige1257,Nigerian Pidgin,1,278
ning1273,Ningil,1,418
nisg1240,Nisga'a,2,22
nort2626,Northern Frisian,1,0
nort2627,Eastern Low German,3,67
nort2684,Northern Khmer,2,220
nort2845,North Marquesan,2,333
nort2943,North Alaskan Inupiatun,1,0
nort2954,Northern Paiute,2,1165
nort2966,Northern Pomo,2,360
nort2984,Northern Pame,4,1375
nubi1253,Nubi,2,1134
nucl1290,Zhenkang Wa,1,1729
nucl1634,Skou,1,36
nucl1695,Bole,2,450
nuer1246,Nuer,6,409
nuuc1236,Nuu-chah-nulth,3,614
nyam1276,Nyamwezi,2,1272
nyan1307,Nyankole,1,1431
nyeu1238,Nyeu,4,136
nyon1241,Nyong,2,1179
obol1243,Obolo,2,22
okuu1243,Oku,1,2019
olut1240,Oluta Popoluca,2,62
onge1236,Önge,1,159
orok1266,Oroko,1,386
orok1269,Orokaiva,1,201
osse1243,Ossetian,1,852
pagi1243,Pagibete,1,484
pala1344,Palauan,2,19
pana1305,Panamint,2,1040
paok1235,Pa'o Karen,1,955
