Glottocode,language,strident,elevation
abau1245,Abau,1,51
achi1257,Achinese,2,12
adam1253,Adamawa Fulfulde,4,370
adan1251,Adang,1,316
aheu1239,Thavung,2,150
akha1245,Akha,7,1109
akla1241,Aklanon,1,140
aman1265,Amanab,1,412
ambe1247,Ambele,8,429
ambu1247,Ambulas,1,101
anei1239,Aneityum,1,557
anti1245,Antigua and Barbuda Creole English,6,24
apur1254,Apurinã,4,138
arag1245,Aragonese,3,657
arhu1242,Arhuaco,4,3650
auuu1241,Au,1,356
awac1239,Awa-Cuaiquer,4,453
awar1248,Awara,1,1281
awin1248,Awing,9,1972
baba1264,Baba,6,1527
baba1266,Babanki,8,1731
bafa1247,Bafaw-Balong,2,98
baga1272,Baga Sitemu,2,3
baga1273,Baga Koga,2,17
bako1249,Bakoko,3,26
bako1250,Bakole,2,31
bamb1265,Bambalang,8,1150
bame1260,Bamenyam,12,1222
bamu1253,Bamun,5,960
bamu1256,Bamunka,5,1171
bang1356,Bangolan,8,1207
bani1255,Baniwa do Icana,4,152
baou1238,Baoulé,1,9
barb1263,Barbareño,21,315
bari1286,Bariai,1,237
baru1269,Baruga,2,63
bata1285,Batanga,1,46
bata1289,Batak Toba,3,948
befa1241,Befang,8,573
beli1260,Belize Kriol English,6,33
bemb1257,Bemba (Zambia),3,1257
berb1259,Berbice Creole Dutch,3,25
bett1235,Betta Kurumba,2,1042
biak1248,Biak,1,187
bilo1248,Biloxi,1,81
bilu1245,Bilua,3,176
binu1245,Binumarien,1,883
blan1242,Blang,1,1229
boik1241,Boikin,2,235
bond1245,Bondo,2,100
bong1285,Bongo,3,504
boro1277,Boro (Ethiopia),2,840
brok1247,Brokskat,5,3231
bubi1249,Bubia,5,166
buku1249,Bukusu,3,1631
bumb1241,Bumbita Arapesh,3,204
cavi1250,Cavineña,3,173
cham1318,Chamicuro,5,129
chec1245,Chechen,3,178
chee1238,Che,4,999
chep1245,Chepang,3,1595
chic1270,Chickasaw,3,266
chim1300,Chimalapa Zoque,4,263
chim1301,Chimariko,8,1740
chim1302,Chimborazo Highland Quichua,7,3888
choc1276,Choctaw,3,137
chol1282,Chol,4,260
chon1284,Chong of Chanthaburi,1,21
chra1242,Chrau,1,182
coeu1236,Coeur d'Alene,7,803
colo1256,Tsafiki,2,440
coma1245,Comanche,2,332
como1259,Comox,6,42
croa1245,Croatian Standard,7,92
crow1244,Crow,3,1014
cupe1243,Cupeño,4,1443
cuvo1236,Cuvok,5,718
czec1258,Czech,6,468
deny1238,Denya,4,133
diml1238,Dimli,7,1667
dobu1241,Dobu,1,32
dupa1235,Dupaninan Agta,1,759
dutc1256,Dutch,4,-3
east2295,Eastern Yiddish,14,187
east2328,Eastern Mari,5,45
east2398,Eastern Karaboro,1,264
east2440,East Makian,8,308
egaa1242,Ega,2,109
eggo1239,Eggon,7,161
ekpe1253,Ekpeye,6,15
elip1238,Elip,3,440
esim1238,Esimbi,5,693
faiw1243,Faiwol,1,1233
fang1246,Fang (Equatorial Guinea),2,625
fili1244,Filipino,1,46
friu1240,Friulian,8,194
furu1242,Furu,3,406
fwee1238,Fwe,11,940
gali1258,Galician,3,1107
gayo1244,Gayo,3,1067
gbar1246,Gbari,5,156
gbay1281,Gbaya-Mbodomo,2,697
gida1247,Gidar,4,394
goli1247,Golin,1,1743
guaj1255,Guajajára,2,308
guan1269,Kotiria,2,143
guja1253,Gujari,6,862
halk1245,Halkomelem,3,94
hang1263,Hanga Hundi,1,54
haya1250,Haya,5,1435
hoav1238,Hoava,2,254
huam1248,Huamalíes-Dos de Mayo Huánuco Quechua,4,1471
huar1255,Huarijio,2,1203
huas1242,Huastec,4,69
huay1240,Huaylas Ancash Quechua,4,4528
hueh1236,Huehuetla Tepehua,6,331
huic1243,Huichol,3,1170
hung1278,Hungana-Saamba,2,355
iban1261,Ibani,4,5
ibib1240,Ibibio,1,47
idaa1241,Ida'an,3,64
ilok1237,Iloko,2,287
imon1245,Imonda,1,284
indo1316,Indonesian,5,556
ingu1240,Ingush,10,661
iseb1246,Isebe,1,258
ital1282,Italian,7,530
izer1241,Izere,7,1041
jama1261,Madi,1,96
jama1262,Jamaican Creole English,5,457
jauj1238,Jauja Wanca Quechua,4,4697
jeme1245,Towa,5,1733
jiar1240,Northern Gyalrong,13,4592
jica1244,Jicarilla Apache,10,2401
juan1238,Juang,1,282
kabi1261,Kabiyé,4,191
kaby1243,Kabyle,4,482
kadi1248,Kadiwéu,2,86
kala1381,Kalabari,3,6
kama1367,Kamasau,4,96
kano1245,Kanoê,1,142
kari1301,Karipúna Creole French,6,66
kari1311,Karitiâna,1,125
kaya1329,Kayabí,1,345
kela1255,Kela (Papua New Guinea),3,27
kens1251,Kenswei Nsei,6,1403
keny1279,Kenyang,3,165
keoo1238,Kéo,3,382
khan1273,Kazym-Berezover-Suryskarer Khanty,2,54
khar1287,Kharia,3,376
kich1262,K'iche',6,1366
kima1246,Kimaama,1,6
kinn1249,Kinnauri,4,4637
kiny1244,Kinyarwanda,8,1611
kiri1254,Kirike,4,22
koas1236,Koasati,2,14
koko1269,Kokota,2,44
konn1242,Konni,4,174
kris1246,I'saka,1,542
kulu1253,Kulung (Nepal),1,1775
kuot1243,Kuot,1,564
kusu1250,Kusunda,6,2429
kute1248,Kutep,8,220
kuvi1243,Kuvi,3,554
kwaz1243,Kwaza,6,176
lada1244,Leh-Kenhat,11,5176
lake1258,Lake Miwok,5,516
lang1320,Langi,7,1236
laoo1244,Lao,2,153
lavu1241,Lavukaleve,1,37
lazz1240,Laz,10,1469
leal1235,Lealao Chinantec,2,1326
liby1240,Libyan Arabic,6,584
liji1238,Lijili,6,138
lisu1250,Lisu,5,383
loni1238,Loniu,2,75
loxi1235,Loxicha Zapotec,5,207
luch1239,Luchazi,10,1061
lund1266,Lunda,6,1225
luya1241,Luyi,4,1030
lyel1241,Lyélé,1,275
mace1250,Macedonian,8,919
mada1293,Mada (Cameroon),4,491
madi1261,Madi (Papua New Guinea),6,67
maib1239,Maybrat-Karon,1,114
mako1251,Makonde,4,55
mall1246,Mal,1,996
malo1243,Tamambo,1,157
mamb1294,Mambai,2,229
mamm1241,Mam,9,1816
mana1288,Manange,7,3673
mana1295,Manam,2,1346
mand1415,Mandarin Chinese,7,88
mand1436,Mandinka,3,45
mani1292,Manipuri,5,312
marw1260,Marwari (India),5,364
matb1237,Matbat,1,158
mats1244,Matsés,6,151
maza1291,Mazanderani,6,1715
medu1238,Medumba,3,1311
mesc1238,Mescalero-Chiricahua Apache,10,2442
mewa1250,Mewati,5,210
mich1243,Michif,7,534
mich1245,Michoacán Nahuatl,4,148
ming1252,Mingrelian,10,109
mmen1238,Mmen,8,925
moco1246,Mocoví,4,64
moke1242,Moken,1,0
mola1238,Molale,3,161
mono1270,Mono (Democratic Republic of Congo),7,413
mose1249,Mosetén-Chimané,6,385
motl1237,Mwotlap,1,31
mpon1254,Mpongmpong,2,594
mufi1238,Mufian,1,173
muna1247,Muna,1,76
mund1330,Mundurukú,4,108
mung1266,Mungaka,3,1374
naga1394,Naga Pidgin,6,1361
naki1238,Naki,13,738
nand1266,Nandi,1,2146
nang1259,Nangikurrunggurr,2,113
nank1250,Nankina,2,1140
ndem1249,Ndemli,4,115
nepa1253,Nepali Kurux,5,77
ngad1261,Ngad'a,3,1186
ngem1255,Ngemba,8,1220
ngom1271,Ngombale,8,1708
ngos1238,Ngoshie,8,1254
nige1257,Nigerian Pidgin,5,278
ning1273,Ningil,1,418
nisg1240,Nisga'a,3,22
nort2626,Northern Frisian,2,0
nort2627,Eastern Low German,4,67
nort2684,Northern Khmer,1,220
nort2845,North Marquesan,1,333
nort2943,North Alaskan Inupiatun,4,0
nort2954,Northern Paiute,3,1165
nort2966,Northern Pomo,8,360
nort2984,Northern Pame,8,1375
nubi1253,Nubi,5,1134
nucl1290,Zhenkang Wa,1,1729
nucl1695,Bole,6,450
nuuc1236,Nuu-chah-nulth,6,614
nyam1276,Nyamwezi,7,1272
nyan1307,Nyankole,6,1431
nyeu1238,Nyeu,1,136
nyon1241,Nyong,2,1179
obol1243,Obolo,3,22
okuu1243,Oku,4,2019
olut1240,Oluta Popoluca,4,62
orok1266,Oroko,4,386
orok1269,Orokaiva,2,201
osse1243,Ossetian,10,852
pagi1243,Pagibete,2,484
pala1344,Palauan,1,19
pana1305,Panamint,3,1040
paok1235,Pa'o Karen,1,955
pate1247,Patep,2,1111
peta1245,Petats,2,122
phal1254,Phalura,8,2948
pila1245,Pilagá,2,119
poli1260,Polish,10,126
pwon1235,Pwo Northern Karen,2,1113
qima1242,Qimant,7,1205
quec1382,Quechan,3,36
rama1270,Rama,3,29
rund1242,Rundi,6,1271
saba1268,Sabanê,1,312
saki1248,Mekens,1,156
sala1272,Salasaca Highland Quichua,7,2483
