Glottocode,language,trill,elevation
achi1257,Achinese,1,12
adam1253,Adamawa Fulfulde,1,370
adan1251,Adang,1,316
akla1241,Aklanon,1,140
alya1239,Alyawarr,1,240
aman1265,Amanab,1,412
ambu1247,Ambulas,1,101
anti1245,Antigua and Barbuda Creole English,1,24
anua1242,Anuak,1,432
arag1245,Aragonese,1,657
baba1264,Baba,1,1527
baga1272,Baga Sitemu,1,3
baga1273,Baga Koga,1,17
bako1250,Bakole,1,31
bamb1265,Bambalang,1,1150
bari1286,Bariai,1,237
bata1289,Batak Toba,1,948
berb1259,Berbice Creole Dutch,1,25
biak1248,Biak,1,187
bilu1245,Bilua,1,176
binu1245,Binumarien,1,883
blan1242,Blang,1,1229
boik1241,Boikin,1,235
bond1245,Bondo,1,100
bong1285,Bongo,1,504
boro1277,Boro (Ethiopia),1,840
buku1249,Bukusu,1,1631
cham1318,Chamicuro,1,129
chec1245,Chechen,2,178
chep1245,Chepang,1,1595
chim1300,Chimalapa Zoque,1,263
chim1301,Chimariko,1,1740
chim1302,Chimborazo Highland Quichua,1,3888
chon1284,Chong of Chanthaburi,1,21
croa1245,Croatian Standard,1,92
czec1258,Czech,2,468
diml1238,Dimli,1,1667
dutc1256,Dutch,1,-3
east2295,Eastern Yiddish,2,187
east2398,Eastern Karaboro,1,264
east2440,East Makian,2,308
esim1238,Esimbi,1,693
friu1240,Friulian,1,194
fwee1238,Fwe,1,940
gali1258,Galician,1,1107
gayo1244,Gayo,1,1067
gbay1281,Gbaya-Mbodomo,1,697
gida1247,Gidar,1,394
goli1247,Golin,1,1743
guja1253,Gujari,1,862
gunw1252,Bininj Kun-Wok,1,72
hoav1238,Hoava,1,254
huay1240,Huaylas Ancash Quechua,1,4528
hueh1236,Huehuetla Tepehua,1,331
hung1278,Hungana-Saamba,1,355
idaa1241,Ida'an,1,64
imon1245,Imonda,1,284
indo1316,Indonesian,1,556
ital1282,Italian,1,530
izer1241,Izere,1,1041
jauj1238,Jauja Wanca Quechua,1,4697
kabi1261,Kabiyé,1,191
kaby1243,Kabyle,1,482
kala1381,Kalabari,1,6
kano1245,Kanoê,1,142
kara1476,Karadjeri,2,135
kela1255,Kela (Papua New Guinea),1,27
keny1279,Kenyang,1,165
keoo1238,Kéo,1,382
khan1273,Kazym-Berezover-Suryskarer Khanty,1,54
kich1262,K'iche',1,1366
kinn1249,Kinnauri,1,4637
kiny1244,Kinyarwanda,1,1611
kulu1253,Kulung (Nepal),1,1775
kuot1243,Kuot,1,564
kusu1250,Kusunda,1,2429
lada1244,Leh-Kenhat,1,5176
lake1258,Lake Miwok,1,516
lang1320,Langi,1,1236
lavu1241,Lavukaleve,1,37
leal1235,Lealao Chinantec,1,1326
liji1238,Lijili,1,138
loni1238,Loniu,1,75
loxi1235,Loxicha Zapotec,1,207
lyel1241,Lyélé,1,275
mace1250,Macedonian,1,919
mada1293,Mada (Cameroon),1,491
madi1261,Madi (Papua New Guinea),2,67
maib1239,Maybrat-Karon,1,114
malo1243,Tamambo,1,157
mamm1241,Mam,1,1816
mand1436,Mandinka,1,45
mani1292,Manipuri,1,312
maza1291,Mazanderani,1,1715
mewa1250,Mewati,1,210
mich1243,Michif,1,534
mich1245,Michoacán Nahuatl,1,148
ming1252,Mingrelian,1,109
mono1270,Mono (Democratic Republic of Congo),1,413
mose1249,Mosetén-Chimané,1,385
muna1247,Muna,1,76
nami1256,Namia,1,63
nang1259,Nangikurrunggurr,1,113
ndem1249,Ndemli,1,115
ngem1255,Ngemba,1,1220
ngom1271,Ngombale,1,1708
ngos1238,Ngoshie,1,1254
ning1273,Ningil,1,418
nort2626,Northern Frisian,1,0
nort2845,North Marquesan,1,333
nubi1253,Nubi,1,1134
nucl1290,Zhenkang Wa,2,1729
nucl1634,Skou,1,36
nucl1695,Bole,1,450
nuer1246,Nuer,1,409
nyan1307,Nyankole,1,1431
obol1243,Obolo,1,22
olut1240,Oluta Popoluca,1,62
onge1236,Önge,1,159
osse1243,Ossetian,1,852
pala1344,Palauan,1,19
paok1235,Pa'o Karen,1,955
peta1245,Petats,1,122
phai1238,Prai,1,677
phal1254,Phalura,1,2948
poli1260,Polish,1,126
pwon1235,Pwo Northern Karen,1,1113
