,language,anterior,elevation
anga1288,Angami Naga,13,469
aona1235,Ao Naga,10,605
apat1240,Apatani,8,424
apuc1241,Apucikwar,10,58
assa1263,Assamese,9,46
awad1243,Awadhi,10,128
bada1257,Badaga,6,1981
balt1258,Balti,14,5605
beng1280,Bengali,9,8
bhil1251,Bhili,12,703
bodo1267,Bodo Gadaba,7,979
bond1245,Bondo,8,100
boro1277,Boro (Ethiopia),9,840
brok1247,Brokskat,13,3231
bund1253,Bundeli,11,281
cent1990,Central Nicobarese,7,126
chau1259,Chaudangsi,9,1690
chok1243,Chokri Naga,14,1854
darm1243,Darma,8,1535
duru1236,Duruwa,6,605
gade1236,Gade Lohar,8,219
galo1242,Galo,6,621
garo1247,Garo,8,114
gata1239,Gata',7,1174
guja1252,Gujarati,8,105
guja1253,Gujari,8,862
halb1244,Halbi,10,424
hind1269,Hindi,9,416
hooo1248,Ho,7,135
irul1243,Irula of the Nilgiri,18,32
jaun1243,Jaunsari,8,1143
jenn1240,Jennu Kurumba,11,1940
juan1238,Juang,7,282
kang1280,Kangri,7,674
karb1241,Hills Karbi,10,127
kash1277,Kashmiri,10,1623
khar1287,Kharia,8,376
khas1269,Khasi,9,38
khez1235,Khezha Naga,16,1413
koda1255,Kodava,8,948
kokb1239,Kok Borok,9,14
kond1295,Konda-Dora,9,959
konk1267,Maharashtrian Konkani,12,723
kork1243,Korku,8,485
korr1238,Korra Koraga,6,102
kota1263,Kota (India),9,1456
koya1251,Koya,8,111
kuii1252,Kui (India),5,490
kuma1273,Kumaoni,7,1278
kuru1302,Kurukh,8,284
kuvi1243,Kuvi,9,554
lada1244,Leh-Kenhat,12,5176
lamb1269,Lambadi,17,361
lepc1244,Lepcha,9,1197
loth1237,Lotha Naga,13,511
lush1249,Mizo,15,102
mait1250,Maithili,7,62
mala1464,Malayalam,11,153
mani1292,Manipuri,8,312
maon1238,Mao Naga,7,1447
mara1378,Marathi,15,649
miju1243,Kman,14,1780
moyo1238,Moyon,7,670
mudh1235,Mudhili Gadaba,6,60
mund1320,Mundari,14,50
nepa1254,Nepali,9,1838
nort2699,Northwestern Kolami,8,265
nucl1305,Kannada,9,709
oriy1255,Odia,8,139
pait1244,Paite Chin,7,1313
panj1256,Eastern Panjabi,8,227
patt1248,Pattani,14,4066
peng1244,Pengo,7,798
pott1240,Pottangi Ollar Gadaba,9,923
ravu1237,Ravula,7,882
sans1269,Sanskrit,8,491
sant1410,Santali,9,30
saur1248,Saurashtra,9,214
saur1249,Sauria Paharia,7,137
shin1264,Shina,10,3704
sind1272,Sindhi,9,20
sora1254,Sora,8,944
sumi1235,Sumi Naga,12,790
tami1289,Tamil,11,106
tang1336,East-Central Tangkhul Naga,9,1520
tase1235,Pangwa Naga,8,834
telu1262,Telugu,11,440
thad1238,Thado Chin,8,1270
toda1252,Toda,16,347
tulu1258,Tulu,6,86
ural1274,Urali of Idukki,8,550
urdu1245,Urdu,7,50
vaag1238,Vaagri Booli,7,59
yeru1240,Yerukula,6,132
