,language,approximant,elevation
anga1288,Angami Naga,14,469
aona1235,Ao Naga,13,605
apat1240,Apatani,17,424
apuc1241,Apucikwar,15,58
assa1263,Assamese,19,46
awad1243,Awadhi,16,128
bada1257,Badaga,18,1981
balt1258,Balti,22,5605
beng1280,Bengali,21,8
bhil1251,Bhili,33,703
bodo1267,Bodo Gadaba,23,979
bond1245,Bondo,18,100
boro1277,Boro (Ethiopia),12,840
brok1247,Brokskat,20,3231
bund1253,Bundeli,24,281
cent1990,Central Nicobarese,22,126
chau1259,Chaudangsi,13,1690
chok1243,Chokri Naga,11,1854
darm1243,Darma,14,1535
duru1236,Duruwa,15,605
gade1236,Gade Lohar,25,219
galo1242,Galo,15,621
garo1247,Garo,6,114
gata1239,Gata',19,1174
guja1252,Gujarati,31,105
guja1253,Gujari,25,862
halb1244,Halbi,17,424
hind1269,Hindi,27,416
hooo1248,Ho,24,135
irul1243,Irula of the Nilgiri,41,32
jaun1243,Jaunsari,22,1143
jenn1240,Jennu Kurumba,13,1940
juan1238,Juang,16,282
kang1280,Kangri,20,674
karb1241,Hills Karbi,15,127
kash1277,Kashmiri,32,1623
khar1287,Kharia,19,376
khas1269,Khasi,18,38
khez1235,Khezha Naga,15,1413
koda1255,Kodava,31,948
kokb1239,Kok Borok,13,14
kond1295,Konda-Dora,27,959
konk1267,Maharashtrian Konkani,15,723
kork1243,Korku,16,485
korr1238,Korra Koraga,17,102
kota1263,Kota (India),21,1456
koya1251,Koya,14,111
kuii1252,Kui (India),21,490
kuma1273,Kumaoni,17,1278
kuru1302,Kurukh,28,284
kuvi1243,Kuvi,23,554
lada1244,Leh-Kenhat,13,5176
lamb1269,Lambadi,39,361
lepc1244,Lepcha,13,1197
loth1237,Lotha Naga,14,511
lush1249,Mizo,14,102
mait1250,Maithili,13,62
mala1464,Malayalam,20,153
mani1292,Manipuri,12,312
maon1238,Mao Naga,10,1447
mara1378,Marathi,20,649
miju1243,Kman,21,1780
moyo1238,Moyon,17,670
mudh1235,Mudhili Gadaba,16,60
mund1320,Mundari,48,50
nepa1254,Nepali,19,1838
nort2699,Northwestern Kolami,17,265
nucl1305,Kannada,16,709
oriy1255,Odia,17,139
pait1244,Paite Chin,9,1313
panj1256,Eastern Panjabi,25,227
patt1248,Pattani,15,4066
peng1244,Pengo,14,798
pott1240,Pottangi Ollar Gadaba,14,923
ravu1237,Ravula,21,882
sans1269,Sanskrit,15,491
sant1410,Santali,16,30
saur1248,Saurashtra,15,214
saur1249,Sauria Paharia,15,137
shin1264,Shina,17,3704
sind1272,Sindhi,25,20
sora1254,Sora,14,944
sumi1235,Sumi Naga,15,790
tami1289,Tamil,18,106
tang1336,East-Central Tangkhul Naga,18,1520
tase1235,Pangwa Naga,8,834
telu1262,Telugu,17,440
thad1238,Thado Chin,11,1270
toda1252,Toda,24,347
tulu1258,Tulu,17,86
ural1274,Urali of Idukki,26,550
urdu1245,Urdu,23,50
vaag1238,Vaagri Booli,18,59
yeru1240,Yerukula,23,132
