,language,back,elevation
anga1288,Angami Naga,4,469
aona1235,Ao Naga,5,605
apat1240,Apatani,6,424
apuc1241,Apucikwar,6,58
assa1263,Assamese,9,46
awad1243,Awadhi,5,128
bada1257,Badaga,6,1981
balt1258,Balti,12,5605
beng1280,Bengali,8,8
bhil1251,Bhili,10,703
bodo1267,Bodo Gadaba,11,979
bond1245,Bondo,7,100
boro1277,Boro (Ethiopia),3,840
brok1247,Brokskat,9,3231
bund1253,Bundeli,10,281
cent1990,Central Nicobarese,9,126
chau1259,Chaudangsi,5,1690
chok1243,Chokri Naga,3,1854
darm1243,Darma,5,1535
duru1236,Duruwa,5,605
gade1236,Gade Lohar,8,219
galo1242,Galo,5,621
garo1247,Garo,2,114
gata1239,Gata',7,1174
guja1252,Gujarati,14,105
guja1253,Gujari,10,862
halb1244,Halbi,5,424
hind1269,Hindi,10,416
hooo1248,Ho,9,135
irul1243,Irula of the Nilgiri,9,32
jaun1243,Jaunsari,9,1143
jenn1240,Jennu Kurumba,3,1940
juan1238,Juang,6,282
kang1280,Kangri,5,674
karb1241,Hills Karbi,5,127
kash1277,Kashmiri,12,1623
khar1287,Kharia,8,376
khas1269,Khasi,6,38
khez1235,Khezha Naga,5,1413
koda1255,Kodava,12,948
kokb1239,Kok Borok,7,14
kond1295,Konda-Dora,11,959
konk1267,Maharashtrian Konkani,5,723
kork1243,Korku,6,485
korr1238,Korra Koraga,5,102
kota1263,Kota (India),8,1456
koya1251,Koya,5,111
kuii1252,Kui (India),8,490
kuma1273,Kumaoni,6,1278
kuru1302,Kurukh,15,284
kuvi1243,Kuvi,10,554
lada1244,Leh-Kenhat,4,5176
lamb1269,Lambadi,15,361
lepc1244,Lepcha,5,1197
loth1237,Lotha Naga,4,511
lush1249,Mizo,4,102
mait1250,Maithili,4,62
mala1464,Malayalam,6,153
mani1292,Manipuri,4,312
maon1238,Mao Naga,3,1447
mara1378,Marathi,6,649
miju1243,Kman,10,1780
moyo1238,Moyon,6,670
mudh1235,Mudhili Gadaba,7,60
mund1320,Mundari,21,50
nepa1254,Nepali,6,1838
nort2699,Northwestern Kolami,4,265
nucl1305,Kannada,5,709
oriy1255,Odia,8,139
pait1244,Paite Chin,4,1313
panj1256,Eastern Panjabi,9,227
patt1248,Pattani,4,4066
peng1244,Pengo,4,798
pott1240,Pottangi Ollar Gadaba,5,923
ravu1237,Ravula,7,882
sans1269,Sanskrit,4,491
sant1410,Santali,7,30
saur1248,Saurashtra,5,214
saur1249,Sauria Paharia,7,137
shin1264,Shina,5,3704
sind1272,Sindhi,11,20
sora1254,Sora,3,944
sumi1235,Sumi Naga,6,790
tami1289,Tamil,5,106
tang1336,East-Central Tangkhul Naga,7,1520
tase1235,Pangwa Naga,4,834
telu1262,Telugu,6,440
thad1238,Thado Chin,4,1270
toda1252,Toda,8,347
tulu1258,Tulu,7,86
ural1274,Urali of Idukki,8,550
urdu1245,Urdu,11,50
vaag1238,Vaagri Booli,5,59
yeru1240,Yerukula,8,132
