Glottocode,language,constrictedGlottis,elevation
aona1235,Ao Naga,1,605
bodo1267,Bodo Gadaba,8,979
bond1245,Bondo,1,100
garo1247,Garo,1,114
gata1239,Gata',1,1174
halb1244,Halbi,1,424
hooo1248,Ho,1,135
karb1241,Hills Karbi,1,127
khar1287,Kharia,1,376
khas1269,Khasi,1,38
kond1295,Konda-Dora,1,959
kork1243,Korku,1,485
kuii1252,Kui (India),1,490
kuru1302,Kurukh,1,284
kuvi1243,Kuvi,1,554
lush1249,Mizo,1,102
mani1292,Manipuri,1,312
miju1243,Kman,2,1780
moyo1238,Moyon,1,670
mund1320,Mundari,2,50
pait1244,Paite Chin,1,1313
sant1410,Santali,4,30
sora1254,Sora,1,944
sumi1235,Sumi Naga,1,790
tase1235,Pangwa Naga,1,834
thad1238,Thado Chin,1,1270
