,language,continuant,elevation
anga1288,Angami Naga,21,469
aona1235,Ao Naga,16,605
apat1240,Apatani,20,424
apuc1241,Apucikwar,18,58
assa1263,Assamese,22,46
awad1243,Awadhi,19,128
bada1257,Badaga,23,1981
balt1258,Balti,32,5605
beng1280,Bengali,25,8
bhil1251,Bhili,37,703
bodo1267,Bodo Gadaba,24,979
bond1245,Bondo,21,100
boro1277,Boro (Ethiopia),17,840
brok1247,Brokskat,31,3231
bund1253,Bundeli,28,281
cent1990,Central Nicobarese,25,126
chau1259,Chaudangsi,17,1690
chok1243,Chokri Naga,19,1854
darm1243,Darma,17,1535
duru1236,Duruwa,17,605
gade1236,Gade Lohar,27,219
galo1242,Galo,17,621
garo1247,Garo,9,114
gata1239,Gata',21,1174
guja1252,Gujarati,36,105
guja1253,Gujari,32,862
halb1244,Halbi,23,424
hind1269,Hindi,33,416
hooo1248,Ho,26,135
irul1243,Irula of the Nilgiri,50,32
jaun1243,Jaunsari,26,1143
jenn1240,Jennu Kurumba,16,1940
juan1238,Juang,17,282
kang1280,Kangri,21,674
karb1241,Hills Karbi,17,127
kash1277,Kashmiri,36,1623
khar1287,Kharia,21,376
khas1269,Khasi,21,38
khez1235,Khezha Naga,23,1413
koda1255,Kodava,36,948
kokb1239,Kok Borok,16,14
kond1295,Konda-Dora,30,959
konk1267,Maharashtrian Konkani,18,723
kork1243,Korku,17,485
korr1238,Korra Koraga,19,102
kota1263,Kota (India),23,1456
koya1251,Koya,16,111
kuii1252,Kui (India),24,490
kuma1273,Kumaoni,18,1278
kuru1302,Kurukh,31,284
kuvi1243,Kuvi,28,554
lada1244,Leh-Kenhat,23,5176
lamb1269,Lambadi,49,361
lepc1244,Lepcha,20,1197
loth1237,Lotha Naga,21,511
lush1249,Mizo,19,102
mait1250,Maithili,17,62
mala1464,Malayalam,25,153
mani1292,Manipuri,15,312
maon1238,Mao Naga,14,1447
mara1378,Marathi,25,649
miju1243,Kman,25,1780
moyo1238,Moyon,22,670
mudh1235,Mudhili Gadaba,17,60
mund1320,Mundari,50,50
nepa1254,Nepali,23,1838
nort2699,Northwestern Kolami,20,265
nucl1305,Kannada,22,709
oriy1255,Odia,19,139
pait1244,Paite Chin,15,1313
panj1256,Eastern Panjabi,33,227
patt1248,Pattani,19,4066
peng1244,Pengo,18,798
pott1240,Pottangi Ollar Gadaba,17,923
ravu1237,Ravula,22,882
sans1269,Sanskrit,20,491
sant1410,Santali,18,30
saur1248,Saurashtra,18,214
saur1249,Sauria Paharia,18,137
shin1264,Shina,25,3704
sind1272,Sindhi,31,20
sora1254,Sora,16,944
sumi1235,Sumi Naga,24,790
tami1289,Tamil,25,106
tang1336,East-Central Tangkhul Naga,26,1520
tase1235,Pangwa Naga,13,834
telu1262,Telugu,23,440
thad1238,Thado Chin,16,1270
toda1252,Toda,36,347
tulu1258,Tulu,21,86
ural1274,Urali of Idukki,32,550
urdu1245,Urdu,30,50
vaag1238,Vaagri Booli,22,59
yeru1240,Yerukula,25,132
