,language,delayedRelease,elevation
anga1288,Angami Naga,13,469
aona1235,Ao Naga,6,605
apat1240,Apatani,5,424
apuc1241,Apucikwar,3,58
assa1263,Assamese,3,46
awad1243,Awadhi,7,128
bada1257,Badaga,5,1981
balt1258,Balti,15,5605
beng1280,Bengali,8,8
bhil1251,Bhili,9,703
bodo1267,Bodo Gadaba,3,979
bond1245,Bondo,5,100
boro1277,Boro (Ethiopia),6,840
brok1247,Brokskat,15,3231
bund1253,Bundeli,8,281
cent1990,Central Nicobarese,4,126
chau1259,Chaudangsi,9,1690
chok1243,Chokri Naga,14,1854
darm1243,Darma,7,1535
duru1236,Duruwa,4,605
gade1236,Gade Lohar,6,219
galo1242,Galo,4,621
garo1247,Garo,5,114
gata1239,Gata',4,1174
guja1252,Gujarati,9,105
guja1253,Gujari,10,862
halb1244,Halbi,9,424
hind1269,Hindi,10,416
hooo1248,Ho,4,135
irul1243,Irula of the Nilgiri,13,32
jaun1243,Jaunsari,8,1143
jenn1240,Jennu Kurumba,7,1940
juan1238,Juang,3,282
kang1280,Kangri,1,674
karb1241,Hills Karbi,8,127
kash1277,Kashmiri,9,1623
khar1287,Kharia,5,376
khas1269,Khasi,5,38
khez1235,Khezha Naga,17,1413
koda1255,Kodava,7,948
kokb1239,Kok Borok,8,14
kond1295,Konda-Dora,3,959
konk1267,Maharashtrian Konkani,11,723
kork1243,Korku,1,485
korr1238,Korra Koraga,4,102
kota1263,Kota (India),4,1456
koya1251,Koya,6,111
kuii1252,Kui (India),4,490
kuma1273,Kumaoni,5,1278
kuru1302,Kurukh,7,284
kuvi1243,Kuvi,9,554
lada1244,Leh-Kenhat,16,5176
lamb1269,Lambadi,18,361
lepc1244,Lepcha,11,1197
loth1237,Lotha Naga,13,511
lush1249,Mizo,7,102
mait1250,Maithili,8,62
mala1464,Malayalam,5,153
mani1292,Manipuri,7,312
maon1238,Mao Naga,8,1447
mara1378,Marathi,13,649
miju1243,Kman,10,1780
moyo1238,Moyon,7,670
mudh1235,Mudhili Gadaba,3,60
mund1320,Mundari,8,50
nepa1254,Nepali,8,1838
nort2699,Northwestern Kolami,6,265
nucl1305,Kannada,10,709
oriy1255,Odia,6,139
pait1244,Paite Chin,6,1313
panj1256,Eastern Panjabi,11,227
patt1248,Pattani,10,4066
peng1244,Pengo,6,798
pott1240,Pottangi Ollar Gadaba,7,923
ravu1237,Ravula,2,882
sans1269,Sanskrit,9,491
sant1410,Santali,6,30
saur1248,Saurashtra,7,214
saur1249,Sauria Paharia,3,137
shin1264,Shina,15,3704
sind1272,Sindhi,6,20
sora1254,Sora,3,944
sumi1235,Sumi Naga,13,790
tami1289,Tamil,9,106
tang1336,East-Central Tangkhul Naga,10,1520
tase1235,Pangwa Naga,8,834
telu1262,Telugu,12,440
thad1238,Thado Chin,7,1270
toda1252,Toda,16,347
tulu1258,Tulu,6,86
ural1274,Urali of Idukki,6,550
urdu1245,Urdu,11,50
vaag1238,Vaagri Booli,6,59
yeru1240,Yerukula,4,132
