,language,front,elevation
anga1288,Angami Naga,10,469
aona1235,Ao Naga,6,605
apat1240,Apatani,14,424
apuc1241,Apucikwar,8,58
assa1263,Assamese,7,46
awad1243,Awadhi,10,128
bada1257,Badaga,9,1981
balt1258,Balti,14,5605
beng1280,Bengali,12,8
bhil1251,Bhili,14,703
bodo1267,Bodo Gadaba,8,979
bond1245,Bondo,9,100
boro1277,Boro (Ethiopia),5,840
brok1247,Brokskat,13,3231
bund1253,Bundeli,12,281
cent1990,Central Nicobarese,9,126
chau1259,Chaudangsi,10,1690
chok1243,Chokri Naga,8,1854
darm1243,Darma,10,1535
duru1236,Duruwa,8,605
gade1236,Gade Lohar,14,219
galo1242,Galo,7,621
garo1247,Garo,2,114
gata1239,Gata',10,1174
guja1252,Gujarati,15,105
guja1253,Gujari,14,862
halb1244,Halbi,10,424
hind1269,Hindi,17,416
hooo1248,Ho,13,135
irul1243,Irula of the Nilgiri,15,32
jaun1243,Jaunsari,13,1143
jenn1240,Jennu Kurumba,6,1940
juan1238,Juang,10,282
kang1280,Kangri,9,674
karb1241,Hills Karbi,9,127
kash1277,Kashmiri,13,1623
khar1287,Kharia,11,376
khas1269,Khasi,10,38
khez1235,Khezha Naga,11,1413
koda1255,Kodava,13,948
kokb1239,Kok Borok,8,14
kond1295,Konda-Dora,8,959
konk1267,Maharashtrian Konkani,10,723
kork1243,Korku,9,485
korr1238,Korra Koraga,11,102
kota1263,Kota (India),10,1456
koya1251,Koya,7,111
kuii1252,Kui (India),9,490
kuma1273,Kumaoni,10,1278
kuru1302,Kurukh,13,284
kuvi1243,Kuvi,11,554
lada1244,Leh-Kenhat,10,5176
lamb1269,Lambadi,20,361
lepc1244,Lepcha,9,1197
loth1237,Lotha Naga,10,511
lush1249,Mizo,5,102
mait1250,Maithili,10,62
mala1464,Malayalam,10,153
mani1292,Manipuri,9,312
maon1238,Mao Naga,5,1447
mara1378,Marathi,10,649
miju1243,Kman,14,1780
moyo1238,Moyon,7,670
mudh1235,Mudhili Gadaba,6,60
mund1320,Mundari,25,50
nepa1254,Nepali,12,1838
nort2699,Northwestern Kolami,7,265
nucl1305,Kannada,11,709
oriy1255,Odia,10,139
pait1244,Paite Chin,3,1313
panj1256,Eastern Panjabi,13,227
patt1248,Pattani,8,4066
peng1244,Pengo,7,798
pott1240,Pottangi Ollar Gadaba,8,923
ravu1237,Ravula,12,882
sans1269,Sanskrit,10,491
sant1410,Santali,9,30
saur1248,Saurashtra,9,214
saur1249,Sauria Paharia,8,137
shin1264,Shina,12,3704
sind1272,Sindhi,16,20
sora1254,Sora,8,944
sumi1235,Sumi Naga,10,790
tami1289,Tamil,8,106
tang1336,East-Central Tangkhul Naga,9,1520
tase1235,Pangwa Naga,4,834
telu1262,Telugu,12,440
thad1238,Thado Chin,6,1270
toda1252,Toda,12,347
tulu1258,Tulu,10,86
ural1274,Urali of Idukki,9,550
urdu1245,Urdu,14,50
vaag1238,Vaagri Booli,11,59
yeru1240,Yerukula,10,132
