Glottocode,language,labial,elevation
anga1288,Angami Naga,14,469
aona1235,Ao Naga,8,605
apat1240,Apatani,11,424
apuc1241,Apucikwar,7,58
assa1263,Assamese,13,46
awad1243,Awadhi,10,128
bada1257,Badaga,9,1981
balt1258,Balti,12,5605
beng1280,Bengali,12,8
bhil1251,Bhili,16,703
bodo1267,Bodo Gadaba,13,979
bond1245,Bondo,11,100
boro1277,Boro (Ethiopia),8,840
brok1247,Brokskat,13,3231
bund1253,Bundeli,14,281
cent1990,Central Nicobarese,9,126
chau1259,Chaudangsi,9,1690
chok1243,Chokri Naga,10,1854
darm1243,Darma,9,1535
duru1236,Duruwa,8,605
gade1236,Gade Lohar,13,219
galo1242,Galo,8,621
garo1247,Garo,5,114
gata1239,Gata',10,1174
guja1252,Gujarati,18,105
guja1253,Gujari,13,862
halb1244,Halbi,12,424
hind1269,Hindi,15,416
hooo1248,Ho,11,135
irul1243,Irula of the Nilgiri,20,32
jaun1243,Jaunsari,13,1143
jenn1240,Jennu Kurumba,6,1940
juan1238,Juang,9,282
kang1280,Kangri,10,674
karb1241,Hills Karbi,10,127
kash1277,Kashmiri,14,1623
khar1287,Kharia,13,376
khas1269,Khasi,11,38
khez1235,Khezha Naga,14,1413
koda1255,Kodava,11,948
kokb1239,Kok Borok,9,14
kond1295,Konda-Dora,13,959
konk1267,Maharashtrian Konkani,10,723
kork1243,Korku,11,485
korr1238,Korra Koraga,8,102
kota1263,Kota (India),10,1456
koya1251,Koya,8,111
kuii1252,Kui (India),11,490
kuma1273,Kumaoni,10,1278
kuru1302,Kurukh,16,284
kuvi1243,Kuvi,13,554
lada1244,Leh-Kenhat,9,5176
lamb1269,Lambadi,18,361
lepc1244,Lepcha,10,1197
loth1237,Lotha Naga,12,511
lush1249,Mizo,11,102
mait1250,Maithili,9,62
mala1464,Malayalam,10,153
mani1292,Manipuri,9,312
maon1238,Mao Naga,10,1447
mara1378,Marathi,13,649
miju1243,Kman,13,1780
moyo1238,Moyon,13,670
mudh1235,Mudhili Gadaba,10,60
mund1320,Mundari,27,50
nepa1254,Nepali,10,1838
nort2699,Northwestern Kolami,8,265
nucl1305,Kannada,12,709
oriy1255,Odia,12,139
pait1244,Paite Chin,9,1313
panj1256,Eastern Panjabi,13,227
patt1248,Pattani,8,4066
peng1244,Pengo,8,798
pott1240,Pottangi Ollar Gadaba,9,923
ravu1237,Ravula,10,882
sans1269,Sanskrit,9,491
sant1410,Santali,13,30
saur1248,Saurashtra,11,214
saur1249,Sauria Paharia,8,137
shin1264,Shina,9,3704
sind1272,Sindhi,16,20
sora1254,Sora,8,944
sumi1235,Sumi Naga,11,790
tami1289,Tamil,10,106
tang1336,East-Central Tangkhul Naga,11,1520
tase1235,Pangwa Naga,8,834
telu1262,Telugu,12,440
thad1238,Thado Chin,8,1270
toda1252,Toda,14,347
tulu1258,Tulu,8,86
ural1274,Urali of Idukki,11,550
urdu1245,Urdu,14,50
vaag1238,Vaagri Booli,9,59
yeru1240,Yerukula,10,132
