,language,labiodental,elevation
anga1288,Angami Naga,5,469
bada1257,Badaga,1,1981
balt1258,Balti,1,5605
brok1247,Brokskat,2,3231
bund1253,Bundeli,1,281
cent1990,Central Nicobarese,1,126
chok1243,Chokri Naga,2,1854
guja1252,Gujarati,1,105
guja1253,Gujari,1,862
halb1244,Halbi,2,424
hind1269,Hindi,1,416
irul1243,Irula of the Nilgiri,1,32
khez1235,Khezha Naga,5,1413
kuii1252,Kui (India),1,490
kuvi1243,Kuvi,1,554
lamb1269,Lambadi,1,361
lepc1244,Lepcha,2,1197
loth1237,Lotha Naga,4,511
lush1249,Mizo,2,102
mala1464,Malayalam,1,153
maon1238,Mao Naga,4,1447
mara1378,Marathi,1,649
moyo1238,Moyon,2,670
nort2699,Northwestern Kolami,1,265
nucl1305,Kannada,2,709
pait1244,Paite Chin,2,1313
panj1256,Eastern Panjabi,1,227
peng1244,Pengo,1,798
pott1240,Pottangi Ollar Gadaba,1,923
sind1272,Sindhi,1,20
sumi1235,Sumi Naga,2,790
tami1289,Tamil,1,106
tang1336,East-Central Tangkhul Naga,2,1520
telu1262,Telugu,2,440
thad1238,Thado Chin,1,1270
toda1252,Toda,2,347
urdu1245,Urdu,1,50
vaag1238,Vaagri Booli,1,59
1,Apucikwar,0,58
2,Ao Naga,0,605
3,Apatani,0,424
4,Assamese,0,46
5,Awadhi,0,128
6,Bengali,0,8
7,Bhili,0,703
8,Mundari,0,50
9,Boro (Ethiopia),0,840
10,Chaudangsi,0,1690
11,Darma,0,1535
12,Gata',0,1174
13,Gade Lohar,0,219
14,Galo,0,621
15,Garo,0,114
16,Bodo Gadaba,0,979
17,Ho,0,135
18,Jaunsari,0,1143
19,Juang,0,282
20,Kangri,0,674
21,Saurashtra,0,214
22,Hills Karbi,0,127
23,Kashmiri,0,1623
24,Jennu Kurumba,0,1940
25,Kharia,0,376
26,Khasi,0,38
27,Kodava,0,948
28,Konda-Dora,0,959
29,Mudhili Gadaba,0,60
30,Maharashtrian Konkani,0,723
31,Korra Koraga,0,102
32,Korku,0,485
33,Kota (India),0,1456
34,Koya,0,111
35,Kumaoni,0,1278
36,Kurukh,0,284
37,Leh-Kenhat,0,5176
38,Maithili,0,62
39,Sauria Paharia,0,137
40,Manipuri,0,312
41,Kman,0,1780
43,Nepali,0,1838
44,Odia,0,139
45,Duruwa,0,605
46,Pattani,0,4066
47,Bondo,0,100
48,Sanskrit,0,491
49,Santali,0,30
50,Shina,0,3704
51,Sora,0,944
52,Pangwa Naga,0,834
53,Kok Borok,0,14
54,Tulu,0,86
55,Urali of Idukki,0,550
56,Ravula,0,882
57,Yerukula,0,132
