,language,lateral,elevation
anga1288,Angami Naga,2,469
aona1235,Ao Naga,2,605
apat1240,Apatani,2,424
apuc1241,Apucikwar,1,58
assa1263,Assamese,1,46
awad1243,Awadhi,2,128
bada1257,Badaga,2,1981
balt1258,Balti,2,5605
beng1280,Bengali,1,8
bhil1251,Bhili,3,703
bodo1267,Bodo Gadaba,2,979
bond1245,Bondo,1,100
boro1277,Boro (Ethiopia),1,840
brok1247,Brokskat,2,3231
bund1253,Bundeli,2,281
cent1990,Central Nicobarese,1,126
chau1259,Chaudangsi,2,1690
chok1243,Chokri Naga,2,1854
darm1243,Darma,1,1535
duru1236,Duruwa,1,605
gade1236,Gade Lohar,2,219
galo1242,Galo,1,621
gata1239,Gata',1,1174
guja1252,Gujarati,2,105
guja1253,Gujari,2,862
halb1244,Halbi,1,424
hind1269,Hindi,1,416
hooo1248,Ho,1,135
irul1243,Irula of the Nilgiri,4,32
jaun1243,Jaunsari,1,1143
jenn1240,Jennu Kurumba,2,1940
juan1238,Juang,1,282
kang1280,Kangri,2,674
karb1241,Hills Karbi,1,127
kash1277,Kashmiri,1,1623
khar1287,Kharia,1,376
khas1269,Khasi,1,38
khez1235,Khezha Naga,2,1413
koda1255,Kodava,2,948
kokb1239,Kok Borok,1,14
kond1295,Konda-Dora,1,959
konk1267,Maharashtrian Konkani,2,723
kork1243,Korku,1,485
korr1238,Korra Koraga,1,102
kota1263,Kota (India),2,1456
koya1251,Koya,1,111
kuii1252,Kui (India),1,490
kuma1273,Kumaoni,2,1278
kuru1302,Kurukh,1,284
kuvi1243,Kuvi,2,554
lada1244,Leh-Kenhat,2,5176
lamb1269,Lambadi,4,361
lepc1244,Lepcha,1,1197
loth1237,Lotha Naga,2,511
lush1249,Mizo,2,102
mala1464,Malayalam,3,153
mani1292,Manipuri,1,312
maon1238,Mao Naga,1,1447
mara1378,Marathi,2,649
miju1243,Kman,2,1780
moyo1238,Moyon,1,670
mudh1235,Mudhili Gadaba,1,60
mund1320,Mundari,1,50
nepa1254,Nepali,2,1838
nort2699,Northwestern Kolami,2,265
nucl1305,Kannada,2,709
oriy1255,Odia,2,139
pait1244,Paite Chin,1,1313
panj1256,Eastern Panjabi,2,227
patt1248,Pattani,3,4066
peng1244,Pengo,1,798
pott1240,Pottangi Ollar Gadaba,1,923
ravu1237,Ravula,2,882
sans1269,Sanskrit,2,491
sant1410,Santali,1,30
saur1248,Saurashtra,2,214
saur1249,Sauria Paharia,1,137
shin1264,Shina,1,3704
sind1272,Sindhi,1,20
sora1254,Sora,1,944
sumi1235,Sumi Naga,2,790
tami1289,Tamil,3,106
tang1336,East-Central Tangkhul Naga,1,1520
tase1235,Pangwa Naga,1,834
telu1262,Telugu,2,440
thad1238,Thado Chin,2,1270
toda1252,Toda,4,347
tulu1258,Tulu,2,86
ural1274,Urali of Idukki,2,550
vaag1238,Vaagri Booli,2,59
yeru1240,Yerukula,2,132
0,Garo,0,114
1,Maithili,0,62
2,Urdu,0,50
