,language,low,elevation
anga1288,Angami Naga,1,469
aona1235,Ao Naga,1,605
apat1240,Apatani,2,424
apuc1241,Apucikwar,1,58
assa1263,Assamese,2,46
awad1243,Awadhi,2,128
bada1257,Badaga,2,1981
balt1258,Balti,3,5605
beng1280,Bengali,4,8
bhil1251,Bhili,3,703
bodo1267,Bodo Gadaba,3,979
bond1245,Bondo,2,100
boro1277,Boro (Ethiopia),1,840
brok1247,Brokskat,3,3231
bund1253,Bundeli,5,281
cent1990,Central Nicobarese,3,126
chau1259,Chaudangsi,1,1690
darm1243,Darma,1,1535
duru1236,Duruwa,2,605
gade1236,Gade Lohar,3,219
galo1242,Galo,2,621
garo1247,Garo,1,114
gata1239,Gata',3,1174
guja1252,Gujarati,4,105
guja1253,Gujari,3,862
halb1244,Halbi,2,424
hind1269,Hindi,4,416
hooo1248,Ho,3,135
irul1243,Irula of the Nilgiri,4,32
jaun1243,Jaunsari,4,1143
jenn1240,Jennu Kurumba,1,1940
juan1238,Juang,2,282
kang1280,Kangri,2,674
karb1241,Hills Karbi,1,127
kash1277,Kashmiri,6,1623
khar1287,Kharia,2,376
khas1269,Khasi,2,38
khez1235,Khezha Naga,1,1413
koda1255,Kodava,4,948
kokb1239,Kok Borok,1,14
kond1295,Konda-Dora,4,959
konk1267,Maharashtrian Konkani,2,723
kork1243,Korku,2,485
korr1238,Korra Koraga,2,102
kota1263,Kota (India),2,1456
koya1251,Koya,2,111
kuii1252,Kui (India),5,490
kuma1273,Kumaoni,1,1278
kuru1302,Kurukh,3,284
kuvi1243,Kuvi,3,554
lada1244,Leh-Kenhat,1,5176
lamb1269,Lambadi,4,361
lepc1244,Lepcha,1,1197
loth1237,Lotha Naga,1,511
lush1249,Mizo,1,102
mait1250,Maithili,2,62
mala1464,Malayalam,3,153
mani1292,Manipuri,2,312
maon1238,Mao Naga,1,1447
mara1378,Marathi,2,649
miju1243,Kman,3,1780
moyo1238,Moyon,2,670
mudh1235,Mudhili Gadaba,3,60
mund1320,Mundari,7,50
nepa1254,Nepali,2,1838
nort2699,Northwestern Kolami,2,265
nucl1305,Kannada,3,709
oriy1255,Odia,2,139
pait1244,Paite Chin,1,1313
panj1256,Eastern Panjabi,3,227
patt1248,Pattani,1,4066
peng1244,Pengo,2,798
pott1240,Pottangi Ollar Gadaba,3,923
ravu1237,Ravula,2,882
sans1269,Sanskrit,2,491
sant1410,Santali,2,30
saur1248,Saurashtra,2,214
saur1249,Sauria Paharia,2,137
shin1264,Shina,2,3704
sind1272,Sindhi,3,20
sora1254,Sora,1,944
sumi1235,Sumi Naga,1,790
tami1289,Tamil,2,106
tang1336,East-Central Tangkhul Naga,1,1520
tase1235,Pangwa Naga,1,834
telu1262,Telugu,3,440
thad1238,Thado Chin,1,1270
toda1252,Toda,1,347
tulu1258,Tulu,2,86
ural1274,Urali of Idukki,4,550
urdu1245,Urdu,4,50
vaag1238,Vaagri Booli,3,59
yeru1240,Yerukula,4,132
0,Chokri Naga,0,1854
