Glottocode,language,nasal,elevation
anga1288,Angami Naga,8,469
aona1235,Ao Naga,3,605
apat1240,Apatani,8,424
apuc1241,Apucikwar,5,58
assa1263,Assamese,10,46
awad1243,Awadhi,6,128
bada1257,Badaga,5,1981
balt1258,Balti,3,5605
beng1280,Bengali,10,8
bhil1251,Bhili,8,703
bodo1267,Bodo Gadaba,8,979
bond1245,Bondo,8,100
boro1277,Boro (Ethiopia),3,840
brok1247,Brokskat,6,3231
bund1253,Bundeli,12,281
cent1990,Central Nicobarese,4,126
chau1259,Chaudangsi,4,1690
chok1243,Chokri Naga,5,1854
darm1243,Darma,5,1535
duru1236,Duruwa,4,605
gade1236,Gade Lohar,12,219
galo1242,Galo,4,621
garo1247,Garo,3,114
gata1239,Gata',9,1174
guja1252,Gujarati,12,105
guja1253,Gujari,14,862
halb1244,Halbi,3,424
hind1269,Hindi,15,416
hooo1248,Ho,10,135
irul1243,Irula of the Nilgiri,10,32
jaun1243,Jaunsari,12,1143
jenn1240,Jennu Kurumba,5,1940
juan1238,Juang,12,282
kang1280,Kangri,6,674
karb1241,Hills Karbi,3,127
kash1277,Kashmiri,15,1623
khar1287,Kharia,9,376
khas1269,Khasi,4,38
khez1235,Khezha Naga,9,1413
koda1255,Kodava,6,948
kokb1239,Kok Borok,4,14
kond1295,Konda-Dora,14,959
konk1267,Maharashtrian Konkani,3,723
kork1243,Korku,8,485
korr1238,Korra Koraga,5,102
kota1263,Kota (India),6,1456
koya1251,Koya,3,111
kuii1252,Kui (India),14,490
kuma1273,Kumaoni,4,1278
kuru1302,Kurukh,18,284
kuvi1243,Kuvi,16,554
lada1244,Leh-Kenhat,4,5176
lamb1269,Lambadi,18,361
lepc1244,Lepcha,4,1197
loth1237,Lotha Naga,8,511
lush1249,Mizo,6,102
mait1250,Maithili,5,62
mala1464,Malayalam,6,153
mani1292,Manipuri,3,312
maon1238,Mao Naga,2,1447
mara1378,Marathi,6,649
miju1243,Kman,7,1780
moyo1238,Moyon,4,670
mudh1235,Mudhili Gadaba,10,60
mund1320,Mundari,21,50
nepa1254,Nepali,4,1838
nort2699,Northwestern Kolami,3,265
nucl1305,Kannada,5,709
oriy1255,Odia,10,139
pait1244,Paite Chin,2,1313
panj1256,Eastern Panjabi,12,227
patt1248,Pattani,7,4066
peng1244,Pengo,4,798
pott1240,Pottangi Ollar Gadaba,7,923
ravu1237,Ravula,6,882
sans1269,Sanskrit,5,491
sant1410,Santali,10,30
saur1248,Saurashtra,4,214
saur1249,Sauria Paharia,4,137
shin1264,Shina,4,3704
sind1272,Sindhi,15,20
sora1254,Sora,6,944
sumi1235,Sumi Naga,8,790
tami1289,Tamil,6,106
tang1336,East-Central Tangkhul Naga,3,1520
tase1235,Pangwa Naga,3,834
telu1262,Telugu,6,440
thad1238,Thado Chin,3,1270
toda1252,Toda,3,347
tulu1258,Tulu,5,86
ural1274,Urali of Idukki,4,550
urdu1245,Urdu,13,50
vaag1238,Vaagri Booli,8,59
yeru1240,Yerukula,10,132
