,language,retractedTongueRoot,elevation
apuc1241,Apucikwar,1,58
brok1247,Brokskat,1,3231
guja1253,Gujari,1,862
1,Angami Naga,0,469
2,Ao Naga,0,605
3,Apatani,0,424
4,Assamese,0,46
5,Awadhi,0,128
6,Badaga,0,1981
7,Balti,0,5605
8,Lambadi,0,361
9,Bengali,0,8
10,Bhili,0,703
11,Mundari,0,50
12,Boro (Ethiopia),0,840
13,Bundeli,0,281
14,Chaudangsi,0,1690
15,Chokri Naga,0,1854
16,Darma,0,1535
17,Gata',0,1174
18,Gade Lohar,0,219
19,Galo,0,621
20,Garo,0,114
21,Gujarati,0,105
22,Bodo Gadaba,0,979
23,Halbi,0,424
24,Hindi,0,416
25,Ho,0,135
26,Irula of the Nilgiri,0,32
27,Jaunsari,0,1143
28,Juang,0,282
29,Kangri,0,674
30,Kannada,0,709
31,Saurashtra,0,214
32,Hills Karbi,0,127
33,Kashmiri,0,1623
34,Jennu Kurumba,0,1940
35,Kharia,0,376
36,Khasi,0,38
37,Khezha Naga,0,1413
38,Kodava,0,948
39,Northwestern Kolami,0,265
40,Konda-Dora,0,959
41,Mudhili Gadaba,0,60
42,Maharashtrian Konkani,0,723
43,Korra Koraga,0,102
44,Korku,0,485
45,Kota (India),0,1456
46,Koya,0,111
47,Kui (India),0,490
48,Kumaoni,0,1278
49,Kurukh,0,284
50,Kuvi,0,554
51,Leh-Kenhat,0,5176
52,Lepcha,0,1197
53,Lotha Naga,0,511
54,Mizo,0,102
55,Maithili,0,62
56,Malayalam,0,153
57,Sauria Paharia,0,137
58,Manipuri,0,312
59,Mao Naga,0,1447
60,Marathi,0,649
61,Kman,0,1780
63,Moyon,0,670
65,Nepali,0,1838
66,Central Nicobarese,0,126
67,Pottangi Ollar Gadaba,0,923
68,Odia,0,139
69,Paite Chin,0,1313
70,Duruwa,0,605
71,Pattani,0,4066
72,Pengo,0,798
73,Eastern Panjabi,0,227
74,Bondo,0,100
75,Sanskrit,0,491
76,Santali,0,30
77,Sumi Naga,0,790
78,Shina,0,3704
79,Sindhi,0,20
80,Sora,0,944
81,Tamil,0,106
82,East-Central Tangkhul Naga,0,1520
83,Pangwa Naga,0,834
84,Telugu,0,440
85,Thado Chin,0,1270
86,Toda,0,347
87,Kok Borok,0,14
88,Tulu,0,86
89,Urali of Idukki,0,550
90,Urdu,0,50
91,Vaagri Booli,0,59
92,Ravula,0,882
93,Yerukula,0,132
