,language,short,elevation
balt1258,Balti,5,5605
bhil1251,Bhili,7,703
brok1247,Brokskat,4,3231
0,Apucikwar,0,58
1,Angami Naga,0,469
2,Ao Naga,0,605
3,Apatani,0,424
4,Assamese,0,46
5,Awadhi,0,128
6,Badaga,0,1981
7,Lambadi,0,361
8,Bengali,0,8
9,Mundari,0,50
10,Boro (Ethiopia),0,840
11,Bundeli,0,281
12,Chaudangsi,0,1690
13,Chokri Naga,0,1854
14,Darma,0,1535
15,Gata',0,1174
16,Gade Lohar,0,219
17,Galo,0,621
18,Garo,0,114
19,Gujari,0,862
20,Gujarati,0,105
21,Bodo Gadaba,0,979
22,Halbi,0,424
23,Hindi,0,416
24,Ho,0,135
25,Irula of the Nilgiri,0,32
26,Jaunsari,0,1143
27,Juang,0,282
28,Kangri,0,674
29,Kannada,0,709
30,Saurashtra,0,214
31,Hills Karbi,0,127
32,Kashmiri,0,1623
33,Jennu Kurumba,0,1940
34,Kharia,0,376
35,Khasi,0,38
36,Khezha Naga,0,1413
37,Kodava,0,948
38,Northwestern Kolami,0,265
39,Konda-Dora,0,959
40,Mudhili Gadaba,0,60
41,Maharashtrian Konkani,0,723
42,Korra Koraga,0,102
43,Korku,0,485
44,Kota (India),0,1456
45,Koya,0,111
46,Kui (India),0,490
47,Kumaoni,0,1278
48,Kurukh,0,284
49,Kuvi,0,554
50,Leh-Kenhat,0,5176
51,Lepcha,0,1197
52,Lotha Naga,0,511
53,Mizo,0,102
54,Maithili,0,62
55,Malayalam,0,153
56,Sauria Paharia,0,137
57,Manipuri,0,312
58,Mao Naga,0,1447
59,Marathi,0,649
60,Kman,0,1780
62,Moyon,0,670
64,Nepali,0,1838
65,Central Nicobarese,0,126
66,Pottangi Ollar Gadaba,0,923
67,Odia,0,139
68,Paite Chin,0,1313
69,Duruwa,0,605
70,Pattani,0,4066
71,Pengo,0,798
72,Eastern Panjabi,0,227
73,Bondo,0,100
74,Sanskrit,0,491
75,Santali,0,30
76,Sumi Naga,0,790
77,Shina,0,3704
78,Sindhi,0,20
79,Sora,0,944
80,Tamil,0,106
81,East-Central Tangkhul Naga,0,1520
82,Pangwa Naga,0,834
83,Telugu,0,440
84,Thado Chin,0,1270
85,Toda,0,347
86,Kok Borok,0,14
87,Tulu,0,86
88,Urali of Idukki,0,550
89,Urdu,0,50
90,Vaagri Booli,0,59
91,Ravula,0,882
92,Yerukula,0,132
