,language,sonorant,elevation
anga1288,Angami Naga,22,469
aona1235,Ao Naga,16,605
apat1240,Apatani,23,424
apuc1241,Apucikwar,20,58
assa1263,Assamese,22,46
awad1243,Awadhi,22,128
bada1257,Badaga,23,1981
balt1258,Balti,25,5605
beng1280,Bengali,24,8
bhil1251,Bhili,37,703
bodo1267,Bodo Gadaba,26,979
bond1245,Bondo,22,100
boro1277,Boro (Ethiopia),15,840
brok1247,Brokskat,26,3231
bund1253,Bundeli,31,281
cent1990,Central Nicobarese,26,126
chau1259,Chaudangsi,17,1690
chok1243,Chokri Naga,16,1854
darm1243,Darma,19,1535
duru1236,Duruwa,19,605
gade1236,Gade Lohar,28,219
galo1242,Galo,19,621
garo1247,Garo,9,114
gata1239,Gata',25,1174
guja1252,Gujarati,36,105
guja1253,Gujari,30,862
halb1244,Halbi,20,424
hind1269,Hindi,32,416
hooo1248,Ho,30,135
irul1243,Irula of the Nilgiri,51,32
jaun1243,Jaunsari,27,1143
jenn1240,Jennu Kurumba,18,1940
juan1238,Juang,22,282
kang1280,Kangri,25,674
karb1241,Hills Karbi,18,127
kash1277,Kashmiri,35,1623
khar1287,Kharia,23,376
khas1269,Khasi,22,38
khez1235,Khezha Naga,24,1413
koda1255,Kodava,37,948
kokb1239,Kok Borok,17,14
kond1295,Konda-Dora,31,959
konk1267,Maharashtrian Konkani,18,723
kork1243,Korku,19,485
korr1238,Korra Koraga,22,102
kota1263,Kota (India),27,1456
koya1251,Koya,17,111
kuii1252,Kui (India),26,490
kuma1273,Kumaoni,21,1278
kuru1302,Kurukh,32,284
kuvi1243,Kuvi,29,554
lada1244,Leh-Kenhat,17,5176
lamb1269,Lambadi,49,361
lepc1244,Lepcha,17,1197
loth1237,Lotha Naga,22,511
lush1249,Mizo,20,102
mait1250,Maithili,18,62
mala1464,Malayalam,26,153
mani1292,Manipuri,15,312
maon1238,Mao Naga,12,1447
mara1378,Marathi,26,649
miju1243,Kman,25,1780
moyo1238,Moyon,21,670
mudh1235,Mudhili Gadaba,20,60
mund1320,Mundari,59,50
nepa1254,Nepali,23,1838
nort2699,Northwestern Kolami,20,265
nucl1305,Kannada,21,709
oriy1255,Odia,21,139
pait1244,Paite Chin,11,1313
panj1256,Eastern Panjabi,28,227
patt1248,Pattani,22,4066
peng1244,Pengo,18,798
pott1240,Pottangi Ollar Gadaba,19,923
ravu1237,Ravula,27,882
sans1269,Sanskrit,20,491
sant1410,Santali,20,30
saur1248,Saurashtra,19,214
saur1249,Sauria Paharia,19,137
shin1264,Shina,21,3704
sind1272,Sindhi,30,20
sora1254,Sora,20,944
sumi1235,Sumi Naga,23,790
tami1289,Tamil,24,106
tang1336,East-Central Tangkhul Naga,21,1520
tase1235,Pangwa Naga,11,834
telu1262,Telugu,23,440
thad1238,Thado Chin,14,1270
toda1252,Toda,27,347
tulu1258,Tulu,22,86
ural1274,Urali of Idukki,30,550
urdu1245,Urdu,26,50
vaag1238,Vaagri Booli,23,59
yeru1240,Yerukula,26,132
