Glottocode,language,spreadGlottis,elevation
anga1288,Angami Naga,11,469
aona1235,Ao Naga,4,605
apat1240,Apatani,1,424
apuc1241,Apucikwar,3,58
assa1263,Assamese,7,46
awad1243,Awadhi,16,128
balt1258,Balti,7,5605
beng1280,Bengali,13,8
bhil1251,Bhili,14,703
bond1245,Bondo,4,100
boro1277,Boro (Ethiopia),3,840
brok1247,Brokskat,6,3231
bund1253,Bundeli,17,281
cent1990,Central Nicobarese,1,126
chau1259,Chaudangsi,11,1690
chok1243,Chokri Naga,11,1854
darm1243,Darma,11,1535
duru1236,Duruwa,1,605
gade1236,Gade Lohar,11,219
galo1242,Galo,1,621
garo1247,Garo,1,114
gata1239,Gata',1,1174
guja1252,Gujarati,18,105
guja1253,Gujari,6,862
halb1244,Halbi,7,424
hind1269,Hindi,12,416
hooo1248,Ho,1,135
jaun1243,Jaunsari,12,1143
kang1280,Kangri,5,674
karb1241,Hills Karbi,9,127
kash1277,Kashmiri,7,1623
khar1287,Kharia,10,376
khas1269,Khasi,8,38
khez1235,Khezha Naga,15,1413
koda1255,Kodava,1,948
kokb1239,Kok Borok,6,14
kond1295,Konda-Dora,1,959
konk1267,Maharashtrian Konkani,12,723
kork1243,Korku,8,485
koya1251,Koya,1,111
kuii1252,Kui (India),1,490
kuma1273,Kumaoni,10,1278
kuru1302,Kurukh,11,284
kuvi1243,Kuvi,1,554
lada1244,Leh-Kenhat,9,5176
lamb1269,Lambadi,2,361
lepc1244,Lepcha,1,1197
loth1237,Lotha Naga,12,511
lush1249,Mizo,6,102
mait1250,Maithili,12,62
mala1464,Malayalam,1,153
mani1292,Manipuri,8,312
mara1378,Marathi,19,649
miju1243,Kman,6,1780
moyo1238,Moyon,7,670
mund1320,Mundari,10,50
nepa1254,Nepali,13,1838
nucl1305,Kannada,11,709
oriy1255,Odia,11,139
pait1244,Paite Chin,3,1313
panj1256,Eastern Panjabi,7,227
patt1248,Pattani,11,4066
peng1244,Pengo,1,798
sans1269,Sanskrit,13,491
sant1410,Santali,11,30
saur1248,Saurashtra,12,214
saur1249,Sauria Paharia,1,137
shin1264,Shina,8,3704
sind1272,Sindhi,10,20
sumi1235,Sumi Naga,10,790
tami1289,Tamil,1,106
tang1336,East-Central Tangkhul Naga,4,1520
tase1235,Pangwa Naga,4,834
telu1262,Telugu,11,440
thad1238,Thado Chin,5,1270
urdu1245,Urdu,11,50
