,language,strident,elevation
anga1288,Angami Naga,4,469
aona1235,Ao Naga,3,605
apat1240,Apatani,1,424
apuc1241,Apucikwar,1,58
assa1263,Assamese,2,46
awad1243,Awadhi,1,128
bada1257,Badaga,2,1981
balt1258,Balti,4,5605
beng1280,Bengali,1,8
bhil1251,Bhili,3,703
bodo1267,Bodo Gadaba,1,979
bond1245,Bondo,3,100
boro1277,Boro (Ethiopia),3,840
brok1247,Brokskat,5,3231
bund1253,Bundeli,1,281
cent1990,Central Nicobarese,1,126
chau1259,Chaudangsi,3,1690
chok1243,Chokri Naga,5,1854
darm1243,Darma,1,1535
duru1236,Duruwa,1,605
gade1236,Gade Lohar,1,219
galo1242,Galo,1,621
garo1247,Garo,4,114
gata1239,Gata',1,1174
guja1252,Gujarati,2,105
guja1253,Gujari,2,862
halb1244,Halbi,3,424
hind1269,Hindi,2,416
hooo1248,Ho,1,135
irul1243,Irula of the Nilgiri,4,32
jaun1243,Jaunsari,1,1143
jenn1240,Jennu Kurumba,5,1940
juan1238,Juang,1,282
kang1280,Kangri,1,674
karb1241,Hills Karbi,3,127
kash1277,Kashmiri,4,1623
khar1287,Kharia,1,376
khas1269,Khasi,1,38
khez1235,Khezha Naga,5,1413
koda1255,Kodava,2,948
kokb1239,Kok Borok,3,14
kond1295,Konda-Dora,2,959
konk1267,Maharashtrian Konkani,6,723
kork1243,Korku,1,485
korr1238,Korra Koraga,1,102
kota1263,Kota (India),2,1456
koya1251,Koya,3,111
kuii1252,Kui (India),1,490
kuru1302,Kurukh,1,284
kuvi1243,Kuvi,4,554
lada1244,Leh-Kenhat,7,5176
lamb1269,Lambadi,9,361
lepc1244,Lepcha,4,1197
loth1237,Lotha Naga,4,511
lush1249,Mizo,2,102
mait1250,Maithili,2,62
mala1464,Malayalam,3,153
mani1292,Manipuri,1,312
maon1238,Mao Naga,2,1447
mara1378,Marathi,6,649
miju1243,Kman,5,1780
moyo1238,Moyon,2,670
mudh1235,Mudhili Gadaba,1,60
mund1320,Mundari,2,50
nepa1254,Nepali,2,1838
nort2699,Northwestern Kolami,3,265
nucl1305,Kannada,2,709
oriy1255,Odia,1,139
pait1244,Paite Chin,2,1313
panj1256,Eastern Panjabi,2,227
patt1248,Pattani,6,4066
peng1244,Pengo,2,798
pott1240,Pottangi Ollar Gadaba,4,923
ravu1237,Ravula,1,882
sans1269,Sanskrit,2,491
sant1410,Santali,1,30
saur1248,Saurashtra,2,214
saur1249,Sauria Paharia,1,137
shin1264,Shina,7,3704
sind1272,Sindhi,2,20
sora1254,Sora,2,944
sumi1235,Sumi Naga,4,790
tami1289,Tamil,3,106
tang1336,East-Central Tangkhul Naga,2,1520
tase1235,Pangwa Naga,2,834
telu1262,Telugu,4,440
thad1238,Thado Chin,2,1270
toda1252,Toda,8,347
tulu1258,Tulu,2,86
ural1274,Urali of Idukki,2,550
urdu1245,Urdu,1,50
vaag1238,Vaagri Booli,2,59
yeru1240,Yerukula,2,132
0,Kumaoni,0,1278
