,language,tap,elevation
aona1235,Ao Naga,1,605
apat1240,Apatani,1,424
apuc1241,Apucikwar,1,58
awad1243,Awadhi,2,128
balt1258,Balti,1,5605
beng1280,Bengali,3,8
bhil1251,Bhili,1,703
bodo1267,Bodo Gadaba,1,979
bond1245,Bondo,1,100
boro1277,Boro (Ethiopia),1,840
bund1253,Bundeli,2,281
cent1990,Central Nicobarese,1,126
chok1243,Chokri Naga,2,1854
darm1243,Darma,2,1535
duru1236,Duruwa,2,605
gade1236,Gade Lohar,1,219
galo1242,Galo,1,621
garo1247,Garo,1,114
gata1239,Gata',1,1174
guja1252,Gujarati,2,105
guja1253,Gujari,1,862
hind1269,Hindi,3,416
hooo1248,Ho,2,135
irul1243,Irula of the Nilgiri,3,32
jaun1243,Jaunsari,1,1143
jenn1240,Jennu Kurumba,1,1940
juan1238,Juang,3,282
kang1280,Kangri,3,674
khar1287,Kharia,2,376
khas1269,Khasi,1,38
khez1235,Khezha Naga,2,1413
koda1255,Kodava,1,948
kond1295,Konda-Dora,2,959
konk1267,Maharashtrian Konkani,1,723
kork1243,Korku,2,485
kota1263,Kota (India),1,1456
koya1251,Koya,1,111
kuii1252,Kui (India),1,490
kuma1273,Kumaoni,2,1278
kuru1302,Kurukh,1,284
kuvi1243,Kuvi,2,554
lamb1269,Lambadi,3,361
lepc1244,Lepcha,1,1197
lush1249,Mizo,4,102
mait1250,Maithili,3,62
mala1464,Malayalam,1,153
mara1378,Marathi,2,649
mund1320,Mundari,4,50
nepa1254,Nepali,2,1838
nucl1305,Kannada,1,709
oriy1255,Odia,1,139
panj1256,Eastern Panjabi,1,227
patt1248,Pattani,2,4066
peng1244,Pengo,2,798
sans1269,Sanskrit,2,491
sant1410,Santali,1,30
saur1249,Sauria Paharia,1,137
sind1272,Sindhi,2,20
sora1254,Sora,2,944
tami1289,Tamil,2,106
tang1336,East-Central Tangkhul Naga,1,1520
tase1235,Pangwa Naga,1,834
telu1262,Telugu,2,440
toda1252,Toda,2,347
ural1274,Urali of Idukki,1,550
urdu1245,Urdu,1,50
yeru1240,Yerukula,1,132
1,Angami Naga,0,469
2,Assamese,0,46
3,Badaga,0,1981
4,Brokskat,0,3231
5,Chaudangsi,0,1690
6,Halbi,0,424
7,Saurashtra,0,214
8,Hills Karbi,0,127
9,Kashmiri,0,1623
10,Northwestern Kolami,0,265
11,Mudhili Gadaba,0,60
12,Korra Koraga,0,102
13,Leh-Kenhat,0,5176
14,Lotha Naga,0,511
15,Manipuri,0,312
16,Mao Naga,0,1447
17,Kman,0,1780
18,Moyon,0,670
20,Pottangi Ollar Gadaba,0,923
21,Paite Chin,0,1313
22,Sumi Naga,0,790
23,Shina,0,3704
24,Thado Chin,0,1270
25,Kok Borok,0,14
26,Tulu,0,86
27,Vaagri Booli,0,59
28,Ravula,0,882
