,language,tense,elevation
anga1288,Angami Naga,8,469
aona1235,Ao Naga,7,605
apat1240,Apatani,8,424
apuc1241,Apucikwar,7,58
assa1263,Assamese,7,46
awad1243,Awadhi,6,128
bada1257,Badaga,10,1981
balt1258,Balti,14,5605
beng1280,Bengali,7,8
bhil1251,Bhili,19,703
bodo1267,Bodo Gadaba,9,979
bond1245,Bondo,7,100
boro1277,Boro (Ethiopia),6,840
brok1247,Brokskat,13,3231
bund1253,Bundeli,10,281
cent1990,Central Nicobarese,10,126
chau1259,Chaudangsi,6,1690
chok1243,Chokri Naga,6,1854
darm1243,Darma,6,1535
duru1236,Duruwa,10,605
gade1236,Gade Lohar,9,219
galo1242,Galo,8,621
garo1247,Garo,4,114
gata1239,Gata',7,1174
guja1252,Gujarati,14,105
guja1253,Gujari,8,862
halb1244,Halbi,9,424
hind1269,Hindi,9,416
hooo1248,Ho,11,135
irul1243,Irula of the Nilgiri,14,32
jaun1243,Jaunsari,9,1143
jenn1240,Jennu Kurumba,7,1940
juan1238,Juang,5,282
kang1280,Kangri,7,674
karb1241,Hills Karbi,6,127
kash1277,Kashmiri,17,1623
khar1287,Kharia,11,376
khas1269,Khasi,11,38
khez1235,Khezha Naga,8,1413
koda1255,Kodava,12,948
kokb1239,Kok Borok,5,14
kond1295,Konda-Dora,14,959
konk1267,Maharashtrian Konkani,9,723
kork1243,Korku,8,485
korr1238,Korra Koraga,11,102
kota1263,Kota (India),10,1456
koya1251,Koya,10,111
kuii1252,Kui (India),9,490
kuma1273,Kumaoni,6,1278
kuru1302,Kurukh,10,284
kuvi1243,Kuvi,12,554
lada1244,Leh-Kenhat,6,5176
lamb1269,Lambadi,22,361
lepc1244,Lepcha,5,1197
loth1237,Lotha Naga,6,511
lush1249,Mizo,6,102
mait1250,Maithili,6,62
mala1464,Malayalam,11,153
mani1292,Manipuri,8,312
maon1238,Mao Naga,6,1447
mara1378,Marathi,11,649
miju1243,Kman,12,1780
moyo1238,Moyon,8,670
mudh1235,Mudhili Gadaba,9,60
mund1320,Mundari,22,50
nepa1254,Nepali,10,1838
nort2699,Northwestern Kolami,10,265
nucl1305,Kannada,10,709
oriy1255,Odia,7,139
pait1244,Paite Chin,6,1313
panj1256,Eastern Panjabi,8,227
patt1248,Pattani,6,4066
peng1244,Pengo,9,798
pott1240,Pottangi Ollar Gadaba,8,923
ravu1237,Ravula,10,882
sans1269,Sanskrit,8,491
sant1410,Santali,7,30
saur1248,Saurashtra,10,214
saur1249,Sauria Paharia,10,137
shin1264,Shina,10,3704
sind1272,Sindhi,9,20
sora1254,Sora,6,944
sumi1235,Sumi Naga,8,790
tami1289,Tamil,11,106
tang1336,East-Central Tangkhul Naga,8,1520
tase1235,Pangwa Naga,3,834
telu1262,Telugu,10,440
thad1238,Thado Chin,5,1270
toda1252,Toda,12,347
tulu1258,Tulu,10,86
ural1274,Urali of Idukki,8,550
urdu1245,Urdu,9,50
vaag1238,Vaagri Booli,10,59
yeru1240,Yerukula,12,132
