Glottocode,language,trill,elevation
anga1288,Angami Naga,2,469
apuc1241,Apucikwar,1,58
assa1263,Assamese,1,46
awad1243,Awadhi,2,128
bada1257,Badaga,1,1981
beng1280,Bengali,1,8
bodo1267,Bodo Gadaba,1,979
bond1245,Bondo,1,100
brok1247,Brokskat,1,3231
bund1253,Bundeli,2,281
cent1990,Central Nicobarese,1,126
chau1259,Chaudangsi,1,1690
darm1243,Darma,1,1535
gade1236,Gade Lohar,1,219
gata1239,Gata',1,1174
guja1253,Gujari,1,862
halb1244,Halbi,1,424
irul1243,Irula of the Nilgiri,2,32
jaun1243,Jaunsari,1,1143
jenn1240,Jennu Kurumba,1,1940
kang1280,Kangri,1,674
karb1241,Hills Karbi,1,127
kash1277,Kashmiri,1,1623
khas1269,Khasi,1,38
koda1255,Kodava,1,948
kokb1239,Kok Borok,1,14
kond1295,Konda-Dora,2,959
korr1238,Korra Koraga,1,102
kota1263,Kota (India),1,1456
kuru1302,Kurukh,1,284
lada1244,Leh-Kenhat,1,5176
loth1237,Lotha Naga,2,511
mala1464,Malayalam,1,153
mani1292,Manipuri,1,312
maon1238,Mao Naga,1,1447
miju1243,Kman,1,1780
moyo1238,Moyon,1,670
mudh1235,Mudhili Gadaba,1,60
nepa1254,Nepali,1,1838
nort2699,Northwestern Kolami,1,265
panj1256,Eastern Panjabi,1,227
patt1248,Pattani,2,4066
pott1240,Pottangi Ollar Gadaba,1,923
ravu1237,Ravula,1,882
sans1269,Sanskrit,1,491
sant1410,Santali,1,30
saur1248,Saurashtra,1,214
saur1249,Sauria Paharia,1,137
shin1264,Shina,1,3704
sora1254,Sora,1,944
tang1336,East-Central Tangkhul Naga,1,1520
toda1252,Toda,1,347
tulu1258,Tulu,1,86
ural1274,Urali of Idukki,1,550
urdu1245,Urdu,1,50
vaag1238,Vaagri Booli,1,59
