Glottocode,language,consonantal,elevation
anga1288,Angami Naga,33,469
aona1235,Ao Naga,22,605
apat1240,Apatani,22,424
apuc1241,Apucikwar,23,58
assa1263,Assamese,19,46
awad1243,Awadhi,33,128
bada1257,Badaga,23,1981
balt1258,Balti,32,5605
beng1280,Bengali,30,8
bhil1251,Bhili,31,703
bodo1267,Bodo Gadaba,21,979
bond1245,Bondo,25,100
boro1277,Boro (Ethiopia),20,840
brok1247,Brokskat,38,3231
bund1253,Bundeli,35,281
cent1990,Central Nicobarese,15,126
chau1259,Chaudangsi,32,1690
chok1243,Chokri Naga,30,1854
darm1243,Darma,32,1535
duru1236,Duruwa,18,605
gade1236,Gade Lohar,28,219
galo1242,Galo,15,621
garo1247,Garo,15,114
gata1239,Gata',21,1174
guja1252,Gujarati,32,105
guja1253,Gujari,32,862
halb1244,Halbi,26,424
hind1269,Hindi,34,416
hooo1248,Ho,21,135
irul1243,Irula of the Nilgiri,50,32
jaun1243,Jaunsari,30,1143
jenn1240,Jennu Kurumba,24,1940
juan1238,Juang,24,282
kang1280,Kangri,27,674
karb1241,Hills Karbi,25,127
kash1277,Kashmiri,25,1623
khar1287,Kharia,28,376
khas1269,Khasi,24,38
khez1235,Khezha Naga,37,1413
koda1255,Kodava,24,948
kokb1239,Kok Borok,22,14
kond1295,Konda-Dora,20,959
konk1267,Maharashtrian Konkani,33,723
kork1243,Korku,24,485
korr1238,Korra Koraga,19,102
kota1263,Kota (India),24,1456
koya1251,Koya,18,111
kuii1252,Kui (India),19,490
kuma1273,Kumaoni,29,1278
kuru1302,Kurukh,30,284
kuvi1243,Kuvi,27,554
lada1244,Leh-Kenhat,33,5176
lamb1269,Lambadi,48,361
lepc1244,Lepcha,24,1197
loth1237,Lotha Naga,32,511
lush1249,Mizo,30,102
mait1250,Maithili,31,62
mala1464,Malayalam,27,153
mani1292,Manipuri,24,312
maon1238,Mao Naga,18,1447
mara1378,Marathi,38,649
miju1243,Kman,31,1780
moyo1238,Moyon,21,670
mudh1235,Mudhili Gadaba,17,60
mund1320,Mundari,50,50
nepa1254,Nepali,32,1838
nort2699,Northwestern Kolami,20,265
nucl1305,Kannada,33,709
oriy1255,Odia,28,139
pait1244,Paite Chin,16,1313
panj1256,Eastern Panjabi,28,227
patt1248,Pattani,36,4066
peng1244,Pengo,20,798
pott1240,Pottangi Ollar Gadaba,22,923
ravu1237,Ravula,21,882
sans1269,Sanskrit,33,491
sant1410,Santali,32,30
saur1248,Saurashtra,29,214
saur1249,Sauria Paharia,21,137
shin1264,Shina,32,3704
sind1272,Sindhi,39,20
sora1254,Sora,21,944
sumi1235,Sumi Naga,32,790
tami1289,Tamil,29,106
tang1336,East-Central Tangkhul Naga,24,1520
tase1235,Pangwa Naga,22,834
telu1262,Telugu,37,440
thad1238,Thado Chin,21,1270
toda1252,Toda,36,347
tulu1258,Tulu,21,86
ural1274,Urali of Idukki,24,550
urdu1245,Urdu,32,50
vaag1238,Vaagri Booli,22,59
yeru1240,Yerukula,18,132
