Glottocode,language,coronal,elevation
anga1288,Angami Naga,19,469
aona1235,Ao Naga,13,605
apat1240,Apatani,11,424
apuc1241,Apucikwar,17,58
assa1263,Assamese,9,46
awad1243,Awadhi,22,128
bada1257,Badaga,15,1981
balt1258,Balti,21,5605
beng1280,Bengali,20,8
bhil1251,Bhili,21,703
bodo1267,Bodo Gadaba,14,979
bond1245,Bondo,16,100
boro1277,Boro (Ethiopia),9,840
brok1247,Brokskat,25,3231
bund1253,Bundeli,23,281
cent1990,Central Nicobarese,10,126
chau1259,Chaudangsi,21,1690
chok1243,Chokri Naga,19,1854
darm1243,Darma,21,1535
duru1236,Duruwa,12,605
gade1236,Gade Lohar,19,219
galo1242,Galo,9,621
garo1247,Garo,8,114
gata1239,Gata',14,1174
guja1252,Gujarati,22,105
guja1253,Gujari,19,862
halb1244,Halbi,13,424
hind1269,Hindi,23,416
hooo1248,Ho,14,135
irul1243,Irula of the Nilgiri,35,32
jaun1243,Jaunsari,20,1143
jenn1240,Jennu Kurumba,18,1940
juan1238,Juang,18,282
kang1280,Kangri,19,674
karb1241,Hills Karbi,13,127
kash1277,Kashmiri,17,1623
khar1287,Kharia,17,376
khas1269,Khasi,13,38
khez1235,Khezha Naga,23,1413
koda1255,Kodava,18,948
kokb1239,Kok Borok,14,14
kond1295,Konda-Dora,13,959
konk1267,Maharashtrian Konkani,24,723
kork1243,Korku,13,485
korr1238,Korra Koraga,13,102
kota1263,Kota (India),18,1456
koya1251,Koya,13,111
kuii1252,Kui (India),11,490
kuma1273,Kumaoni,19,1278
kuru1302,Kurukh,18,284
kuvi1243,Kuvi,19,554
lada1244,Leh-Kenhat,23,5176
lamb1269,Lambadi,36,361
lepc1244,Lepcha,16,1197
loth1237,Lotha Naga,19,511
lush1249,Mizo,17,102
mait1250,Maithili,21,62
mala1464,Malayalam,20,153
mani1292,Manipuri,14,312
maon1238,Mao Naga,9,1447
mara1378,Marathi,27,649
miju1243,Kman,19,1780
moyo1238,Moyon,9,670
mudh1235,Mudhili Gadaba,11,60
mund1320,Mundari,32,50
nepa1254,Nepali,22,1838
nort2699,Northwestern Kolami,13,265
nucl1305,Kannada,21,709
oriy1255,Odia,18,139
pait1244,Paite Chin,7,1313
panj1256,Eastern Panjabi,18,227
patt1248,Pattani,27,4066
peng1244,Pengo,13,798
pott1240,Pottangi Ollar Gadaba,15,923
ravu1237,Ravula,15,882
sans1269,Sanskrit,23,491
sant1410,Santali,19,30
saur1248,Saurashtra,19,214
saur1249,Sauria Paharia,13,137
shin1264,Shina,22,3704
sind1272,Sindhi,23,20
sora1254,Sora,14,944
sumi1235,Sumi Naga,18,790
tami1289,Tamil,20,106
tang1336,East-Central Tangkhul Naga,13,1520
tase1235,Pangwa Naga,11,834
telu1262,Telugu,25,440
thad1238,Thado Chin,10,1270
toda1252,Toda,28,347
tulu1258,Tulu,14,86
ural1274,Urali of Idukki,16,550
urdu1245,Urdu,18,50
vaag1238,Vaagri Booli,15,59
yeru1240,Yerukula,13,132
