Glottocode,language,distributed,elevation
anga1288,Angami Naga,6,469
aona1235,Ao Naga,3,605
apat1240,Apatani,3,424
apuc1241,Apucikwar,7,58
assa1263,Assamese,5,46
awad1243,Awadhi,9,128
bada1257,Badaga,6,1981
balt1258,Balti,10,5605
beng1280,Bengali,9,8
bhil1251,Bhili,10,703
bodo1267,Bodo Gadaba,5,979
bond1245,Bondo,3,100
boro1277,Boro (Ethiopia),4,840
brok1247,Brokskat,10,3231
bund1253,Bundeli,9,281
cent1990,Central Nicobarese,3,126
chau1259,Chaudangsi,11,1690
chok1243,Chokri Naga,10,1854
darm1243,Darma,11,1535
duru1236,Duruwa,5,605
gade1236,Gade Lohar,9,219
galo1242,Galo,6,621
garo1247,Garo,3,114
gata1239,Gata',4,1174
guja1252,Gujarati,11,105
guja1253,Gujari,9,862
halb1244,Halbi,3,424
hind1269,Hindi,12,416
hooo1248,Ho,6,135
irul1243,Irula of the Nilgiri,12,32
jaun1243,Jaunsari,10,1143
jenn1240,Jennu Kurumba,6,1940
juan1238,Juang,7,282
kang1280,Kangri,7,674
karb1241,Hills Karbi,3,127
kash1277,Kashmiri,7,1623
khar1287,Kharia,4,376
khas1269,Khasi,4,38
khez1235,Khezha Naga,12,1413
koda1255,Kodava,8,948
kokb1239,Kok Borok,9,14
kond1295,Konda-Dora,2,959
konk1267,Maharashtrian Konkani,10,723
kork1243,Korku,4,485
korr1238,Korra Koraga,7,102
kota1263,Kota (India),6,1456
koya1251,Koya,4,111
kuii1252,Kui (India),4,490
kuma1273,Kumaoni,10,1278
kuru1302,Kurukh,5,284
kuvi1243,Kuvi,7,554
lada1244,Leh-Kenhat,9,5176
lamb1269,Lambadi,13,361
lepc1244,Lepcha,7,1197
loth1237,Lotha Naga,11,511
lush1249,Mizo,11,102
mait1250,Maithili,10,62
mala1464,Malayalam,8,153
mani1292,Manipuri,10,312
maon1238,Mao Naga,4,1447
mara1378,Marathi,11,649
miju1243,Kman,10,1780
moyo1238,Moyon,2,670
mudh1235,Mudhili Gadaba,2,60
mund1320,Mundari,16,50
nepa1254,Nepali,10,1838
nort2699,Northwestern Kolami,5,265
nucl1305,Kannada,10,709
oriy1255,Odia,9,139
pait1244,Paite Chin,1,1313
panj1256,Eastern Panjabi,8,227
patt1248,Pattani,8,4066
peng1244,Pengo,4,798
pott1240,Pottangi Ollar Gadaba,6,923
ravu1237,Ravula,7,882
sans1269,Sanskrit,10,491
sant1410,Santali,11,30
saur1248,Saurashtra,8,214
saur1249,Sauria Paharia,6,137
shin1264,Shina,5,3704
sind1272,Sindhi,12,20
sora1254,Sora,5,944
sumi1235,Sumi Naga,10,790
tami1289,Tamil,8,106
tang1336,East-Central Tangkhul Naga,7,1520
tase1235,Pangwa Naga,7,834
telu1262,Telugu,11,440
thad1238,Thado Chin,2,1270
toda1252,Toda,9,347
tulu1258,Tulu,7,86
ural1274,Urali of Idukki,6,550
urdu1245,Urdu,10,50
vaag1238,Vaagri Booli,6,59
yeru1240,Yerukula,4,132
