Glottocode,language,dorsal,elevation
anga1288,Angami Naga,20,469
aona1235,Ao Naga,17,605
apat1240,Apatani,26,424
apuc1241,Apucikwar,18,58
assa1263,Assamese,22,46
awad1243,Awadhi,20,128
bada1257,Badaga,23,1981
balt1258,Balti,33,5605
beng1280,Bengali,26,8
bhil1251,Bhili,37,703
bodo1267,Bodo Gadaba,23,979
bond1245,Bondo,22,100
boro1277,Boro (Ethiopia),16,840
brok1247,Brokskat,30,3231
bund1253,Bundeli,28,281
cent1990,Central Nicobarese,23,126
chau1259,Chaudangsi,22,1690
chok1243,Chokri Naga,16,1854
darm1243,Darma,22,1535
duru1236,Duruwa,18,605
gade1236,Gade Lohar,29,219
galo1242,Galo,19,621
garo1247,Garo,8,114
gata1239,Gata',22,1174
guja1252,Gujarati,37,105
guja1253,Gujari,34,862
halb1244,Halbi,23,424
hind1269,Hindi,35,416
hooo1248,Ho,27,135
irul1243,Irula of the Nilgiri,44,32
jaun1243,Jaunsari,30,1143
jenn1240,Jennu Kurumba,15,1940
juan1238,Juang,20,282
kang1280,Kangri,22,674
karb1241,Hills Karbi,22,127
kash1277,Kashmiri,38,1623
khar1287,Kharia,25,376
khas1269,Khasi,24,38
khez1235,Khezha Naga,22,1413
koda1255,Kodava,34,948
kokb1239,Kok Borok,20,14
kond1295,Konda-Dora,25,959
konk1267,Maharashtrian Konkani,21,723
kork1243,Korku,22,485
korr1238,Korra Koraga,22,102
kota1263,Kota (India),23,1456
koya1251,Koya,16,111
kuii1252,Kui (India),24,490
kuma1273,Kumaoni,23,1278
kuru1302,Kurukh,36,284
kuvi1243,Kuvi,26,554
lada1244,Leh-Kenhat,21,5176
lamb1269,Lambadi,46,361
lepc1244,Lepcha,19,1197
loth1237,Lotha Naga,21,511
lush1249,Mizo,15,102
mait1250,Maithili,21,62
mala1464,Malayalam,23,153
mani1292,Manipuri,19,312
maon1238,Mao Naga,12,1447
mara1378,Marathi,25,649
miju1243,Kman,31,1780
moyo1238,Moyon,20,670
mudh1235,Mudhili Gadaba,19,60
mund1320,Mundari,59,50
nepa1254,Nepali,25,1838
nort2699,Northwestern Kolami,19,265
nucl1305,Kannada,23,709
oriy1255,Odia,23,139
pait1244,Paite Chin,11,1313
panj1256,Eastern Panjabi,30,227
patt1248,Pattani,17,4066
peng1244,Pengo,16,798
pott1240,Pottangi Ollar Gadaba,18,923
ravu1237,Ravula,25,882
sans1269,Sanskrit,21,491
sant1410,Santali,24,30
saur1248,Saurashtra,20,214
saur1249,Sauria Paharia,20,137
shin1264,Shina,26,3704
sind1272,Sindhi,38,20
sora1254,Sora,16,944
sumi1235,Sumi Naga,25,790
tami1289,Tamil,21,106
tang1336,East-Central Tangkhul Naga,24,1520
tase1235,Pangwa Naga,14,834
telu1262,Telugu,24,440
thad1238,Thado Chin,16,1270
toda1252,Toda,24,347
tulu1258,Tulu,22,86
ural1274,Urali of Idukki,28,550
urdu1245,Urdu,35,50
vaag1238,Vaagri Booli,22,59
yeru1240,Yerukula,24,132
