Glottocode,language,labiodental,elevation
anga1288,Angami Naga,5,469
bada1257,Badaga,1,1981
balt1258,Balti,1,5605
brok1247,Brokskat,2,3231
bund1253,Bundeli,1,281
cent1990,Central Nicobarese,1,126
chok1243,Chokri Naga,2,1854
guja1252,Gujarati,1,105
guja1253,Gujari,1,862
halb1244,Halbi,2,424
hind1269,Hindi,1,416
irul1243,Irula of the Nilgiri,1,32
khez1235,Khezha Naga,5,1413
kuii1252,Kui (India),1,490
kuvi1243,Kuvi,1,554
lamb1269,Lambadi,1,361
lepc1244,Lepcha,2,1197
loth1237,Lotha Naga,4,511
lush1249,Mizo,2,102
mala1464,Malayalam,1,153
maon1238,Mao Naga,4,1447
mara1378,Marathi,1,649
moyo1238,Moyon,2,670
nort2699,Northwestern Kolami,1,265
nucl1305,Kannada,2,709
pait1244,Paite Chin,2,1313
panj1256,Eastern Panjabi,1,227
peng1244,Pengo,1,798
pott1240,Pottangi Ollar Gadaba,1,923
sind1272,Sindhi,1,20
sumi1235,Sumi Naga,2,790
tami1289,Tamil,1,106
tang1336,East-Central Tangkhul Naga,2,1520
telu1262,Telugu,2,440
thad1238,Thado Chin,1,1270
toda1252,Toda,2,347
urdu1245,Urdu,1,50
vaag1238,Vaagri Booli,1,59
