Glottocode,language,round,elevation
anga1288,Angami Naga,4,469
aona1235,Ao Naga,4,605
apat1240,Apatani,4,424
apuc1241,Apucikwar,4,58
assa1263,Assamese,8,46
awad1243,Awadhi,4,128
bada1257,Badaga,5,1981
balt1258,Balti,8,5605
beng1280,Bengali,7,8
bhil1251,Bhili,10,703
bodo1267,Bodo Gadaba,9,979
bond1245,Bondo,7,100
boro1277,Boro (Ethiopia),3,840
brok1247,Brokskat,7,3231
bund1253,Bundeli,7,281
cent1990,Central Nicobarese,6,126
chau1259,Chaudangsi,4,1690
chok1243,Chokri Naga,3,1854
darm1243,Darma,4,1535
duru1236,Duruwa,5,605
gade1236,Gade Lohar,8,219
galo1242,Galo,5,621
garo1247,Garo,2,114
gata1239,Gata',7,1174
guja1252,Gujarati,12,105
guja1253,Gujari,8,862
halb1244,Halbi,5,424
hind1269,Hindi,9,416
hooo1248,Ho,8,135
irul1243,Irula of the Nilgiri,12,32
jaun1243,Jaunsari,8,1143
jenn1240,Jennu Kurumba,3,1940
juan1238,Juang,6,282
kang1280,Kangri,6,674
karb1241,Hills Karbi,5,127
kash1277,Kashmiri,10,1623
khar1287,Kharia,8,376
khas1269,Khasi,6,38
khez1235,Khezha Naga,4,1413
koda1255,Kodava,8,948
kokb1239,Kok Borok,5,14
kond1295,Konda-Dora,10,959
konk1267,Maharashtrian Konkani,5,723
kork1243,Korku,6,485
korr1238,Korra Koraga,5,102
kota1263,Kota (India),7,1456
koya1251,Koya,5,111
kuii1252,Kui (India),7,490
kuma1273,Kumaoni,5,1278
kuru1302,Kurukh,11,284
kuvi1243,Kuvi,9,554
lada1244,Leh-Kenhat,4,5176
lamb1269,Lambadi,12,361
lepc1244,Lepcha,5,1197
loth1237,Lotha Naga,4,511
lush1249,Mizo,4,102
mait1250,Maithili,4,62
mala1464,Malayalam,6,153
mani1292,Manipuri,4,312
maon1238,Mao Naga,3,1447
mara1378,Marathi,6,649
miju1243,Kman,8,1780
moyo1238,Moyon,5,670
mudh1235,Mudhili Gadaba,7,60
mund1320,Mundari,19,50
nepa1254,Nepali,5,1838
nort2699,Northwestern Kolami,4,265
nucl1305,Kannada,5,709
oriy1255,Odia,7,139
pait1244,Paite Chin,4,1313
panj1256,Eastern Panjabi,8,227
patt1248,Pattani,3,4066
peng1244,Pengo,4,798
pott1240,Pottangi Ollar Gadaba,5,923
ravu1237,Ravula,7,882
sans1269,Sanskrit,4,491
sant1410,Santali,6,30
saur1248,Saurashtra,5,214
saur1249,Sauria Paharia,5,137
shin1264,Shina,5,3704
sind1272,Sindhi,9,20
sora1254,Sora,5,944
sumi1235,Sumi Naga,4,790
tami1289,Tamil,5,106
tang1336,East-Central Tangkhul Naga,5,1520
tase1235,Pangwa Naga,3,834
telu1262,Telugu,5,440
thad1238,Thado Chin,3,1270
toda1252,Toda,9,347
tulu1258,Tulu,5,86
ural1274,Urali of Idukki,7,550
urdu1245,Urdu,8,50
vaag1238,Vaagri Booli,5,59
yeru1240,Yerukula,7,132
