Glottocode,language,syllabic,elevation
anga1288,Angami Naga,6,469
aona1235,Ao Naga,8,605
apat1240,Apatani,13,424
apuc1241,Apucikwar,10,58
assa1263,Assamese,15,46
awad1243,Awadhi,8,128
bada1257,Badaga,13,1981
balt1258,Balti,18,5605
beng1280,Bengali,14,8
bhil1251,Bhili,27,703
bodo1267,Bodo Gadaba,19,979
bond1245,Bondo,13,100
boro1277,Boro (Ethiopia),8,840
brok1247,Brokskat,15,3231
bund1253,Bundeli,17,281
cent1990,Central Nicobarese,19,126
chau1259,Chaudangsi,8,1690
chok1243,Chokri Naga,5,1854
darm1243,Darma,8,1535
duru1236,Duruwa,10,605
gade1236,Gade Lohar,19,219
galo1242,Galo,12,621
garo1247,Garo,5,114
gata1239,Gata',14,1174
guja1252,Gujarati,25,105
guja1253,Gujari,19,862
halb1244,Halbi,13,424
hind1269,Hindi,21,416
hooo1248,Ho,19,135
irul1243,Irula of the Nilgiri,28,32
jaun1243,Jaunsari,17,1143
jenn1240,Jennu Kurumba,7,1940
juan1238,Juang,13,282
kang1280,Kangri,13,674
karb1241,Hills Karbi,11,127
kash1277,Kashmiri,28,1623
khar1287,Kharia,14,376
khas1269,Khasi,13,38
khez1235,Khezha Naga,8,1413
koda1255,Kodava,25,948
kokb1239,Kok Borok,9,14
kond1295,Konda-Dora,20,959
konk1267,Maharashtrian Konkani,10,723
kork1243,Korku,11,485
korr1238,Korra Koraga,13,102
kota1263,Kota (India),15,1456
koya1251,Koya,10,111
kuii1252,Kui (India),19,490
kuma1273,Kumaoni,11,1278
kuru1302,Kurukh,25,284
kuvi1243,Kuvi,19,554
lada1244,Leh-Kenhat,8,5176
lamb1269,Lambadi,28,361
lepc1244,Lepcha,10,1197
loth1237,Lotha Naga,8,511
lush1249,Mizo,6,102
mait1250,Maithili,8,62
mala1464,Malayalam,13,153
mani1292,Manipuri,8,312
maon1238,Mao Naga,6,1447
mara1378,Marathi,13,649
miju1243,Kman,16,1780
moyo1238,Moyon,16,670
mudh1235,Mudhili Gadaba,12,60
mund1320,Mundari,39,50
nepa1254,Nepali,12,1838
nort2699,Northwestern Kolami,13,265
nucl1305,Kannada,11,709
oriy1255,Odia,12,139
pait1244,Paite Chin,6,1313
panj1256,Eastern Panjabi,19,227
patt1248,Pattani,6,4066
peng1244,Pengo,10,798
pott1240,Pottangi Ollar Gadaba,12,923
ravu1237,Ravula,16,882
sans1269,Sanskrit,8,491
sant1410,Santali,11,30
saur1248,Saurashtra,10,214
saur1249,Sauria Paharia,10,137
shin1264,Shina,13,3704
sind1272,Sindhi,20,20
sora1254,Sora,10,944
sumi1235,Sumi Naga,11,790
tami1289,Tamil,11,106
tang1336,East-Central Tangkhul Naga,13,1520
tase1235,Pangwa Naga,6,834
telu1262,Telugu,11,440
thad1238,Thado Chin,8,1270
toda1252,Toda,15,347
tulu1258,Tulu,12,86
ural1274,Urali of Idukki,20,550
urdu1245,Urdu,19,50
vaag1238,Vaagri Booli,14,59
yeru1240,Yerukula,18,132
