,language,approximant,elevation
abip1241,Abipon,12,65
abis1238,Aewa,14,216
acha1250,Achagua,14,168
ache1246,Aché,15,158
achu1248,Achuar-Shiwiar,15,251
agua1253,Aguaruna,9,1526
aika1237,Aikanã,14,520
ajyi1238,Ajyíninka Apurucayali,11,500
akaw1239,Akawaio,14,970
akun1241,Akuntsu,14,352
akur1238,Akurio,17,205
amah1246,Amahuaca,11,429
amar1274,Amarakaeri,21,266
amun1246,Amundava,13,115
ando1255,Andoa,13,225
ando1256,Andoque,25,181
apal1257,Apalaí,15,354
apia1248,Apiaká,13,142
apin1244,Apinayé,20,229
apur1254,Apurinã,23,138
arab1268,Arabela,14,182
arao1248,Araona,7,199
araw1273,Araweté,12,207
araw1276,Lokono,10,7
arhu1242,Arhuaco,7,3650
arik1265,Arikapú,17,191
asha1243,Asháninka,10,497
ashe1272,Ashéninka Perené,14,956
avac1239,Avá-Canoeiro,15,540
awac1239,Awa-Cuaiquer,14,453
awet1244,Awetí,16,297
ayac1239,Ayacucho Quechua,7,3504
ayor1240,Ayoreo,13,235
baka1277,Bakairí,34,428
bani1255,Baniwa do Icana,24,152
bara1380,Barasana-Eduria,8,238
bare1276,Baré,8,100
bari1297,Barí,13,87
baur1253,Baure,7,137
bora1263,Bora,14,70
bord1248,Border Kuna,10,460
boro1282,Bororo,10,180
cabi1241,Cabiyarí,8,185
cacu1241,Kakua,10,155
caja1238,Cajamarca Quechua,7,3238
call1235,Callawalla,11,2399
cams1241,Camsá,11,2387
cand1248,Candoshi-Shapra,9,145
cane1242,Canela-Krahô,19,298
capa1241,Capanahua,11,189
caqu1242,Caquinte,11,795
cara1272,Carapana,15,126
cari1279,Carijona,9,228
cash1251,Cashibo-Cacataibo,8,285
cash1254,Cashinahua,10,279
cavi1250,Cavineña,8,173
cayu1262,Cayubaba,18,141
cent2142,Central Aymara,19,4210
cent2150,Central Tunebo,9,560
chac1249,Cha'palaa,8,122
chac1250,Chachapoyas Quechua,8,2477
chac1251,Chácobo,6,185
cham1315,Chamacoco,20,91
cham1318,Chamicuro,15,129
chay1248,Shawi,7,1083
chib1270,Chibcha,9,212
chim1309,Chimila,24,193
chip1262,Chipaya,15,3721
chiq1248,Chiquitano,13,315
chir1286,Chiripá,16,202
chol1284,Cholón,9,694
coca1259,Cocama-Cocamilla,8,93
cofa1242,Cofán,14,342
cogu1240,Cogui,15,1649
colo1256,Tsafiki,14,440
coro1247,Corongo Ancash Quechua,11,3515
cube1242,Cubeo,10,192
cuib1242,Cuiba,10,98
culi1244,Culina,6,224
curr1243,Curripaco,9,98
cusc1236,Cusco Quechua,10,4573
daww1239,Dâw,20,115
deni1241,Deni,6,144
desa1247,Desano,10,149
djeo1235,Djeoromitxí,13,164
east2555,Eastern Bolivian Guaraní,26,272
embe1259,Emberá-Baudó,17,263
embe1260,Emberá-Catío,15,14
embe1262,Emberá-Chamí,16,1906
emer1243,Teko,17,168
enap1235,Panare,10,52
enaw1238,Enawené-Nawé,16,371
epen1239,Epena,25,22
esee1248,Ese Ejja,12,221
fuln1247,Fulniô,16,391
gali1262,Galibi Carib,27,6
gavi1246,Gavião Do Jiparaná,13,232
guah1255,Guahibo,22,88
guaj1255,Guajajára,10,308
guaj1256,Guajá,15,138
guam1248,Guambiano,10,1725
guan1269,Kotiria,15,143
guan1270,Kinikinao,14,366
guar1292,Guarayu,14,353
guar1293,Baniva de Maroa,11,109
guat1253,Guató,10,101
guay1257,Guayabero,10,177
hixk1239,Hixkaryána,9,341
hual1241,Huallaga Huánuco Quechua,11,1221
huam1247,Huambisa,11,1193
hupd1244,Hupdë,19,156
igna1246,Ignaciano,6,159
ikpe1245,Ikpeng,10,335
imba1240,Imbabura Highland Quichua,7,3424
inap1243,Iñapari,22,278
inga1252,Inga,8,2471
iqui1243,Iquito,11,135
iran1263,Irántxe-Münkü,26,403
iton1250,Itonama,10,169
iyow1239,Iyo'wujwa Chorote,8,269
jama1261,Madi,16,96
japr1238,Japrería,10,859
jaqa1244,Jaqaru,11,2766
jauj1238,Jauja Wanca Quechua,11,4697
jebe1250,Jebero,10,242
juma1249,Júma,15,68
jung1240,Jungle Inga,6,371
juru1256,Jurúna,13,315
kadi1248,Kadiwéu,14,86
kain1272,Kaingang,7,662
kaiw1246,Kaiwá,15,306
kama1373,Kamayurá,15,311
kano1245,Kanoê,17,142
kara1500,Karajá,18,184
kari1255,Karirí-Xocó,9,163
kari1311,Karitiâna,22,125
kaxa1239,Kaxararí,8,157
kaxu1237,Kaxuiâna,9,346
kaya1329,Kayabí,15,345
kaya1330,Kayapó,20,403
kore1283,Koreguaje,13,245
koru1247,Korubo,8,145
krah1246,Krahô,37,231
kren1239,Krenak,16,188
krik1239,Krikati-Timbira,18,332
kuik1246,Kuikúro-Kalapálo,14,283
kunz1244,Kunza,13,2621
kuru1309,Kuruáya,13,149
kwaz1243,Kwaza,20,176
lamb1276,Lambayeque Quechua,7,1886
latu1238,Latundê,19,480
leco1242,Leco,10,496
maca1259,Macaguán,10,150
maca1260,Maca,13,70
mach1267,Machiguenga,12,2191
mach1268,Machinere,8,249
macu1259,Macushi,15,387
macu1260,Macuna,15,169
maku1278,Makuráp,13,193
mala1522,Malayo,12,2877
mama1278,Mamaindé,23,578
mapo1246,Mapoyo,10,200
mapu1245,Mapudungun,11,1538
maqu1238,Maquiritari,17,1193
mati1255,Matís,8,76
mato1253,Mato Grosso Arára,17,138
mats1244,Matsés,8,151
maxa1247,Maxakalí,10,294
mbya1239,Mbyá Guaraní,14,524
mehi1240,Mehináku,14,314
mini1256,Minica Huitoto,7,162
moch1259,Mochica,17,379
moco1246,Mocoví,13,64
mose1249,Mosetén-Chimané,61,385
movi1243,Movima,15,146
muin1242,Muinane,9,177
mund1330,Mundurukú,23,108
muni1258,Muniche,9,182
muru1274,Murui Huitoto,7,165
nade1244,Nadëb,20,79
nant1250,Nanti,12,1607
napo1242,Napo Lowland Quechua,8,262
nhen1239,Nhengatu,8,109
nina1238,Ninam,8,575
niva1238,Nivaclé,8,209
noma1263,Nomatsiguenga,11,890
nonu1241,Nonuya,7,155
nort2972,Northern Emberá,16,234
nort2976,North Bolivian Quechua,8,2814
nort2979,Northern Conchucos Ancash Quechua,11,3530
nort2980,North Junín Quechua,30,4270
nucl1668,Katukína,9,174
