,language,constrictedGlottis,elevation
abis1238,Aewa,1,216
acha1250,Achagua,1,168
ache1246,Aché,1,158
achu1248,Achuar-Shiwiar,1,251
agua1253,Aguaruna,1,1526
aika1237,Aikanã,1,520
akaw1239,Akawaio,1,970
akun1241,Akuntsu,1,352
akur1238,Akurio,1,205
amah1246,Amahuaca,1,429
amar1274,Amarakaeri,1,266
amun1246,Amundava,1,115
ando1255,Andoa,1,225
apal1257,Apalaí,1,354
apia1248,Apiaká,1,142
apin1244,Apinayé,1,229
araw1273,Araweté,1,207
arhu1242,Arhuaco,1,3650
arik1265,Arikapú,1,191
awet1244,Awetí,1,297
ayor1240,Ayoreo,1,235
baka1277,Bakairí,1,428
baur1253,Baure,1,137
bora1263,Bora,2,70
cabi1241,Cabiyarí,1,185
cacu1241,Kakua,6,155
call1235,Callawalla,5,2399
cane1242,Canela-Krahô,1,298
capa1241,Capanahua,1,189
cash1251,Cashibo-Cacataibo,1,285
cent2142,Central Aymara,10,4210
cent2150,Central Tunebo,1,560
chac1249,Cha'palaa,1,122
chac1251,Chácobo,1,185
cham1315,Chamacoco,1,91
cham1318,Chamicuro,1,129
chay1248,Shawi,1,1083
chim1309,Chimila,1,193
chip1262,Chipaya,7,3721
chiq1248,Chiquitano,1,315
chir1286,Chiripá,1,202
chol1284,Cholón,1,694
cofa1242,Cofán,1,342
cogu1240,Cogui,1,1649
colo1256,Tsafiki,1,440
culi1244,Culina,1,224
curr1243,Curripaco,1,98
cusc1236,Cusco Quechua,5,4573
daww1239,Dâw,6,115
deni1241,Deni,1,144
embe1260,Emberá-Catío,5,14
emer1243,Teko,1,168
enap1235,Panare,1,52
epen1239,Epena,1,22
esee1248,Ese Ejja,2,221
gali1262,Galibi Carib,1,6
gavi1246,Gavião Do Jiparaná,1,232
guaj1255,Guajajára,1,308
guaj1256,Guajá,1,138
guam1248,Guambiano,1,1725
guan1269,Kotiria,1,143
guan1270,Kinikinao,1,366
guar1292,Guarayu,1,353
huam1247,Huambisa,1,1193
hupd1244,Hupdë,8,156
igna1246,Ignaciano,1,159
inap1243,Iñapari,1,278
iran1263,Irántxe-Münkü,1,403
iton1250,Itonama,4,169
iyow1239,Iyo'wujwa Chorote,3,269
japr1238,Japrería,1,859
jaqa1244,Jaqaru,8,2766
jebe1250,Jebero,1,242
juma1249,Júma,1,68
juru1256,Jurúna,1,315
kaiw1246,Kaiwá,1,306
kama1373,Kamayurá,1,311
kaxu1237,Kaxuiâna,1,346
kaya1329,Kayabí,1,345
kaya1330,Kayapó,1,403
kore1283,Koreguaje,1,245
kren1239,Krenak,1,188
kunz1244,Kunza,6,2621
kuru1309,Kuruáya,1,149
kwaz1243,Kwaza,1,176
latu1238,Latundê,9,480
leco1242,Leco,4,496
maca1260,Maca,6,70
macu1259,Macushi,1,387
mama1278,Mamaindé,11,578
mapo1246,Mapoyo,1,200
maqu1238,Maquiritari,1,1193
maxa1247,Maxakalí,1,294
mbya1239,Mbyá Guaraní,1,524
mini1256,Minica Huitoto,1,162
moco1246,Mocoví,1,64
mose1249,Mosetén-Chimané,3,385
movi1243,Movima,2,146
muin1242,Muinane,1,177
mund1330,Mundurukú,11,108
muni1258,Muniche,1,182
nade1244,Nadëb,1,79
nhen1239,Nhengatu,1,109
niva1238,Nivaclé,6,209
nonu1241,Nonuya,1,155
nort2976,North Bolivian Quechua,5,2814
nuka1242,Nukak Makú,1,227
ocai1244,Ocaina,1,114
ofay1240,Ofayé,1,344
olub1238,Olu'bo,4,721
onaa1245,Selk'nam,5,108
orow1243,Oro Win,1,381
paca1246,Pacahuara,1,152
paez1247,Páez,4,3472
pait1247,Pai Tavytera,1,284
pana1307,Panará,1,309
para1311,Paraguayan Guaraní,1,184
para1312,Parakanã,1,177
para1315,Pará Gavião,1,128
paum1247,Paumari,1,41
pemo1245,Pémono,1,169
pemo1248,Pemon,2,838
piap1246,Piapoco,1,126
piar1243,Piaroa,6,92
pila1245,Pilagá,1,119
pira1253,Pirahã,1,75
pira1254,Wa'ikhana,1,143
puel1244,Puelche,7,121
puin1248,Puinave,1,77
pume1238,Pumé,1,53
qawa1238,Qawasqar,8,80
resi1247,Resígaro,1,127
saba1268,Sabanê,1,312
sate1243,Sateré-Mawé,1,58
seco1241,Secoya,1,211
sion1247,Siona-Tetete,1,236
suru1262,Suruí,1,204
tani1257,Tanimuca-Retuarã,1,128
tapi1253,Tapieté,1,304
tapi1254,Tapirapé,1,181
taus1253,Taushiro,1,212
tehu1242,Tehuelche,6,299
temb1276,Tenetehara,1,54
tenh1241,Tenharim-Parintintin-Diahoi,1,96
tere1279,Terena-Kinikinao-Chane,1,233
ticu1245,Ticuna,6,150
tini1245,Tinigua,6,264
toba1269,Toba,2,139
toca1235,Tocantins Asurini,1,99
trin1274,Trinitario,1,165
trum1247,Trumai,5,284
tuca1252,Tucano,1,144
tupa1250,Tuparí,1,247
tupi1273,Tupinambá,1,70
urub1250,Urubú-Kaapor,1,95
urue1240,Uru-Eu-Wau-Wau,1,251
