,language,continuant,elevation
abip1241,Abipon,15,65
abis1238,Aewa,17,216
acha1250,Achagua,18,168
ache1246,Aché,18,158
achu1248,Achuar-Shiwiar,18,251
agua1253,Aguaruna,12,1526
aika1237,Aikanã,14,520
ajyi1238,Ajyíninka Apurucayali,14,500
akaw1239,Akawaio,15,970
akun1241,Akuntsu,14,352
akur1238,Akurio,17,205
amah1246,Amahuaca,15,429
amar1274,Amarakaeri,23,266
amun1246,Amundava,15,115
ando1255,Andoa,16,225
ando1256,Andoque,28,181
apal1257,Apalaí,18,354
apia1248,Apiaká,15,142
apin1244,Apinayé,22,229
apur1254,Apurinã,26,138
arab1268,Arabela,19,182
arao1248,Araona,11,199
araw1273,Araweté,13,207
araw1276,Lokono,13,7
arhu1242,Arhuaco,9,3650
arik1265,Arikapú,18,191
asha1243,Asháninka,14,497
ashe1272,Ashéninka Perené,17,956
avac1239,Avá-Canoeiro,16,540
awac1239,Awa-Cuaiquer,19,453
awet1244,Awetí,18,297
ayac1239,Ayacucho Quechua,9,3504
ayor1240,Ayoreo,15,235
baka1277,Bakairí,41,428
bani1255,Baniwa do Icana,28,152
bara1380,Barasana-Eduria,9,238
bare1276,Baré,10,100
bari1297,Barí,15,87
baur1253,Baure,11,137
bora1263,Bora,18,70
bord1248,Border Kuna,11,460
boro1282,Bororo,10,180
cabi1241,Cabiyarí,9,185
cacu1241,Kakua,12,155
caja1238,Cajamarca Quechua,12,3238
call1235,Callawalla,14,2399
cams1241,Camsá,15,2387
cand1248,Candoshi-Shapra,13,145
cane1242,Canela-Krahô,20,298
capa1241,Capanahua,16,189
caqu1242,Caquinte,16,795
cara1272,Carapana,17,126
cari1279,Carijona,11,228
cash1251,Cashibo-Cacataibo,11,285
cash1254,Cashinahua,14,279
cavi1250,Cavineña,11,173
cayu1262,Cayubaba,23,141
cent2142,Central Aymara,26,4210
cent2150,Central Tunebo,12,560
chac1249,Cha'palaa,12,122
chac1250,Chachapoyas Quechua,10,2477
chac1251,Chácobo,12,185
cham1315,Chamacoco,26,91
cham1318,Chamicuro,19,129
chay1248,Shawi,11,1083
chib1270,Chibcha,14,212
chim1309,Chimila,26,193
chip1262,Chipaya,24,3721
chiq1248,Chiquitano,17,315
chir1286,Chiripá,16,202
chol1284,Cholón,10,694
coca1259,Cocama-Cocamilla,9,93
cofa1242,Cofán,18,342
cogu1240,Cogui,21,1649
colo1256,Tsafiki,17,440
coro1247,Corongo Ancash Quechua,14,3515
cube1242,Cubeo,11,192
cuib1242,Cuiba,12,98
culi1244,Culina,7,224
curr1243,Curripaco,14,98
cusc1236,Cusco Quechua,13,4573
daww1239,Dâw,23,115
deni1241,Deni,8,144
desa1247,Desano,12,149
djeo1235,Djeoromitxí,15,164
east2555,Eastern Bolivian Guaraní,32,272
embe1259,Emberá-Baudó,20,263
embe1260,Emberá-Catío,18,14
embe1262,Emberá-Chamí,18,1906
emer1243,Teko,20,168
enap1235,Panare,11,52
enaw1238,Enawené-Nawé,19,371
epen1239,Epena,27,22
esee1248,Ese Ejja,20,221
fuln1247,Fulniô,20,391
gali1262,Galibi Carib,31,6
gavi1246,Gavião Do Jiparaná,14,232
guah1255,Guahibo,26,88
guaj1255,Guajajára,12,308
guaj1256,Guajá,16,138
guam1248,Guambiano,14,1725
guan1269,Kotiria,17,143
guan1270,Kinikinao,17,366
guar1292,Guarayu,16,353
guar1293,Baniva de Maroa,13,109
guat1253,Guató,13,101
guay1257,Guayabero,14,177
hixk1239,Hixkaryána,13,341
hual1241,Huallaga Huánuco Quechua,14,1221
huam1247,Huambisa,14,1193
hupd1244,Hupdë,21,156
igna1246,Ignaciano,10,159
ikpe1245,Ikpeng,10,335
imba1240,Imbabura Highland Quichua,12,3424
inap1243,Iñapari,24,278
inga1252,Inga,11,2471
iqui1243,Iquito,13,135
iran1263,Irántxe-Münkü,30,403
iton1250,Itonama,12,169
iyow1239,Iyo'wujwa Chorote,12,269
jama1261,Madi,22,96
japr1238,Japrería,13,859
jaqa1244,Jaqaru,14,2766
jauj1238,Jauja Wanca Quechua,14,4697
jebe1250,Jebero,12,242
juma1249,Júma,16,68
jung1240,Jungle Inga,9,371
juru1256,Jurúna,18,315
kadi1248,Kadiwéu,14,86
kain1272,Kaingang,8,662
kaiw1246,Kaiwá,18,306
kama1373,Kamayurá,17,311
kano1245,Kanoê,19,142
kara1500,Karajá,20,184
kari1255,Karirí-Xocó,10,163
kari1311,Karitiâna,24,125
kaxa1239,Kaxararí,13,157
kaxu1237,Kaxuiâna,11,346
kaya1329,Kayabí,17,345
kaya1330,Kayapó,20,403
kore1283,Koreguaje,17,245
koru1247,Korubo,12,145
krah1246,Krahô,38,231
kren1239,Krenak,18,188
krik1239,Krikati-Timbira,19,332
kuik1246,Kuikúro-Kalapálo,17,283
kunz1244,Kunza,18,2621
kuru1309,Kuruáya,17,149
kwaz1243,Kwaza,23,176
lamb1276,Lambayeque Quechua,10,1886
latu1238,Latundê,22,480
leco1242,Leco,13,496
maca1259,Macaguán,12,150
maca1260,Maca,19,70
mach1267,Machiguenga,15,2191
mach1268,Machinere,11,249
macu1259,Macushi,16,387
macu1260,Macuna,17,169
maku1278,Makuráp,13,193
mala1522,Malayo,17,2877
mama1278,Mamaindé,25,578
mapo1246,Mapoyo,12,200
mapu1245,Mapudungun,17,1538
maqu1238,Maquiritari,19,1193
mati1255,Matís,11,76
mato1253,Mato Grosso Arára,21,138
mats1244,Matsés,11,151
maxa1247,Maxakalí,12,294
mbya1239,Mbyá Guaraní,15,524
mehi1240,Mehináku,16,314
mini1256,Minica Huitoto,11,162
moch1259,Mochica,22,379
moco1246,Mocoví,18,64
mose1249,Mosetén-Chimané,73,385
movi1243,Movima,19,146
muin1242,Muinane,14,177
mund1330,Mundurukú,26,108
muni1258,Muniche,14,182
muru1274,Murui Huitoto,10,165
nade1244,Nadëb,22,79
nant1250,Nanti,15,1607
napo1242,Napo Lowland Quechua,12,262
nhen1239,Nhengatu,10,109
nina1238,Ninam,11,575
niva1238,Nivaclé,13,209
noma1263,Nomatsiguenga,14,890
nonu1241,Nonuya,11,155
nort2972,Northern Emberá,18,234
nort2976,North Bolivian Quechua,10,2814
nort2979,Northern Conchucos Ancash Quechua,14,3530
nort2980,North Junín Quechua,41,4270
nucl1668,Katukína,10,174
nuka1242,Nukak Makú,15,227
nuku1263,Nukuini,13,244
ocai1244,Ocaina,17,114
ofay1240,Ofayé,15,344
olub1238,Olu'bo,11,721
omag1248,Omagua,10,71
onaa1245,Selk'nam,17,108
orej1242,Maijiki,10,144
orow1243,Oro Win,11,381
paca1246,Pacahuara,12,152
paez1247,Páez,26,3472
pait1247,Pai Tavytera,17,284
pali1279,Palikúr,16,42
pana1307,Panará,20,309
pano1254,Panoan Katukína,12,239
pano1255,Panobo,11,534
para1310,Pará Arára,10,181
para1311,Paraguayan Guaraní,20,184
para1312,Parakanã,8,177
para1315,Pará Gavião,34,128
para1316,Paraujano,18,65
pare1272,Parecís,11,384
paum1247,Paumari,13,41
pemo1245,Pémono,12,169
pemo1248,Pemon,26,838
piap1246,Piapoco,10,126
piar1243,Piaroa,13,92
pich1237,Pichis Ashéninka,17,1033
pila1245,Pilagá,11,119
pira1253,Pirahã,5,75
pira1254,Wa'ikhana,17,143
pisa1245,Pisamira,10,181
poya1241,Poyanáwa,14,215
puel1244,Puelche,18,121
puin1248,Puinave,13,77
pume1238,Pumé,21,53
puri1262,Puri,9,1737
qawa1238,Qawasqar,27,80
resi1247,Resígaro,13,127
reye1240,Reyesano,12,254
rikb1245,Rikbaktsa,20,248
saba1268,Sabanê,8,312
saki1248,Mekens,15,156
sala1272,Salasaca Highland Quichua,12,2483
sali1298,Sáliba,17,119
sanm1289,San Martín Quechua,10,950
sant1432,Santiago del Estero Quichua,15,138
sanu1240,Sanumá,42,121
saop1235,São Paulo Kaingáng,19,736
sate1243,Sateré-Mawé,20,58
seco1241,Secoya,17,211
shal1242,Shall-Zwall,11,578
shar1245,Sharanahua,29,329
shua1257,Shuar,14,1256
sian1254,Siang,9,52
sion1247,Siona-Tetete,18,236
siri1273,Sirionó,18,182
siri1274,Siriano,17,186
suru1262,Suruí,16,204
suru1263,Suruahá,12,124
suya1243,Suyá,40,283
taca1256,Tacana,11,207
tani1257,Tanimuca-Retuarã,15,128
tapi1253,Tapieté,17,304
tapi1254,Tapirapé,14,181
tari1256,Tariana,22,114
tatu1247,Tatuyo,10,219
taus1253,Taushiro,10,212
tehu1242,Tehuelche,14,299
temb1276,Tenetehara,11,54
tena1240,Tena Lowland Quichua,11,978
tenh1241,Tenharim-Parintintin-Diahoi,15,96
tere1279,Terena-Kinikinao-Chane,17,233
ticu1245,Ticuna,21,150
tini1245,Tinigua,23,264
toba1269,Toba,34,139
toca1235,Tocantins Asurini,8,99
trin1274,Trinitario,19,165
trio1238,Trió,19,638
trum1247,Trumai,16,284
tuca1252,Tucano,17,144
tupa1250,Tuparí,20,247
tupi1273,Tupinambá,17,70
tuyu1244,Tuyuca,17,182
ucay1237,Ucayali-Yurúa Ashéninka,17,324
umot1240,Umotína,15,135
urar1246,Urarina,12,125
urub1250,Urubú-Kaapor,17,95
urue1240,Uru-Eu-Wau-Wau,15,251
uruu1244,Uru,17,3822
vile1241,Vilela,12,54
waim1253,Waimiri-Atroari,17,83
waim1255,Waimaha,16,167
waiw1244,Waiwai,14,409
waor1240,Waorani,22,259
wapi1253,Wapishana,10,130
wara1303,Warao,10,26
wari1268,Wari',11,153
waur1244,Waurá,19,362
waya1269,Wayana,11,182
waya1270,Wayampi,33,204
wayu1243,Wayuu,13,37
wich1262,Wichí Lhamtés Nocten,13,656
woun1238,Woun Meu,21,62
xava1240,Xavánte,19,323
xere1240,Xerénte,20,305
xeta1241,Xetá,15,690
xing1248,Xingú Asuriní,17,184
xipa1240,Xipaya,16,90
xiri1243,Xiriâna,12,263
xokl1240,Xokleng,23,794
yaba1248,Yabarana,12,808
yagu1244,Yagua,17,97
yama1264,Yámana,14,279
yame1242,Yameo,13,143
yami1256,Yaminahua,15,322
yane1238,Yanesha',17,2474
yano1261,Yanomamö,67,548
yano1262,Yanomámi,91,341
yavi1244,Yavitero,11,120
yawa1260,Yawanawa,12,261
yawa1261,Yawalapití,13,331
yine1238,Yine,18,355
yora1241,Yora,15,569
yucu1253,Yucuna,11,164
yuhu1238,Yuhup,21,109
yukp1241,Yukpa,24,1989
yuqu1240,Yuqui,26,208
yura1255,Yuracaré,14,209
yuru1263,Yurutí,11,176
yuwa1244,Hoti,21,848
zapa1253,Záparo,14,207
zoee1240,Zo'é,17,87
