,language,coronal,elevation
abip1241,Abipon,6,65
abis1238,Aewa,8,216
acha1250,Achagua,10,168
ache1246,Aché,9,158
achu1248,Achuar-Shiwiar,7,251
agua1253,Aguaruna,7,1526
aika1237,Aikanã,7,520
ajyi1238,Ajyíninka Apurucayali,12,500
akaw1239,Akawaio,4,970
akun1241,Akuntsu,3,352
akur1238,Akurio,4,205
amah1246,Amahuaca,7,429
amar1274,Amarakaeri,5,266
amun1246,Amundava,5,115
ando1255,Andoa,7,225
ando1256,Andoque,6,181
apal1257,Apalaí,6,354
apia1248,Apiaká,4,142
apin1244,Apinayé,8,229
apur1254,Apurinã,8,138
arab1268,Arabela,8,182
arao1248,Araona,11,199
araw1273,Araweté,5,207
araw1276,Lokono,8,7
arhu1242,Arhuaco,8,3650
arik1265,Arikapú,4,191
asha1243,Asháninka,7,497
ashe1272,Ashéninka Perené,10,956
avac1239,Avá-Canoeiro,4,540
awac1239,Awa-Cuaiquer,10,453
awet1244,Awetí,6,297
ayac1239,Ayacucho Quechua,8,3504
ayor1240,Ayoreo,9,235
baka1277,Bakairí,15,428
bani1255,Baniwa do Icana,20,152
bara1380,Barasana-Eduria,5,238
bare1276,Baré,8,100
bari1297,Barí,6,87
baur1253,Baure,6,137
bora1263,Bora,11,70
bord1248,Border Kuna,9,460
boro1282,Bororo,6,180
cabi1241,Cabiyarí,5,185
cacu1241,Kakua,7,155
caja1238,Cajamarca Quechua,12,3238
call1235,Callawalla,13,2399
cams1241,Camsá,13,2387
cand1248,Candoshi-Shapra,13,145
cane1242,Canela-Krahô,5,298
capa1241,Capanahua,8,189
caqu1242,Caquinte,10,795
cara1272,Carapana,4,126
cari1279,Carijona,8,228
cash1251,Cashibo-Cacataibo,9,285
cash1254,Cashinahua,8,279
cavi1250,Cavineña,12,173
cayu1262,Cayubaba,10,141
cent2142,Central Aymara,25,4210
cent2150,Central Tunebo,5,560
chac1249,Cha'palaa,13,122
chac1250,Chachapoyas Quechua,10,2477
chac1251,Chácobo,8,185
cham1315,Chamacoco,12,91
cham1318,Chamicuro,12,129
chay1248,Shawi,6,1083
chib1270,Chibcha,7,212
chim1309,Chimila,6,193
chip1262,Chipaya,22,3721
chiq1248,Chiquitano,9,315
chir1286,Chiripá,6,202
chol1284,Cholón,7,694
coca1259,Cocama-Cocamilla,5,93
cofa1242,Cofán,14,342
cogu1240,Cogui,10,1649
colo1256,Tsafiki,7,440
coro1247,Corongo Ancash Quechua,11,3515
cube1242,Cubeo,5,192
cuib1242,Cuiba,8,98
culi1244,Culina,8,224
curr1243,Curripaco,12,98
cusc1236,Cusco Quechua,13,4573
daww1239,Dâw,10,115
deni1241,Deni,8,144
desa1247,Desano,5,149
