,language,delayedRelease,elevation
abip1241,Abipon,3,65
abis1238,Aewa,5,216
acha1250,Achagua,6,168
ache1246,Aché,6,158
achu1248,Achuar-Shiwiar,5,251
agua1253,Aguaruna,5,1526
aika1237,Aikanã,1,520
ajyi1238,Ajyíninka Apurucayali,7,500
akaw1239,Akawaio,1,970
akur1238,Akurio,1,205
amah1246,Amahuaca,6,429
amar1274,Amarakaeri,2,266
amun1246,Amundava,3,115
ando1255,Andoa,5,225
ando1256,Andoque,3,181
apal1257,Apalaí,3,354
apia1248,Apiaká,2,142
apin1244,Apinayé,4,229
apur1254,Apurinã,5,138
arab1268,Arabela,5,182
arao1248,Araona,7,199
araw1273,Araweté,2,207
araw1276,Lokono,3,7
arhu1242,Arhuaco,4,3650
arik1265,Arikapú,2,191
asha1243,Asháninka,6,497
ashe1272,Ashéninka Perené,6,956
avac1239,Avá-Canoeiro,2,540
awac1239,Awa-Cuaiquer,7,453
awet1244,Awetí,3,297
ayac1239,Ayacucho Quechua,3,3504
ayor1240,Ayoreo,3,235
baka1277,Bakairí,7,428
bani1255,Baniwa do Icana,9,152
bara1380,Barasana-Eduria,1,238
bare1276,Baré,3,100
bari1297,Barí,2,87
baur1253,Baure,5,137
bora1263,Bora,8,70
bord1248,Border Kuna,2,460
boro1282,Bororo,2,180
cabi1241,Cabiyarí,2,185
cacu1241,Kakua,3,155
caja1238,Cajamarca Quechua,8,3238
call1235,Callawalla,6,2399
cams1241,Camsá,7,2387
cand1248,Candoshi-Shapra,10,145
cane1242,Canela-Krahô,2,298
capa1241,Capanahua,7,189
caqu1242,Caquinte,7,795
cara1272,Carapana,2,126
cari1279,Carijona,4,228
cash1251,Cashibo-Cacataibo,5,285
cash1254,Cashinahua,6,279
cavi1250,Cavineña,5,173
cayu1262,Cayubaba,5,141
cent2142,Central Aymara,13,4210
cent2150,Central Tunebo,3,560
chac1249,Cha'palaa,6,122
chac1250,Chachapoyas Quechua,4,2477
chac1251,Chácobo,8,185
cham1315,Chamacoco,8,91
cham1318,Chamicuro,7,129
chay1248,Shawi,5,1083
chib1270,Chibcha,6,212
chim1309,Chimila,2,193
chip1262,Chipaya,18,3721
chiq1248,Chiquitano,5,315
chir1286,Chiripá,3,202
chol1284,Cholón,2,694
coca1259,Cocama-Cocamilla,3,93
cofa1242,Cofán,10,342
cogu1240,Cogui,6,1649
colo1256,Tsafiki,4,440
coro1247,Corongo Ancash Quechua,6,3515
cube1242,Cubeo,2,192
cuib1242,Cuiba,4,98
culi1244,Culina,4,224
curr1243,Curripaco,7,98
cusc1236,Cusco Quechua,6,4573
daww1239,Dâw,3,115
deni1241,Deni,5,144
desa1247,Desano,2,149
djeo1235,Djeoromitxí,4,164
east2555,Eastern Bolivian Guaraní,7,272
embe1259,Emberá-Baudó,4,263
embe1260,Emberá-Catío,6,14
embe1262,Emberá-Chamí,3,1906
emer1243,Teko,5,168
enap1235,Panare,2,52
enaw1238,Enawené-Nawé,3,371
epen1239,Epena,3,22
esee1248,Ese Ejja,11,221
fuln1247,Fulniô,8,391
gali1262,Galibi Carib,4,6
gavi1246,Gavião Do Jiparaná,5,232
guah1255,Guahibo,5,88
guaj1255,Guajajára,3,308
guaj1256,Guajá,2,138
guam1248,Guambiano,7,1725
guan1269,Kotiria,3,143
guan1270,Kinikinao,3,366
