,language,distributed,elevation
abip1241,Abipon,2,65
abis1238,Aewa,2,216
acha1250,Achagua,3,168
ache1246,Aché,4,158
achu1248,Achuar-Shiwiar,2,251
agua1253,Aguaruna,2,1526
aika1237,Aikanã,2,520
ajyi1238,Ajyíninka Apurucayali,4,500
akur1238,Akurio,1,205
amah1246,Amahuaca,2,429
amun1246,Amundava,2,115
ando1255,Andoa,2,225
ando1256,Andoque,2,181
apal1257,Apalaí,1,354
apin1244,Apinayé,3,229
apur1254,Apurinã,3,138
arab1268,Arabela,1,182
arao1248,Araona,4,199
araw1273,Araweté,1,207
arhu1242,Arhuaco,2,3650
arik1265,Arikapú,1,191
asha1243,Asháninka,2,497
ashe1272,Ashéninka Perené,3,956
avac1239,Avá-Canoeiro,1,540
awac1239,Awa-Cuaiquer,3,453
ayac1239,Ayacucho Quechua,3,3504
ayor1240,Ayoreo,3,235
baka1277,Bakairí,2,428
bani1255,Baniwa do Icana,3,152
bara1380,Barasana-Eduria,2,238
bare1276,Baré,1,100
bari1297,Barí,1,87
baur1253,Baure,2,137
bora1263,Bora,3,70
bord1248,Border Kuna,1,460
boro1282,Bororo,2,180
cabi1241,Cabiyarí,2,185
cacu1241,Kakua,2,155
caja1238,Cajamarca Quechua,4,3238
call1235,Callawalla,6,2399
cams1241,Camsá,4,2387
cand1248,Candoshi-Shapra,3,145
cane1242,Canela-Krahô,2,298
capa1241,Capanahua,2,189
caqu1242,Caquinte,3,795
cari1279,Carijona,3,228
cash1251,Cashibo-Cacataibo,3,285
cash1254,Cashinahua,2,279
cavi1250,Cavineña,6,173
cayu1262,Cayubaba,5,141
cent2142,Central Aymara,11,4210
cent2150,Central Tunebo,1,560
chac1249,Cha'palaa,4,122
chac1250,Chachapoyas Quechua,4,2477
chac1251,Chácobo,2,185
cham1315,Chamacoco,5,91
cham1318,Chamicuro,4,129
chay1248,Shawi,2,1083
chib1270,Chibcha,1,212
chip1262,Chipaya,7,3721
chiq1248,Chiquitano,4,315
chir1286,Chiripá,2,202
chol1284,Cholón,3,694
coca1259,Cocama-Cocamilla,1,93
cofa1242,Cofán,5,342
cogu1240,Cogui,2,1649
coro1247,Corongo Ancash Quechua,4,3515
cube1242,Cubeo,2,192
cuib1242,Cuiba,2,98
curr1243,Curripaco,1,98
cusc1236,Cusco Quechua,6,4573
daww1239,Dâw,5,115
djeo1235,Djeoromitxí,2,164
east2555,Eastern Bolivian Guaraní,3,272
embe1259,Emberá-Baudó,1,263
embe1260,Emberá-Catío,3,14
embe1262,Emberá-Chamí,1,1906
emer1243,Teko,2,168
enap1235,Panare,2,52
enaw1238,Enawené-Nawé,2,371
epen1239,Epena,1,22
esee1248,Ese Ejja,6,221
fuln1247,Fulniô,5,391
gavi1246,Gavião Do Jiparaná,3,232
guaj1256,Guajá,1,138
guam1248,Guambiano,5,1725
guan1269,Kotiria,1,143
guan1270,Kinikinao,1,366
guar1292,Guarayu,2,353
guar1293,Baniva de Maroa,4,109
guat1253,Guató,2,101
guay1257,Guayabero,1,177
hixk1239,Hixkaryána,3,341
hual1241,Huallaga Huánuco Quechua,4,1221
huam1247,Huambisa,2,1193
hupd1244,Hupdë,3,156
igna1246,Ignaciano,3,159
ikpe1245,Ikpeng,1,335
imba1240,Imbabura Highland Quichua,4,3424
inap1243,Iñapari,2,278
inga1252,Inga,4,2471
iran1263,Irántxe-Münkü,1,403
iton1250,Itonama,2,169
jama1261,Madi,2,96
japr1238,Japrería,2,859
jaqa1244,Jaqaru,6,2766
jauj1238,Jauja Wanca Quechua,4,4697
jebe1250,Jebero,5,242
jung1240,Jungle Inga,4,371
juru1256,Jurúna,3,315
kadi1248,Kadiwéu,2,86
kain1272,Kaingang,3,662
kaiw1246,Kaiwá,2,306
kano1245,Kanoê,1,142
kara1500,Karajá,1,184
kari1255,Karirí-Xocó,1,163
kari1311,Karitiâna,1,125
kaxa1239,Kaxararí,2,157
kaxu1237,Kaxuiâna,1,346
