,language,dorsal,elevation
abip1241,Abipon,16,65
abis1238,Aewa,15,216
acha1250,Achagua,14,168
ache1246,Aché,18,158
achu1248,Achuar-Shiwiar,17,251
agua1253,Aguaruna,9,1526
aika1237,Aikanã,14,520
ajyi1238,Ajyíninka Apurucayali,12,500
akaw1239,Akawaio,14,970
akun1241,Akuntsu,16,352
akur1238,Akurio,17,205
amah1246,Amahuaca,12,429
amar1274,Amarakaeri,24,266
amun1246,Amundava,17,115
ando1255,Andoa,14,225
ando1256,Andoque,27,181
apal1257,Apalaí,15,354
apia1248,Apiaká,14,142
apin1244,Apinayé,22,229
apur1254,Apurinã,24,138
arab1268,Arabela,20,182
arao1248,Araona,9,199
araw1273,Araweté,12,207
araw1276,Lokono,9,7
arhu1242,Arhuaco,8,3650
arik1265,Arikapú,17,191
asha1243,Asháninka,10,497
ashe1272,Ashéninka Perené,16,956
avac1239,Avá-Canoeiro,18,540
awac1239,Awa-Cuaiquer,13,453
awet1244,Awetí,17,297
ayac1239,Ayacucho Quechua,8,3504
ayor1240,Ayoreo,17,235
baka1277,Bakairí,34,428
bani1255,Baniwa do Icana,23,152
bara1380,Barasana-Eduria,11,238
bare1276,Baré,9,100
bari1297,Barí,14,87
baur1253,Baure,7,137
bora1263,Bora,27,70
bord1248,Border Kuna,11,460
boro1282,Bororo,13,180
cabi1241,Cabiyarí,8,185
cacu1241,Kakua,13,155
caja1238,Cajamarca Quechua,9,3238
call1235,Callawalla,17,2399
cams1241,Camsá,13,2387
cand1248,Candoshi-Shapra,10,145
cane1242,Canela-Krahô,21,298
capa1241,Capanahua,11,189
caqu1242,Caquinte,15,795
cara1272,Carapana,16,126
cari1279,Carijona,11,228
cash1251,Cashibo-Cacataibo,9,285
cash1254,Cashinahua,11,279
cavi1250,Cavineña,14,173
cayu1262,Cayubaba,22,141
cent2142,Central Aymara,33,4210
cent2150,Central Tunebo,10,560
chac1249,Cha'palaa,13,122
chac1250,Chachapoyas Quechua,8,2477
chac1251,Chácobo,7,185
cham1315,Chamacoco,20,91
cham1318,Chamicuro,15,129
chay1248,Shawi,7,1083
chib1270,Chibcha,12,212
chim1309,Chimila,25,193
chip1262,Chipaya,27,3721
chiq1248,Chiquitano,15,315
chir1286,Chiripá,20,202
chol1284,Cholón,11,694
coca1259,Cocama-Cocamilla,9,93
cofa1242,Cofán,17,342
cogu1240,Cogui,20,1649
colo1256,Tsafiki,13,440
coro1247,Corongo Ancash Quechua,12,3515
cube1242,Cubeo,9,192
cuib1242,Cuiba,13,98
culi1244,Culina,7,224
curr1243,Curripaco,8,98
cusc1236,Cusco Quechua,15,4573
daww1239,Dâw,27,115
deni1241,Deni,7,144
desa1247,Desano,10,149
djeo1235,Djeoromitxí,13,164
east2555,Eastern Bolivian Guaraní,33,272
embe1259,Emberá-Baudó,16,263
embe1260,Emberá-Catío,15,14
embe1262,Emberá-Chamí,16,1906
emer1243,Teko,19,168
enap1235,Panare,12,52
enaw1238,Enawené-Nawé,16,371
epen1239,Epena,26,22
esee1248,Ese Ejja,20,221
fuln1247,Fulniô,17,391
gali1262,Galibi Carib,27,6
gavi1246,Gavião Do Jiparaná,17,232
guah1255,Guahibo,22,88
guaj1255,Guajajára,13,308
guaj1256,Guajá,16,138
guam1248,Guambiano,11,1725
guan1269,Kotiria,17,143
guan1270,Kinikinao,13,366
guar1292,Guarayu,17,353
guar1293,Baniva de Maroa,13,109
guat1253,Guató,13,101
guay1257,Guayabero,10,177
hixk1239,Hixkaryána,10,341
hual1241,Huallaga Huánuco Quechua,12,1221
huam1247,Huambisa,12,1193
hupd1244,Hupdë,25,156
igna1246,Ignaciano,7,159
ikpe1245,Ikpeng,11,335
imba1240,Imbabura Highland Quichua,8,3424
inap1243,Iñapari,21,278
inga1252,Inga,10,2471
iqui1243,Iquito,12,135
iran1263,Irántxe-Münkü,26,403
iton1250,Itonama,11,169
iyow1239,Iyo'wujwa Chorote,10,269
jama1261,Madi,18,96
japr1238,Japrería,9,859
jaqa1244,Jaqaru,25,2766
jauj1238,Jauja Wanca Quechua,11,4697
jebe1250,Jebero,9,242
juma1249,Júma,17,68
jung1240,Jungle Inga,7,371
juru1256,Jurúna,13,315
kadi1248,Kadiwéu,17,86
kain1272,Kaingang,8,662
kaiw1246,Kaiwá,17,306
kama1373,Kamayurá,17,311
kano1245,Kanoê,19,142
kara1500,Karajá,17,184
kari1255,Karirí-Xocó,10,163
kari1311,Karitiâna,24,125
kaxa1239,Kaxararí,7,157
kaxu1237,Kaxuiâna,9,346
kaya1329,Kayabí,18,345
kaya1330,Kayapó,23,403
kore1283,Koreguaje,16,245
koru1247,Korubo,10,145
krah1246,Krahô,39,231
kren1239,Krenak,21,188
krik1239,Krikati-Timbira,19,332
kuik1246,Kuikúro-Kalapálo,18,283
kunz1244,Kunza,18,2621
kuru1309,Kuruáya,14,149
kwaz1243,Kwaza,22,176
lamb1276,Lambayeque Quechua,8,1886
latu1238,Latundê,19,480
leco1242,Leco,12,496
maca1259,Macaguán,10,150
maca1260,Maca,18,70
mach1267,Machiguenga,16,2191
mach1268,Machinere,8,249
macu1259,Macushi,15,387
macu1260,Macuna,16,169
maku1278,Makuráp,14,193
mala1522,Malayo,11,2877
mama1278,Mamaindé,24,578
mapo1246,Mapoyo,11,200
