,language,front,elevation
abip1241,Abipon,6,65
abis1238,Aewa,5,216
acha1250,Achagua,5,168
ache1246,Aché,6,158
achu1248,Achuar-Shiwiar,4,251
agua1253,Aguaruna,2,1526
aika1237,Aikanã,7,520
ajyi1238,Ajyíninka Apurucayali,6,500
akaw1239,Akawaio,5,970
akun1241,Akuntsu,5,352
akur1238,Akurio,5,205
amah1246,Amahuaca,3,429
amar1274,Amarakaeri,9,266
amun1246,Amundava,5,115
ando1255,Andoa,3,225
ando1256,Andoque,8,181
apal1257,Apalaí,5,354
apia1248,Apiaká,5,142
apin1244,Apinayé,7,229
apur1254,Apurinã,10,138
arab1268,Arabela,11,182
arao1248,Araona,4,199
araw1273,Araweté,5,207
araw1276,Lokono,3,7
arhu1242,Arhuaco,2,3650
arik1265,Arikapú,6,191
asha1243,Asháninka,5,497
ashe1272,Ashéninka Perené,8,956
avac1239,Avá-Canoeiro,5,540
awac1239,Awa-Cuaiquer,5,453
awet1244,Awetí,5,297
ayac1239,Ayacucho Quechua,3,3504
ayor1240,Ayoreo,7,235
baka1277,Bakairí,10,428
bani1255,Baniwa do Icana,10,152
bara1380,Barasana-Eduria,4,238
bare1276,Baré,3,100
bari1297,Barí,5,87
baur1253,Baure,3,137
bora1263,Bora,16,70
bord1248,Border Kuna,3,460
boro1282,Bororo,3,180
cabi1241,Cabiyarí,3,185
cacu1241,Kakua,5,155
caja1238,Cajamarca Quechua,3,3238
call1235,Callawalla,5,2399
cams1241,Camsá,5,2387
cand1248,Candoshi-Shapra,3,145
cane1242,Canela-Krahô,7,298
capa1241,Capanahua,3,189
caqu1242,Caquinte,8,795
cara1272,Carapana,5,126
cari1279,Carijona,3,228
cash1251,Cashibo-Cacataibo,3,285
cash1254,Cashinahua,3,279
cavi1250,Cavineña,9,173
cayu1262,Cayubaba,9,141
cent2142,Central Aymara,10,4210
cent2150,Central Tunebo,3,560
chac1249,Cha'palaa,7,122
chac1250,Chachapoyas Quechua,4,2477
chac1251,Chácobo,2,185
cham1315,Chamacoco,6,91
cham1318,Chamicuro,7,129
chay1248,Shawi,2,1083
chib1270,Chibcha,4,212
chim1309,Chimila,9,193
chip1262,Chipaya,7,3721
chiq1248,Chiquitano,6,315
chir1286,Chiripá,5,202
chol1284,Cholón,5,694
coca1259,Cocama-Cocamilla,3,93
cofa1242,Cofán,6,342
cogu1240,Cogui,5,1649
colo1256,Tsafiki,5,440
coro1247,Corongo Ancash Quechua,5,3515
cube1242,Cubeo,3,192
cuib1242,Cuiba,5,98
culi1244,Culina,2,224
curr1243,Curripaco,3,98
cusc1236,Cusco Quechua,5,4573
daww1239,Dâw,11,115
deni1241,Deni,2,144
desa1247,Desano,3,149
djeo1235,Djeoromitxí,5,164
east2555,Eastern Bolivian Guaraní,10,272
embe1259,Emberá-Baudó,5,263
embe1260,Emberá-Catío,4,14
embe1262,Emberá-Chamí,5,1906
emer1243,Teko,5,168
enap1235,Panare,5,52
enaw1238,Enawené-Nawé,8,371
epen1239,Epena,7,22
esee1248,Ese Ejja,8,221
fuln1247,Fulniô,7,391
gali1262,Galibi Carib,9,6
gavi1246,Gavião Do Jiparaná,8,232
guah1255,Guahibo,7,88
guaj1255,Guajajára,3,308
guaj1256,Guajá,5,138
guam1248,Guambiano,5,1725
guan1269,Kotiria,5,143
guan1270,Kinikinao,5,366
guar1292,Guarayu,6,353
guar1293,Baniva de Maroa,6,109
guat1253,Guató,4,101
guay1257,Guayabero,3,177
hixk1239,Hixkaryána,4,341
hual1241,Huallaga Huánuco Quechua,5,1221
huam1247,Huambisa,3,1193
hupd1244,Hupdë,10,156
igna1246,Ignaciano,4,159
ikpe1245,Ikpeng,3,335
imba1240,Imbabura Highland Quichua,3,3424
inap1243,Iñapari,8,278
inga1252,Inga,4,2471
iqui1243,Iquito,3,135
iran1263,Irántxe-Münkü,12,403
iton1250,Itonama,4,169
iyow1239,Iyo'wujwa Chorote,3,269
jama1261,Madi,8,96
japr1238,Japrería,3,859
jaqa1244,Jaqaru,12,2766
jauj1238,Jauja Wanca Quechua,5,4697
jebe1250,Jebero,4,242
juma1249,Júma,5,68
jung1240,Jungle Inga,3,371
juru1256,Jurúna,5,315
kadi1248,Kadiwéu,6,86
kain1272,Kaingang,4,662
kaiw1246,Kaiwá,5,306
kama1373,Kamayurá,5,311
kano1245,Kanoê,8,142
kara1500,Karajá,5,184
kari1255,Karirí-Xocó,4,163
kari1311,Karitiâna,9,125
kaxa1239,Kaxararí,1,157
kaxu1237,Kaxuiâna,3,346
kaya1329,Kayabí,5,345
kaya1330,Kayapó,7,403
kore1283,Koreguaje,6,245
koru1247,Korubo,3,145
krah1246,Krahô,11,231
kren1239,Krenak,7,188
krik1239,Krikati-Timbira,6,332
kuik1246,Kuikúro-Kalapálo,6,283
kunz1244,Kunza,5,2621
kuru1309,Kuruáya,5,149
kwaz1243,Kwaza,10,176
lamb1276,Lambayeque Quechua,3,1886
latu1238,Latundê,7,480
leco1242,Leco,3,496
maca1259,Macaguán,3,150
maca1260,Maca,5,70
mach1267,Machiguenga,9,2191
mach1268,Machinere,3,249
macu1259,Macushi,5,387
macu1260,Macuna,5,169
maku1278,Makuráp,5,193
mala1522,Malayo,3,2877
mama1278,Mamaindé,9,578
mapo1246,Mapoyo,4,200
mapu1245,Mapudungun,5,1538
maqu1238,Maquiritari,6,1193
mati1255,Matís,3,76
mato1253,Mato Grosso Arára,7,138
mats1244,Matsés,3,151
maxa1247,Maxakalí,6,294
mbya1239,Mbyá Guaraní,5,524
mehi1240,Mehináku,5,314
mini1256,Minica Huitoto,3,162
moch1259,Mochica,8,379
moco1246,Mocoví,7,64
mose1249,Mosetén-Chimané,36,385
movi1243,Movima,6,146
muin1242,Muinane,7,177
