,language,high,elevation
abip1241,Abipon,6,65
abis1238,Aewa,10,216
acha1250,Achagua,8,168
ache1246,Aché,12,158
achu1248,Achuar-Shiwiar,14,251
agua1253,Aguaruna,7,1526
aika1237,Aikanã,10,520
ajyi1238,Ajyíninka Apurucayali,8,500
akaw1239,Akawaio,7,970
akun1241,Akuntsu,11,352
akur1238,Akurio,9,205
amah1246,Amahuaca,8,429
amar1274,Amarakaeri,12,266
amun1246,Amundava,11,115
ando1255,Andoa,10,225
ando1256,Andoque,10,181
apal1257,Apalaí,9,354
apia1248,Apiaká,9,142
apin1244,Apinayé,11,229
apur1254,Apurinã,12,138
arab1268,Arabela,16,182
arao1248,Araona,6,199
araw1273,Araweté,7,207
araw1276,Lokono,6,7
arhu1242,Arhuaco,4,3650
arik1265,Arikapú,9,191
asha1243,Asháninka,4,497
ashe1272,Ashéninka Perené,10,956
avac1239,Avá-Canoeiro,11,540
awac1239,Awa-Cuaiquer,9,453
awet1244,Awetí,11,297
ayac1239,Ayacucho Quechua,6,3504
ayor1240,Ayoreo,11,235
baka1277,Bakairí,18,428
bani1255,Baniwa do Icana,15,152
bara1380,Barasana-Eduria,8,238
bare1276,Baré,7,100
bari1297,Barí,8,87
baur1253,Baure,4,137
bora1263,Bora,21,70
bord1248,Border Kuna,8,460
boro1282,Bororo,9,180
cabi1241,Cabiyarí,5,185
cacu1241,Kakua,11,155
caja1238,Cajamarca Quechua,7,3238
call1235,Callawalla,12,2399
cams1241,Camsá,10,2387
cand1248,Candoshi-Shapra,6,145
cane1242,Canela-Krahô,11,298
capa1241,Capanahua,9,189
caqu1242,Caquinte,9,795
cara1272,Carapana,10,126
cari1279,Carijona,7,228
cash1251,Cashibo-Cacataibo,6,285
cash1254,Cashinahua,7,279
cavi1250,Cavineña,12,173
cayu1262,Cayubaba,12,141
cent2142,Central Aymara,23,4210
cent2150,Central Tunebo,7,560
chac1249,Cha'palaa,10,122
chac1250,Chachapoyas Quechua,7,2477
chac1251,Chácobo,5,185
cham1315,Chamacoco,12,91
cham1318,Chamicuro,9,129
chay1248,Shawi,6,1083
chib1270,Chibcha,9,212
chim1309,Chimila,13,193
chip1262,Chipaya,15,3721
chiq1248,Chiquitano,9,315
chir1286,Chiripá,14,202
chol1284,Cholón,11,694
coca1259,Cocama-Cocamilla,7,93
cofa1242,Cofán,11,342
cogu1240,Cogui,14,1649
colo1256,Tsafiki,7,440
coro1247,Corongo Ancash Quechua,9,3515
cube1242,Cubeo,6,192
cuib1242,Cuiba,8,98
culi1244,Culina,4,224
curr1243,Curripaco,6,98
cusc1236,Cusco Quechua,9,4573
daww1239,Dâw,18,115
deni1241,Deni,5,144
desa1247,Desano,7,149
djeo1235,Djeoromitxí,6,164
east2555,Eastern Bolivian Guaraní,21,272
embe1259,Emberá-Baudó,10,263
embe1260,Emberá-Catío,9,14
embe1262,Emberá-Chamí,10,1906
emer1243,Teko,11,168
enap1235,Panare,8,52
enaw1238,Enawené-Nawé,7,371
epen1239,Epena,14,22
esee1248,Ese Ejja,14,221
fuln1247,Fulniô,9,391
gali1262,Galibi Carib,18,6
gavi1246,Gavião Do Jiparaná,11,232
guah1255,Guahibo,13,88
guaj1255,Guajajára,9,308
guaj1256,Guajá,10,138
guam1248,Guambiano,8,1725
guan1269,Kotiria,11,143
guan1270,Kinikinao,7,366
guar1292,Guarayu,11,353
guar1293,Baniva de Maroa,9,109
guat1253,Guató,8,101
guay1257,Guayabero,7,177
hixk1239,Hixkaryána,7,341
hual1241,Huallaga Huánuco Quechua,9,1221
huam1247,Huambisa,10,1193
hupd1244,Hupdë,16,156
igna1246,Ignaciano,5,159
ikpe1245,Ikpeng,8,335
imba1240,Imbabura Highland Quichua,7,3424
inap1243,Iñapari,12,278
inga1252,Inga,9,2471
iqui1243,Iquito,10,135
iran1263,Irántxe-Münkü,17,403
iton1250,Itonama,8,169
iyow1239,Iyo'wujwa Chorote,7,269
jama1261,Madi,11,96
japr1238,Japrería,5,859
jaqa1244,Jaqaru,20,2766
jauj1238,Jauja Wanca Quechua,9,4697
jebe1250,Jebero,7,242
juma1249,Júma,11,68
jung1240,Jungle Inga,6,371
juru1256,Jurúna,9,315
kadi1248,Kadiwéu,9,86
kain1272,Kaingang,5,662
kaiw1246,Kaiwá,11,306
kama1373,Kamayurá,11,311
kano1245,Kanoê,11,142
kara1500,Karajá,9,184
kari1255,Karirí-Xocó,6,163
kari1311,Karitiâna,12,125
kaxa1239,Kaxararí,5,157
kaxu1237,Kaxuiâna,6,346
kaya1329,Kayabí,12,345
kaya1330,Kayapó,12,403
kore1283,Koreguaje,10,245
koru1247,Korubo,7,145
krah1246,Krahô,17,231
kren1239,Krenak,13,188
krik1239,Krikati-Timbira,10,332
kuik1246,Kuikúro-Kalapálo,12,283
kunz1244,Kunza,9,2621
kuru1309,Kuruáya,7,149
kwaz1243,Kwaza,14,176
lamb1276,Lambayeque Quechua,6,1886
latu1238,Latundê,11,480
leco1242,Leco,9,496
maca1259,Macaguán,7,150
maca1260,Maca,9,70
mach1267,Machiguenga,10,2191
mach1268,Machinere,5,249
macu1259,Macushi,9,387
macu1260,Macuna,10,169
maku1278,Makuráp,8,193
mala1522,Malayo,8,2877
mama1278,Mamaindé,12,578
mapo1246,Mapoyo,7,200
mapu1245,Mapudungun,10,1538
maqu1238,Maquiritari,10,1193
mati1255,Matís,6,76
mato1253,Mato Grosso Arára,13,138
mats1244,Matsés,6,151
maxa1247,Maxakalí,8,294
mbya1239,Mbyá Guaraní,12,524
mehi1240,Mehináku,9,314
mini1256,Minica Huitoto,8,162
moch1259,Mochica,11,379
moco1246,Mocoví,8,64
mose1249,Mosetén-Chimané,34,385
movi1243,Movima,9,146
muin1242,Muinane,11,177
mund1330,Mundurukú,8,108
muni1258,Muniche,10,182
muru1274,Murui Huitoto,8,165
nade1244,Nadëb,13,79
nant1250,Nanti,9,1607
napo1242,Napo Lowland Quechua,8,262
nhen1239,Nhengatu,10,109
nina1238,Ninam,4,575
niva1238,Nivaclé,9,209
noma1263,Nomatsiguenga,7,890
nonu1241,Nonuya,7,155
nort2972,Northern Emberá,12,234
nort2976,North Bolivian Quechua,9,2814
nort2979,Northern Conchucos Ancash Quechua,9,3530
nort2980,North Junín Quechua,34,4270
nucl1668,Katukína,8,174
nuka1242,Nukak Makú,11,227
nuku1263,Nukuini,9,244
ocai1244,Ocaina,11,114
ofay1240,Ofayé,7,344
olub1238,Olu'bo,7,721
omag1248,Omagua,8,71
onaa1245,Selk'nam,7,108
orej1242,Maijiki,9,144
orow1243,Oro Win,5,381
paca1246,Pacahuara,5,152
paez1247,Páez,28,3472
pait1247,Pai Tavytera,12,284
pali1279,Palikúr,9,42
pana1307,Panará,9,309
pano1254,Panoan Katukína,6,239
pano1255,Panobo,7,534
para1310,Pará Arára,7,181
para1311,Paraguayan Guaraní,13,184
para1312,Parakanã,5,177
para1315,Pará Gavião,16,128
para1316,Paraujano,10,65
pare1272,Parecís,6,384
paum1247,Paumari,5,41
pemo1245,Pémono,7,169
pemo1248,Pemon,13,838
piap1246,Piapoco,4,126
piar1243,Piaroa,10,92
pich1237,Pichis Ashéninka,12,1033
pila1245,Pilagá,7,119
pira1253,Pirahã,3,75
pira1254,Wa'ikhana,10,143
pisa1245,Pisamira,7,181
poya1241,Poyanáwa,8,215
puel1244,Puelche,10,121
puin1248,Puinave,5,77
pume1238,Pumé,13,53
puri1262,Puri,6,1737
qawa1238,Qawasqar,14,80
resi1247,Resígaro,10,127
reye1240,Reyesano,6,254
rikb1245,Rikbaktsa,9,248
saba1268,Sabanê,3,312
saki1248,Mekens,13,156
sala1272,Salasaca Highland Quichua,9,2483
sali1298,Sáliba,12,119
sanm1289,San Martín Quechua,7,950
sant1432,Santiago del Estero Quichua,8,138
sanu1240,Sanumá,19,121
saop1235,São Paulo Kaingáng,10,736
sate1243,Sateré-Mawé,12,58
seco1241,Secoya,10,211
shal1242,Shall-Zwall,6,578
shar1245,Sharanahua,16,329
shua1257,Shuar,9,1256
sian1254,Siang,4,52
sion1247,Siona-Tetete,12,236
siri1273,Sirionó,13,182
siri1274,Siriano,10,186
suru1262,Suruí,10,204
suru1263,Suruahá,9,124
suya1243,Suyá,23,283
taca1256,Tacana,6,207
tani1257,Tanimuca-Retuarã,7,128
tapi1253,Tapieté,10,304
tapi1254,Tapirapé,9,181
tari1256,Tariana,14,114
tatu1247,Tatuyo,8,219
taus1253,Taushiro,9,212
tehu1242,Tehuelche,6,299
temb1276,Tenetehara,8,54
tena1240,Tena Lowland Quichua,8,978
tenh1241,Tenharim-Parintintin-Diahoi,11,96
tere1279,Terena-Kinikinao-Chane,7,233
ticu1245,Ticuna,16,150
tini1245,Tinigua,17,264
toba1269,Toba,16,139
toca1235,Tocantins Asurini,6,99
trin1274,Trinitario,12,165
trio1238,Trió,9,638
trum1247,Trumai,8,284
tuca1252,Tucano,11,144
tupa1250,Tuparí,10,247
tupi1273,Tupinambá,10,70
tuyu1244,Tuyuca,10,182
ucay1237,Ucayali-Yurúa Ashéninka,11,324
umot1240,Umotína,6,135
urar1246,Urarina,7,125
urub1250,Urubú-Kaapor,11,95
urue1240,Uru-Eu-Wau-Wau,11,251
uruu1244,Uru,13,3822
vile1241,Vilela,7,54
waim1253,Waimiri-Atroari,7,83
waim1255,Waimaha,10,167
waiw1244,Waiwai,7,409
waor1240,Waorani,10,259
wapi1253,Wapishana,8,130
wara1303,Warao,6,26
wari1268,Wari',6,153
waur1244,Waurá,12,362
waya1269,Wayana,6,182
waya1270,Wayampi,24,204
wayu1243,Wayuu,6,37
wich1262,Wichí Lhamtés Nocten,11,656
woun1238,Woun Meu,12,62
xava1240,Xavánte,7,323
xere1240,Xerénte,8,305
xeta1241,Xetá,9,690
xing1248,Xingú Asuriní,10,184
xipa1240,Xipaya,9,90
xiri1243,Xiriâna,9,263
xokl1240,Xokleng,12,794
yaba1248,Yabarana,7,808
yagu1244,Yagua,9,97
yama1264,Yámana,6,279
yame1242,Yameo,5,143
yami1256,Yaminahua,6,322
yane1238,Yanesha',18,2474
yano1261,Yanomamö,30,548
yano1262,Yanomámi,40,341
yavi1244,Yavitero,7,120
yawa1260,Yawanawa,6,261
yawa1261,Yawalapití,8,331
yine1238,Yine,9,355
yora1241,Yora,8,569
yucu1253,Yucuna,6,164
yuhu1238,Yuhup,17,109
yukp1241,Yukpa,13,1989
yuqu1240,Yuqui,18,208
yura1255,Yuracaré,8,209
yuru1263,Yurutí,7,176
yuwa1244,Hoti,18,848
zapa1253,Záparo,10,207
zoee1240,Zo'é,11,87
