Glottocode,language,labial,elevation
abip1241,Abipon,4,65
abis1238,Aewa,8,216
acha1250,Achagua,9,168
ache1246,Aché,12,158
achu1248,Achuar-Shiwiar,6,251
agua1253,Aguaruna,4,1526
aika1237,Aikanã,8,520
ajyi1238,Ajyíninka Apurucayali,5,500
akaw1239,Akawaio,6,970
akun1241,Akuntsu,7,352
akur1238,Akurio,7,205
amah1246,Amahuaca,5,429
amar1274,Amarakaeri,8,266
amun1246,Amundava,9,115
ando1255,Andoa,8,225
ando1256,Andoque,11,181
apal1257,Apalaí,7,354
apia1248,Apiaká,6,142
apin1244,Apinayé,10,229
apur1254,Apurinã,6,138
arab1268,Arabela,10,182
arao1248,Araona,6,199
araw1273,Araweté,5,207
araw1276,Lokono,5,7
arhu1242,Arhuaco,5,3650
arik1265,Arikapú,7,191
asha1243,Asháninka,5,497
ashe1272,Ashéninka Perené,5,956
avac1239,Avá-Canoeiro,8,540
awac1239,Awa-Cuaiquer,5,453
awet1244,Awetí,7,297
ayac1239,Ayacucho Quechua,4,3504
ayor1240,Ayoreo,9,235
baka1277,Bakairí,16,428
bani1255,Baniwa do Icana,12,152
bara1380,Barasana-Eduria,5,238
bare1276,Baré,8,100
bari1297,Barí,6,87
baur1253,Baure,5,137
bora1263,Bora,11,70
bord1248,Border Kuna,9,460
boro1282,Bororo,8,180
cabi1241,Cabiyarí,5,185
cacu1241,Kakua,9,155
caja1238,Cajamarca Quechua,4,3238
call1235,Callawalla,7,2399
cams1241,Camsá,6,2387
cand1248,Candoshi-Shapra,6,145
cane1242,Canela-Krahô,8,298
capa1241,Capanahua,6,189
caqu1242,Caquinte,5,795
cara1272,Carapana,7,126
cari1279,Carijona,5,228
cash1251,Cashibo-Cacataibo,6,285
cash1254,Cashinahua,6,279
cavi1250,Cavineña,6,173
cayu1262,Cayubaba,11,141
cent2142,Central Aymara,14,4210
cent2150,Central Tunebo,7,560
chac1249,Cha'palaa,5,122
chac1250,Chachapoyas Quechua,4,2477
chac1251,Chácobo,5,185
cham1315,Chamacoco,8,91
cham1318,Chamicuro,7,129
chay1248,Shawi,5,1083
chib1270,Chibcha,7,212
chim1309,Chimila,12,193
chip1262,Chipaya,13,3721
chiq1248,Chiquitano,7,315
chir1286,Chiripá,9,202
chol1284,Cholón,5,694
coca1259,Cocama-Cocamilla,4,93
cofa1242,Cofán,9,342
cogu1240,Cogui,8,1649
colo1256,Tsafiki,9,440
coro1247,Corongo Ancash Quechua,5,3515
cube1242,Cubeo,5,192
cuib1242,Cuiba,7,98
culi1244,Culina,6,224
curr1243,Curripaco,9,98
cusc1236,Cusco Quechua,7,4573
daww1239,Dâw,11,115
deni1241,Deni,7,144
desa1247,Desano,6,149
djeo1235,Djeoromitxí,7,164
east2555,Eastern Bolivian Guaraní,17,272
embe1259,Emberá-Baudó,11,263
embe1260,Emberá-Catío,9,14
embe1262,Emberá-Chamí,9,1906
emer1243,Teko,8,168
enap1235,Panare,5,52
enaw1238,Enawené-Nawé,5,371
epen1239,Epena,10,22
esee1248,Ese Ejja,12,221
fuln1247,Fulniô,10,391
gali1262,Galibi Carib,15,6
gavi1246,Gavião Do Jiparaná,6,232
guah1255,Guahibo,11,88
guaj1255,Guajajára,7,308
guaj1256,Guajá,8,138
guam1248,Guambiano,5,1725
guan1269,Kotiria,8,143
guan1270,Kinikinao,7,366
guar1292,Guarayu,9,353
guar1293,Baniva de Maroa,6,109
guat1253,Guató,10,101
guay1257,Guayabero,7,177
hixk1239,Hixkaryána,7,341
hual1241,Huallaga Huánuco Quechua,5,1221
huam1247,Huambisa,5,1193
hupd1244,Hupdë,11,156
igna1246,Ignaciano,4,159
ikpe1245,Ikpeng,5,335
imba1240,Imbabura Highland Quichua,5,3424
inap1243,Iñapari,9,278
inga1252,Inga,5,2471
iqui1243,Iquito,6,135
iran1263,Irántxe-Münkü,17,403
iton1250,Itonama,6,169
iyow1239,Iyo'wujwa Chorote,6,269
jama1261,Madi,9,96
japr1238,Japrería,5,859
jaqa1244,Jaqaru,7,2766
jauj1238,Jauja Wanca Quechua,5,4697
jebe1250,Jebero,4,242
juma1249,Júma,7,68
jung1240,Jungle Inga,3,371
juru1256,Jurúna,6,315
kadi1248,Kadiwéu,9,86
kain1272,Kaingang,5,662
kaiw1246,Kaiwá,8,306
kama1373,Kamayurá,9,311
kano1245,Kanoê,8,142
kara1500,Karajá,7,184
kari1255,Karirí-Xocó,6,163
kari1311,Karitiâna,7,125
kaxa1239,Kaxararí,6,157
kaxu1237,Kaxuiâna,5,346
kaya1329,Kayabí,9,345
kaya1330,Kayapó,9,403
kore1283,Koreguaje,10,245
koru1247,Korubo,7,145
krah1246,Krahô,13,231
kren1239,Krenak,10,188
krik1239,Krikati-Timbira,8,332
kuik1246,Kuikúro-Kalapálo,7,283
kunz1244,Kunza,8,2621
kuru1309,Kuruáya,7,149
kwaz1243,Kwaza,10,176
lamb1276,Lambayeque Quechua,4,1886
latu1238,Latundê,10,480
leco1242,Leco,8,496
maca1259,Macaguán,7,150
maca1260,Maca,9,70
mach1267,Machiguenga,5,2191
mach1268,Machinere,4,249
