Glottocode,language,lateral,elevation
abip1241,Abipon,1,65
abis1238,Aewa,1,216
acha1250,Achagua,1,168
arao1248,Araona,1,199
araw1276,Lokono,1,7
awac1239,Awa-Cuaiquer,1,453
awet1244,Awetí,1,297
ayac1239,Ayacucho Quechua,2,3504
baka1277,Bakairí,2,428
bani1255,Baniwa do Icana,2,152
bord1248,Border Kuna,2,460
cacu1241,Kakua,1,155
caja1238,Cajamarca Quechua,1,3238
call1235,Callawalla,2,2399
cams1241,Camsá,2,2387
cavi1250,Cavineña,2,173
cent2142,Central Aymara,4,4210
chac1249,Cha'palaa,2,122
chac1250,Chachapoyas Quechua,2,2477
cham1315,Chamacoco,1,91
cham1318,Chamicuro,2,129
chim1309,Chimila,1,193
chip1262,Chipaya,3,3721
chol1284,Cholón,2,694
cogu1240,Cogui,1,1649
colo1256,Tsafiki,1,440
coro1247,Corongo Ancash Quechua,2,3515
curr1243,Curripaco,1,98
cusc1236,Cusco Quechua,2,4573
daww1239,Dâw,1,115
embe1259,Emberá-Baudó,1,263
enaw1238,Enawené-Nawé,1,371
fuln1247,Fulniô,2,391
gali1262,Galibi Carib,1,6
gavi1246,Gavião Do Jiparaná,1,232
guah1255,Guahibo,1,88
guam1248,Guambiano,2,1725
guan1270,Kinikinao,1,366
guar1293,Baniva de Maroa,1,109
guay1257,Guayabero,1,177
hixk1239,Hixkaryána,1,341
hual1241,Huallaga Huánuco Quechua,2,1221
ikpe1245,Ikpeng,1,335
imba1240,Imbabura Highland Quichua,1,3424
inap1243,Iñapari,1,278
inga1252,Inga,2,2471
iran1263,Irántxe-Münkü,1,403
iton1250,Itonama,1,169
iyow1239,Iyo'wujwa Chorote,2,269
jaqa1244,Jaqaru,2,2766
jauj1238,Jauja Wanca Quechua,2,4697
jebe1250,Jebero,2,242
jung1240,Jungle Inga,2,371
juru1256,Jurúna,1,315
kadi1248,Kadiwéu,2,86
kara1500,Karajá,1,184
kari1255,Karirí-Xocó,1,163
kaxa1239,Kaxararí,1,157
koru1247,Korubo,1,145
krah1246,Krahô,1,231
kuik1246,Kuikúro-Kalapálo,1,283
kunz1244,Kunza,1,2621
kwaz1243,Kwaza,1,176
lamb1276,Lambayeque Quechua,1,1886
latu1238,Latundê,1,480
leco1242,Leco,1,496
maca1259,Macaguán,1,150
maca1260,Maca,2,70
mala1522,Malayo,1,2877
mama1278,Mamaindé,1,578
mapu1245,Mapudungun,3,1538
mehi1240,Mehináku,1,314
moch1259,Mochica,2,379
moco1246,Mocoví,2,64
movi1243,Movima,2,146
muni1258,Muniche,1,182
napo1242,Napo Lowland Quechua,2,262
niva1238,Nivaclé,1,209
nort2976,North Bolivian Quechua,2,2814
nort2979,Northern Conchucos Ancash Quechua,2,3530
nort2980,North Junín Quechua,6,4270
nucl1668,Katukína,1,174
olub1238,Olu'bo,2,721
onaa1245,Selk'nam,1,108
paez1247,Páez,2,3472
para1310,Pará Arára,1,181
para1311,Paraguayan Guaraní,1,184
para1316,Paraujano,1,65
pare1272,Parecís,1,384
piap1246,Piapoco,1,126
pila1245,Pilagá,2,119
puel1244,Puelche,3,121
qawa1238,Qawasqar,3,80
reye1240,Reyesano,1,254
saba1268,Sabanê,1,312
sala1272,Salasaca Highland Quichua,1,2483
sali1298,Sáliba,1,119
sanm1289,San Martín Quechua,1,950
sant1432,Santiago del Estero Quichua,1,138
sanu1240,Sanumá,2,121
suru1262,Suruí,1,204
tari1256,Tariana,1,114
tehu1242,Tehuelche,1,299
tena1240,Tena Lowland Quichua,2,978
tere1279,Terena-Kinikinao-Chane,1,233
toba1269,Toba,4,139
trum1247,Trumai,2,284
umot1240,Umotína,1,135
urar1246,Urarina,1,125
uruu1244,Uru,1,3822
vile1241,Vilela,2,54
waiw1244,Waiwai,1,409
waur1244,Waurá,1,362
wayu1243,Wayuu,1,37
wich1262,Wichí Lhamtés Nocten,2,656
xipa1240,Xipaya,1,90
xokl1240,Xokleng,1,794
yama1264,Yámana,1,279
yame1242,Yameo,1,143
yane1238,Yanesha',1,2474
yavi1244,Yavitero,2,120
yawa1261,Yawalapití,2,331
yine1238,Yine,1,355
yucu1253,Yucuna,1,164
yura1255,Yuracaré,1,209
