,language,long,elevation
abip1241,Abipon,5,65
acha1250,Achagua,5,168
achu1248,Achuar-Shiwiar,4,251
ajyi1238,Ajyíninka Apurucayali,3,500
akaw1239,Akawaio,4,970
akur1238,Akurio,7,205
amar1274,Amarakaeri,9,266
ando1255,Andoa,5,225
ando1256,Andoque,9,181
apur1254,Apurinã,10,138
arab1268,Arabela,5,182
asha1243,Asháninka,4,497
ashe1272,Ashéninka Perené,5,956
bani1255,Baniwa do Icana,8,152
bora1263,Bora,6,70
bord1248,Border Kuna,7,460
call1235,Callawalla,3,2399
cand1248,Candoshi-Shapra,3,145
capa1241,Capanahua,4,189
caqu1242,Caquinte,4,795
cent2142,Central Aymara,3,4210
cham1318,Chamicuro,5,129
chim1309,Chimila,10,193
chip1262,Chipaya,5,3721
cogu1240,Cogui,5,1649
coro1247,Corongo Ancash Quechua,3,3515
enaw1238,Enawené-Nawé,4,371
epen1239,Epena,7,22
fuln1247,Fulniô,5,391
guah1255,Guahibo,6,88
guar1293,Baniva de Maroa,4,109
hual1241,Huallaga Huánuco Quechua,3,1221
inap1243,Iñapari,6,278
iqui1243,Iquito,4,135
iran1263,Irántxe-Münkü,6,403
jama1261,Madi,4,96
jaqa1244,Jaqaru,3,2766
jauj1238,Jauja Wanca Quechua,3,4697
kadi1248,Kadiwéu,12,86
kari1311,Karitiâna,10,125
krah1246,Krahô,17,231
kunz1244,Kunza,5,2621
maca1260,Maca,5,70
mach1267,Machiguenga,4,2191
macu1259,Macushi,6,387
maqu1238,Maquiritari,7,1193
moch1259,Mochica,6,379
moco1246,Mocoví,4,64
mose1249,Mosetén-Chimané,18,385
movi1243,Movima,5,146
nant1250,Nanti,4,1607
noma1263,Nomatsiguenga,4,890
nort2979,Northern Conchucos Ancash Quechua,3,3530
nort2980,North Junín Quechua,6,4270
nucl1668,Katukína,4,174
ocai1244,Ocaina,3,114
onaa1245,Selk'nam,3,108
para1316,Paraujano,6,65
paum1247,Paumari,3,41
pemo1248,Pemon,5,838
pich1237,Pichis Ashéninka,4,1033
sanu1240,Sanumá,8,121
sate1243,Sateré-Mawé,5,58
tari1256,Tariana,4,114
tehu1242,Tehuelche,3,299
tere1279,Terena-Kinikinao-Chane,5,233
tini1245,Tinigua,6,264
toba1269,Toba,8,139
trin1274,Trinitario,6,165
trio1238,Trió,7,638
tupa1250,Tuparí,5,247
ucay1237,Ucayali-Yurúa Ashéninka,4,324
uruu1244,Uru,5,3822
waim1253,Waimiri-Atroari,4,83
waor1240,Waorani,10,259
yane1238,Yanesha',3,2474
yano1261,Yanomamö,16,548
yano1262,Yanomámi,23,341
yine1238,Yine,5,355
yuqu1240,Yuqui,10,208
yuwa1244,Hoti,1,848
zapa1253,Záparo,4,207
0,Qawasqar,0,80
1,Mapudungun,0,1538
2,Lokono,0,7
3,Baré,0,100
4,Cabiyarí,0,185
5,Curripaco,0,98
6,Kinikinao,0,366
7,Machinere,0,249
8,Mehináku,0,314
9,Palikúr,0,42
10,Parecís,0,384
11,Piapoco,0,126
12,Resígaro,0,127
