,language,low,elevation
abip1241,Abipon,2,65
abis1238,Aewa,2,216
acha1250,Achagua,2,168
ache1246,Aché,2,158
achu1248,Achuar-Shiwiar,3,251
agua1253,Aguaruna,2,1526
aika1237,Aikanã,2,520
ajyi1238,Ajyíninka Apurucayali,2,500
akaw1239,Akawaio,2,970
akun1241,Akuntsu,2,352
akur1238,Akurio,2,205
amah1246,Amahuaca,2,429
amar1274,Amarakaeri,4,266
amun1246,Amundava,2,115
ando1255,Andoa,2,225
ando1256,Andoque,8,181
apal1257,Apalaí,2,354
apia1248,Apiaká,2,142
apin1244,Apinayé,1,229
apur1254,Apurinã,4,138
arab1268,Arabela,2,182
arao1248,Araona,1,199
araw1273,Araweté,1,207
araw1276,Lokono,1,7
arhu1242,Arhuaco,1,3650
arik1265,Arikapú,2,191
asha1243,Asháninka,2,497
ashe1272,Ashéninka Perené,2,956
avac1239,Avá-Canoeiro,2,540
awac1239,Awa-Cuaiquer,2,453
awet1244,Awetí,2,297
ayac1239,Ayacucho Quechua,1,3504
ayor1240,Ayoreo,2,235
baka1277,Bakairí,4,428
bani1255,Baniwa do Icana,4,152
bara1380,Barasana-Eduria,1,238
bare1276,Baré,1,100
bari1297,Barí,2,87
baur1253,Baure,1,137
bora1263,Bora,2,70
bord1248,Border Kuna,1,460
boro1282,Bororo,1,180
cabi1241,Cabiyarí,1,185
cacu1241,Kakua,1,155
caja1238,Cajamarca Quechua,1,3238
call1235,Callawalla,2,2399
cams1241,Camsá,1,2387
cand1248,Candoshi-Shapra,2,145
cane1242,Canela-Krahô,2,298
capa1241,Capanahua,2,189
caqu1242,Caquinte,2,795
cara1272,Carapana,2,126
cari1279,Carijona,1,228
cash1251,Cashibo-Cacataibo,1,285
cash1254,Cashinahua,2,279
cavi1250,Cavineña,1,173
cayu1262,Cayubaba,4,141
cent2142,Central Aymara,3,4210
cent2150,Central Tunebo,1,560
chac1249,Cha'palaa,1,122
chac1250,Chachapoyas Quechua,1,2477
chac1251,Chácobo,1,185
cham1315,Chamacoco,3,91
cham1318,Chamicuro,2,129
chay1248,Shawi,1,1083
chib1270,Chibcha,1,212
chim1309,Chimila,4,193
chip1262,Chipaya,2,3721
chiq1248,Chiquitano,2,315
chir1286,Chiripá,2,202
chol1284,Cholón,1,694
coca1259,Cocama-Cocamilla,1,93
cofa1242,Cofán,2,342
cogu1240,Cogui,2,1649
colo1256,Tsafiki,2,440
coro1247,Corongo Ancash Quechua,2,3515
cube1242,Cubeo,1,192
cuib1242,Cuiba,2,98
culi1244,Culina,1,224
curr1243,Curripaco,1,98
cusc1236,Cusco Quechua,1,4573
daww1239,Dâw,2,115
deni1241,Deni,1,144
desa1247,Desano,1,149
djeo1235,Djeoromitxí,2,164
east2555,Eastern Bolivian Guaraní,4,272
embe1259,Emberá-Baudó,2,263
embe1260,Emberá-Catío,2,14
embe1262,Emberá-Chamí,2,1906
emer1243,Teko,2,168
enap1235,Panare,1,52
enaw1238,Enawené-Nawé,3,371
epen1239,Epena,3,22
esee1248,Ese Ejja,2,221
fuln1247,Fulniô,2,391
gali1262,Galibi Carib,3,6
gavi1246,Gavião Do Jiparaná,2,232
guah1255,Guahibo,3,88
guaj1255,Guajajára,1,308
guaj1256,Guajá,2,138
guam1248,Guambiano,1,1725
guan1269,Kotiria,2,143
guan1270,Kinikinao,2,366
guar1292,Guarayu,2,353
guar1293,Baniva de Maroa,2,109
guat1253,Guató,1,101
guay1257,Guayabero,1,177
hixk1239,Hixkaryána,1,341
hual1241,Huallaga Huánuco Quechua,2,1221
huam1247,Huambisa,2,1193
hupd1244,Hupdë,4,156
igna1246,Ignaciano,1,159
ikpe1245,Ikpeng,1,335
imba1240,Imbabura Highland Quichua,1,3424
inap1243,Iñapari,3,278
inga1252,Inga,1,2471
iqui1243,Iquito,2,135
iran1263,Irántxe-Münkü,3,403
iton1250,Itonama,1,169
iyow1239,Iyo'wujwa Chorote,1,269
jama1261,Madi,3,96
