Glottocode,language,nasal,elevation
abip1241,Abipon,3,65
abis1238,Aewa,6,216
acha1250,Achagua,2,168
ache1246,Aché,9,158
achu1248,Achuar-Shiwiar,7,251
agua1253,Aguaruna,6,1526
aika1237,Aikanã,7,520
ajyi1238,Ajyíninka Apurucayali,4,500
akaw1239,Akawaio,2,970
akun1241,Akuntsu,8,352
akur1238,Akurio,2,205
amah1246,Amahuaca,6,429
amar1274,Amarakaeri,11,266
amun1246,Amundava,11,115
ando1255,Andoa,2,225
ando1256,Andoque,7,181
apal1257,Apalaí,8,354
apia1248,Apiaká,7,142
apin1244,Apinayé,10,229
apur1254,Apurinã,13,138
arab1268,Arabela,4,182
arao1248,Araona,3,199
araw1273,Araweté,6,207
araw1276,Lokono,2,7
arhu1242,Arhuaco,3,3650
arik1265,Arikapú,8,191
asha1243,Asháninka,3,497
ashe1272,Ashéninka Perené,4,956
avac1239,Avá-Canoeiro,9,540
awac1239,Awa-Cuaiquer,7,453
awet1244,Awetí,9,297
ayac1239,Ayacucho Quechua,3,3504
ayor1240,Ayoreo,12,235
baka1277,Bakairí,17,428
bani1255,Baniwa do Icana,5,152
bare1276,Baré,4,100
bari1297,Barí,9,87
baur1253,Baure,2,137
bora1263,Bora,4,70
bord1248,Border Kuna,4,460
boro1282,Bororo,2,180
cabi1241,Cabiyarí,2,185
cacu1241,Kakua,3,155
caja1238,Cajamarca Quechua,3,3238
call1235,Callawalla,3,2399
cams1241,Camsá,3,2387
cand1248,Candoshi-Shapra,2,145
cane1242,Canela-Krahô,10,298
capa1241,Capanahua,2,189
caqu1242,Caquinte,5,795
cara1272,Carapana,6,126
cari1279,Carijona,3,228
cash1251,Cashibo-Cacataibo,3,285
cash1254,Cashinahua,6,279
cavi1250,Cavineña,3,173
cayu1262,Cayubaba,11,141
cent2142,Central Aymara,7,4210
cent2150,Central Tunebo,3,560
chac1249,Cha'palaa,4,122
chac1250,Chachapoyas Quechua,3,2477
chac1251,Chácobo,2,185
cham1315,Chamacoco,9,91
cham1318,Chamicuro,3,129
chay1248,Shawi,2,1083
chib1270,Chibcha,2,212
chim1309,Chimila,13,193
chip1262,Chipaya,4,3721
chiq1248,Chiquitano,9,315
chir1286,Chiripá,6,202
chol1284,Cholón,4,694
coca1259,Cocama-Cocamilla,2,93
cofa1242,Cofán,8,342
cogu1240,Cogui,8,1649
colo1256,Tsafiki,7,440
coro1247,Corongo Ancash Quechua,3,3515
cuib1242,Cuiba,3,98
culi1244,Culina,2,224
curr1243,Curripaco,4,98
cusc1236,Cusco Quechua,3,4573
daww1239,Dâw,13,115
deni1241,Deni,2,144
djeo1235,Djeoromitxí,6,164
east2555,Eastern Bolivian Guaraní,15,272
embe1259,Emberá-Baudó,8,263
embe1260,Emberá-Catío,8,14
embe1262,Emberá-Chamí,8,1906
emer1243,Teko,7,168
enap1235,Panare,3,52
enaw1238,Enawené-Nawé,7,371
epen1239,Epena,7,22
esee1248,Ese Ejja,6,221
fuln1247,Fulniô,2,391
gali1262,Galibi Carib,6,6
gavi1246,Gavião Do Jiparaná,9,232
guah1255,Guahibo,8,88
guaj1255,Guajajára,4,308
guaj1256,Guajá,8,138
guam1248,Guambiano,3,1725
guan1269,Kotiria,6,143
guan1270,Kinikinao,7,366
guar1292,Guarayu,9,353
guar1293,Baniva de Maroa,3,109
guat1253,Guató,2,101
guay1257,Guayabero,2,177
hixk1239,Hixkaryána,3,341
hual1241,Huallaga Huánuco Quechua,3,1221
huam1247,Huambisa,7,1193
hupd1244,Hupdë,6,156
igna1246,Ignaciano,3,159
ikpe1245,Ikpeng,3,335
imba1240,Imbabura Highland Quichua,3,3424
inap1243,Iñapari,9,278
inga1252,Inga,3,2471
iqui1243,Iquito,2,135
iran1263,Irántxe-Münkü,11,403
iton1250,Itonama,2,169
iyow1239,Iyo'wujwa Chorote,2,269
