Glottocode,language,round,elevation
abip1241,Abipon,2,65
abis1238,Aewa,6,216
acha1250,Achagua,6,168
ache1246,Aché,5,158
achu1248,Achuar-Shiwiar,4,251
agua1253,Aguaruna,2,1526
aika1237,Aikanã,5,520
ajyi1238,Ajyíninka Apurucayali,2,500
akaw1239,Akawaio,4,970
akun1241,Akuntsu,5,352
akur1238,Akurio,5,205
amah1246,Amahuaca,3,429
amar1274,Amarakaeri,5,266
amun1246,Amundava,6,115
ando1255,Andoa,6,225
ando1256,Andoque,8,181
apal1257,Apalaí,5,354
apia1248,Apiaká,4,142
apin1244,Apinayé,6,229
apur1254,Apurinã,4,138
arab1268,Arabela,7,182
arao1248,Araona,3,199
araw1273,Araweté,3,207
araw1276,Lokono,2,7
arhu1242,Arhuaco,2,3650
arik1265,Arikapú,5,191
asha1243,Asháninka,2,497
ashe1272,Ashéninka Perené,3,956
avac1239,Avá-Canoeiro,6,540
awac1239,Awa-Cuaiquer,3,453
awet1244,Awetí,5,297
ayac1239,Ayacucho Quechua,2,3504
ayor1240,Ayoreo,5,235
baka1277,Bakairí,10,428
bani1255,Baniwa do Icana,6,152
bara1380,Barasana-Eduria,3,238
bare1276,Baré,3,100
bari1297,Barí,4,87
baur1253,Baure,2,137
bora1263,Bora,3,70
bord1248,Border Kuna,5,460
boro1282,Bororo,5,180
cabi1241,Cabiyarí,3,185
cacu1241,Kakua,4,155
caja1238,Cajamarca Quechua,2,3238
call1235,Callawalla,3,2399
cams1241,Camsá,3,2387
cand1248,Candoshi-Shapra,3,145
cane1242,Canela-Krahô,6,298
capa1241,Capanahua,3,189
caqu1242,Caquinte,2,795
cara1272,Carapana,5,126
cari1279,Carijona,3,228
cash1251,Cashibo-Cacataibo,3,285
cash1254,Cashinahua,3,279
cavi1250,Cavineña,3,173
cayu1262,Cayubaba,7,141
cent2142,Central Aymara,5,4210
cent2150,Central Tunebo,5,560
chac1249,Cha'palaa,1,122
chac1250,Chachapoyas Quechua,2,2477
chac1251,Chácobo,2,185
cham1315,Chamacoco,5,91
cham1318,Chamicuro,5,129
chay1248,Shawi,2,1083
chib1270,Chibcha,3,212
chim1309,Chimila,9,193
chip1262,Chipaya,9,3721
chiq1248,Chiquitano,4,315
chir1286,Chiripá,7,202
chol1284,Cholón,3,694
coca1259,Cocama-Cocamilla,2,93
cofa1242,Cofán,3,342
cogu1240,Cogui,4,1649
colo1256,Tsafiki,5,440
coro1247,Corongo Ancash Quechua,3,3515
cube1242,Cubeo,3,192
cuib1242,Cuiba,3,98
culi1244,Culina,2,224
curr1243,Curripaco,2,98
cusc1236,Cusco Quechua,3,4573
daww1239,Dâw,7,115
deni1241,Deni,2,144
desa1247,Desano,4,149
djeo1235,Djeoromitxí,4,164
east2555,Eastern Bolivian Guaraní,11,272
embe1259,Emberá-Baudó,5,263
embe1260,Emberá-Catío,5,14
embe1262,Emberá-Chamí,5,1906
emer1243,Teko,6,168
enap1235,Panare,3,52
enaw1238,Enawené-Nawé,4,371
epen1239,Epena,7,22
esee1248,Ese Ejja,6,221
fuln1247,Fulniô,6,391
gali1262,Galibi Carib,9,6
gavi1246,Gavião Do Jiparaná,2,232
guah1255,Guahibo,7,88
guaj1255,Guajajára,5,308
guaj1256,Guajá,6,138
guam1248,Guambiano,3,1725
guan1269,Kotiria,5,143
guan1270,Kinikinao,5,366
guar1292,Guarayu,6,353
guar1293,Baniva de Maroa,3,109
guat1253,Guató,5,101
guay1257,Guayabero,3,177
hixk1239,Hixkaryána,3,341
hual1241,Huallaga Huánuco Quechua,3,1221
huam1247,Huambisa,3,1193
hupd1244,Hupdë,7,156
igna1246,Ignaciano,1,159
ikpe1245,Ikpeng,3,335
imba1240,Imbabura Highland Quichua,2,3424
inap1243,Iñapari,7,278
inga1252,Inga,2,2471
iqui1243,Iquito,4,135
iran1263,Irántxe-Münkü,14,403
iton1250,Itonama,3,169
iyow1239,Iyo'wujwa Chorote,4,269
jama1261,Madi,3,96
japr1238,Japrería,2,859
jaqa1244,Jaqaru,3,2766
jauj1238,Jauja Wanca Quechua,3,4697
jebe1250,Jebero,2,242
juma1249,Júma,5,68
jung1240,Jungle Inga,1,371
juru1256,Jurúna,3,315
kadi1248,Kadiwéu,4,86
kain1272,Kaingang,2,662
kaiw1246,Kaiwá,6,306
kama1373,Kamayurá,7,311
kano1245,Kanoê,5,142
kara1500,Karajá,6,184
kari1255,Karirí-Xocó,3,163
kari1311,Karitiâna,5,125
kaxa1239,Kaxararí,3,157
kaxu1237,Kaxuiâna,3,346
kaya1329,Kayabí,6,345
kaya1330,Kayapó,6,403
kore1283,Koreguaje,4,245
koru1247,Korubo,4,145
krah1246,Krahô,11,231
kren1239,Krenak,6,188
krik1239,Krikati-Timbira,6,332
kuik1246,Kuikúro-Kalapálo,5,283
kunz1244,Kunza,4,2621
kuru1309,Kuruáya,4,149
kwaz1243,Kwaza,7,176
lamb1276,Lambayeque Quechua,2,1886
latu1238,Latundê,7,480
leco1242,Leco,3,496
maca1259,Macaguán,3,150
maca1260,Maca,5,70
mach1267,Machiguenga,2,2191
mach1268,Machinere,2,249
macu1259,Macushi,5,387
macu1260,Macuna,5,169
maku1278,Makuráp,3,193
mala1522,Malayo,4,2877
mama1278,Mamaindé,9,578
mapo1246,Mapoyo,3,200
mapu1245,Mapudungun,3,1538
maqu1238,Maquiritari,5,1193
mati1255,Matís,3,76
mato1253,Mato Grosso Arára,6,138
mats1244,Matsés,1,151
maxa1247,Maxakalí,2,294
mbya1239,Mbyá Guaraní,7,524
mehi1240,Mehináku,3,314
mini1256,Minica Huitoto,2,162
moch1259,Mochica,6,379
moco1246,Mocoví,3,64
mose1249,Mosetén-Chimané,6,385
movi1243,Movima,6,146
muin1242,Muinane,2,177
mund1330,Mundurukú,5,108
muni1258,Muniche,2,182
muru1274,Murui Huitoto,2,165
nade1244,Nadëb,6,79
nant1250,Nanti,2,1607
napo1242,Napo Lowland Quechua,2,262
nhen1239,Nhengatu,3,109
nina1238,Ninam,2,575
niva1238,Nivaclé,3,209
noma1263,Nomatsiguenga,2,890
nonu1241,Nonuya,2,155
nort2972,Northern Emberá,5,234
nort2976,North Bolivian Quechua,2,2814
nort2979,Northern Conchucos Ancash Quechua,3,3530
nort2980,North Junín Quechua,8,4270
nucl1668,Katukína,2,174
nuka1242,Nukak Makú,3,227
nuku1263,Nukuini,3,244
ocai1244,Ocaina,2,114
ofay1240,Ofayé,4,344
olub1238,Olu'bo,3,721
omag1248,Omagua,3,71
onaa1245,Selk'nam,4,108
orej1242,Maijiki,5,144
orow1243,Oro Win,4,381
paca1246,Pacahuara,2,152
paez1247,Páez,5,3472
pait1247,Pai Tavytera,7,284
pali1279,Palikúr,5,42
pana1307,Panará,6,309
pano1254,Panoan Katukína,2,239
pano1255,Panobo,2,534
para1310,Pará Arára,3,181
para1311,Paraguayan Guaraní,7,184
para1312,Parakanã,2,177
para1315,Pará Gavião,10,128
para1316,Paraujano,5,65
pare1272,Parecís,3,384
paum1247,Paumari,2,41
pemo1245,Pémono,3,169
pemo1248,Pemon,8,838
piap1246,Piapoco,1,126
piar1243,Piaroa,5,92
pich1237,Pichis Ashéninka,4,1033
pila1245,Pilagá,2,119
pira1253,Pirahã,1,75
pira1254,Wa'ikhana,5,143
pisa1245,Pisamira,2,181
poya1241,Poyanáwa,3,215
puel1244,Puelche,3,121
puin1248,Puinave,3,77
pume1238,Pumé,5,53
puri1262,Puri,2,1737
qawa1238,Qawasqar,6,80
resi1247,Resígaro,2,127
reye1240,Reyesano,3,254
rikb1245,Rikbaktsa,5,248
saba1268,Sabanê,2,312
saki1248,Mekens,4,156
sala1272,Salasaca Highland Quichua,2,2483
sali1298,Sáliba,7,119
sanm1289,San Martín Quechua,2,950
sant1432,Santiago del Estero Quichua,3,138
sanu1240,Sanumá,12,121
saop1235,São Paulo Kaingáng,5,736
sate1243,Sateré-Mawé,5,58
seco1241,Secoya,6,211
shal1242,Shall-Zwall,2,578
shar1245,Sharanahua,5,329
shua1257,Shuar,3,1256
sian1254,Siang,1,52
sion1247,Siona-Tetete,8,236
siri1273,Sirionó,6,182
siri1274,Siriano,5,186
suru1262,Suruí,3,204
suru1263,Suruahá,2,124
suya1243,Suyá,15,283
taca1256,Tacana,3,207
tani1257,Tanimuca-Retuarã,5,128
tapi1253,Tapieté,6,304
tapi1254,Tapirapé,4,181
tari1256,Tariana,7,114
tatu1247,Tatuyo,3,219
taus1253,Taushiro,4,212
tehu1242,Tehuelche,3,299
temb1276,Tenetehara,5,54
tena1240,Tena Lowland Quichua,2,978
tenh1241,Tenharim-Parintintin-Diahoi,6,96
tere1279,Terena-Kinikinao-Chane,5,233
ticu1245,Ticuna,7,150
tini1245,Tinigua,8,264
toba1269,Toba,6,139
toca1235,Tocantins Asurini,3,99
trin1274,Trinitario,5,165
trio1238,Trió,5,638
trum1247,Trumai,3,284
tuca1252,Tucano,5,144
tupa1250,Tuparí,4,247
tupi1273,Tupinambá,5,70
tuyu1244,Tuyuca,5,182
ucay1237,Ucayali-Yurúa Ashéninka,2,324
umot1240,Umotína,4,135
urar1246,Urarina,4,125
urub1250,Urubú-Kaapor,7,95
urue1240,Uru-Eu-Wau-Wau,6,251
uruu1244,Uru,6,3822
vile1241,Vilela,3,54
waim1253,Waimiri-Atroari,4,83
waim1255,Waimaha,5,167
waiw1244,Waiwai,3,409
waor1240,Waorani,5,259
wapi1253,Wapishana,2,130
wara1303,Warao,4,26
wari1268,Wari',6,153
waur1244,Waurá,3,362
waya1269,Wayana,1,182
waya1270,Wayampi,13,204
wayu1243,Wayuu,3,37
wich1262,Wichí Lhamtés Nocten,6,656
woun1238,Woun Meu,5,62
xava1240,Xavánte,6,323
xere1240,Xerénte,6,305
xeta1241,Xetá,4,690
xing1248,Xingú Asuriní,6,184
xipa1240,Xipaya,3,90
