,language,strident,elevation
abis1238,Aewa,4,216
acha1250,Achagua,5,168
ache1246,Aché,3,158
achu1248,Achuar-Shiwiar,4,251
agua1253,Aguaruna,4,1526
aika1237,Aikanã,1,520
ajyi1238,Ajyíninka Apurucayali,5,500
akaw1239,Akawaio,1,970
akur1238,Akurio,1,205
amah1246,Amahuaca,4,429
amar1274,Amarakaeri,1,266
amun1246,Amundava,1,115
ando1255,Andoa,4,225
ando1256,Andoque,1,181
apal1257,Apalaí,3,354
apia1248,Apiaká,1,142
apin1244,Apinayé,3,229
apur1254,Apurinã,4,138
arab1268,Arabela,2,182
arao1248,Araona,6,199
araw1273,Araweté,1,207
araw1276,Lokono,1,7
arhu1242,Arhuaco,4,3650
arik1265,Arikapú,1,191
asha1243,Asháninka,4,497
ashe1272,Ashéninka Perené,5,956
avac1239,Avá-Canoeiro,1,540
awac1239,Awa-Cuaiquer,6,453
awet1244,Awetí,2,297
ayac1239,Ayacucho Quechua,2,3504
ayor1240,Ayoreo,2,235
baka1277,Bakairí,5,428
bani1255,Baniwa do Icana,7,152
bare1276,Baré,2,100
bari1297,Barí,1,87
baur1253,Baure,3,137
bora1263,Bora,4,70
bord1248,Border Kuna,2,460
boro1282,Bororo,2,180
cabi1241,Cabiyarí,1,185
cacu1241,Kakua,1,155
caja1238,Cajamarca Quechua,7,3238
call1235,Callawalla,5,2399
cams1241,Camsá,6,2387
cand1248,Candoshi-Shapra,9,145
cane1242,Canela-Krahô,1,298
capa1241,Capanahua,5,189
caqu1242,Caquinte,4,795
cara1272,Carapana,1,126
cari1279,Carijona,3,228
cash1251,Cashibo-Cacataibo,5,285
cash1254,Cashinahua,5,279
cavi1250,Cavineña,2,173
cayu1262,Cayubaba,3,141
cent2142,Central Aymara,8,4210
cent2150,Central Tunebo,2,560
chac1249,Cha'palaa,4,122
chac1250,Chachapoyas Quechua,4,2477
chac1251,Chácobo,6,185
cham1315,Chamacoco,6,91
cham1318,Chamicuro,6,129
chay1248,Shawi,3,1083
chib1270,Chibcha,3,212
chim1309,Chimila,1,193
chip1262,Chipaya,13,3721
chiq1248,Chiquitano,4,315
chir1286,Chiripá,3,202
chol1284,Cholón,2,694
coca1259,Cocama-Cocamilla,2,93
cofa1242,Cofán,8,342
cogu1240,Cogui,4,1649
colo1256,Tsafiki,2,440
coro1247,Corongo Ancash Quechua,5,3515
cube1242,Cubeo,1,192
cuib1242,Cuiba,3,98
culi1244,Culina,3,224
curr1243,Curripaco,4,98
cusc1236,Cusco Quechua,5,4573
daww1239,Dâw,1,115
deni1241,Deni,3,144
desa1247,Desano,1,149
djeo1235,Djeoromitxí,4,164
east2555,Eastern Bolivian Guaraní,3,272
embe1259,Emberá-Baudó,2,263
embe1260,Emberá-Catío,5,14
embe1262,Emberá-Chamí,2,1906
emer1243,Teko,4,168
enap1235,Panare,2,52
enaw1238,Enawené-Nawé,2,371
epen1239,Epena,2,22
esee1248,Ese Ejja,7,221
fuln1247,Fulniô,6,391
gali1262,Galibi Carib,3,6
gavi1246,Gavião Do Jiparaná,2,232
guah1255,Guahibo,2,88
guaj1255,Guajajára,2,308
guaj1256,Guajá,1,138
guam1248,Guambiano,7,1725
guan1269,Kotiria,2,143
guan1270,Kinikinao,2,366
guar1292,Guarayu,2,353
guar1293,Baniva de Maroa,4,109
guat1253,Guató,2,101
guay1257,Guayabero,2,177
hixk1239,Hixkaryána,3,341
hual1241,Huallaga Huánuco Quechua,3,1221
huam1247,Huambisa,4,1193
igna1246,Ignaciano,4,159
ikpe1245,Ikpeng,1,335
imba1240,Imbabura Highland Quichua,5,3424
inap1243,Iñapari,2,278
inga1252,Inga,4,2471
iqui1243,Iquito,1,135
iran1263,Irántxe-Münkü,2,403
iton1250,Itonama,3,169
iyow1239,Iyo'wujwa Chorote,2,269
jama1261,Madi,2,96
japr1238,Japrería,3,859
jaqa1244,Jaqaru,4,2766
jauj1238,Jauja Wanca Quechua,4,4697
jebe1250,Jebero,3,242
jung1240,Jungle Inga,3,371
juru1256,Jurúna,5,315
kadi1248,Kadiwéu,2,86
kain1272,Kaingang,2,662
kaiw1246,Kaiwá,3,306
kama1373,Kamayurá,1,311
kano1245,Kanoê,1,142
kari1255,Karirí-Xocó,2,163
kari1311,Karitiâna,1,125
kaxa1239,Kaxararí,5,157
kaxu1237,Kaxuiâna,2,346
kaya1329,Kayabí,1,345
kaya1330,Kayapó,2,403
kore1283,Koreguaje,2,245
koru1247,Korubo,4,145
krah1246,Krahô,1,231
kren1239,Krenak,3,188
krik1239,Krikati-Timbira,1,332
kuik1246,Kuikúro-Kalapálo,2,283
kunz1244,Kunza,4,2621
kuru1309,Kuruáya,4,149
kwaz1243,Kwaza,3,176
lamb1276,Lambayeque Quechua,5,1886
latu1238,Latundê,1,480
leco1242,Leco,5,496
maca1259,Macaguán,2,150
maca1260,Maca,3,70
mach1267,Machiguenga,4,2191
mach1268,Machinere,4,249
macu1259,Macushi,1,387
macu1260,Macuna,1,169
maku1278,Makuráp,1,193
mala1522,Malayo,6,2877
mama1278,Mamaindé,1,578
mapo1246,Mapoyo,1,200
mapu1245,Mapudungun,5,1538
maqu1238,Maquiritari,2,1193
mati1255,Matís,6,76
mato1253,Mato Grosso Arára,4,138
mats1244,Matsés,6,151
mbya1239,Mbyá Guaraní,1,524
mehi1240,Mehináku,3,314
mini1256,Minica Huitoto,3,162
moch1259,Mochica,6,379
moco1246,Mocoví,4,64
mose1249,Mosetén-Chimané,15,385
movi1243,Movima,2,146
muin1242,Muinane,4,177
mund1330,Mundurukú,4,108
muni1258,Muniche,6,182
nade1244,Nadëb,1,79
nant1250,Nanti,4,1607
napo1242,Napo Lowland Quechua,4,262
nhen1239,Nhengatu,2,109
nina1238,Ninam,3,575
niva1238,Nivaclé,6,209
noma1263,Nomatsiguenga,4,890
nonu1241,Nonuya,5,155
nort2972,Northern Emberá,3,234
nort2976,North Bolivian Quechua,4,2814
nort2979,Northern Conchucos Ancash Quechua,4,3530
nort2980,North Junín Quechua,12,4270
nucl1668,Katukína,2,174
nuku1263,Nukuini,1,244
ocai1244,Ocaina,7,114
ofay1240,Ofayé,3,344
olub1238,Olu'bo,2,721
omag1248,Omagua,4,71
onaa1245,Selk'nam,4,108
orej1242,Maijiki,3,144
orow1243,Oro Win,1,381
paca1246,Pacahuara,5,152
paez1247,Páez,8,3472
pait1247,Pai Tavytera,2,284
pali1279,Palikúr,2,42
pana1307,Panará,1,309
pano1254,Panoan Katukína,5,239
pano1255,Panobo,4,534
para1310,Pará Arára,1,181
para1311,Paraguayan Guaraní,3,184
para1312,Parakanã,1,177
para1315,Pará Gavião,1,128
para1316,Paraujano,2,65
pare1272,Parecís,1,384
paum1247,Paumari,4,41
pemo1245,Pémono,1,169
pemo1248,Pemon,2,838
piap1246,Piapoco,2,126
piar1243,Piaroa,2,92
pich1237,Pichis Ashéninka,4,1033
pila1245,Pilagá,2,119
pira1253,Pirahã,1,75
pira1254,Wa'ikhana,1,143
pisa1245,Pisamira,1,181
poya1241,Poyanáwa,4,215
puel1244,Puelche,9,121
puin1248,Puinave,1,77
pume1238,Pumé,3,53
puri1262,Puri,2,1737
qawa1238,Qawasqar,4,80
resi1247,Resígaro,9,127
reye1240,Reyesano,5,254
rikb1245,Rikbaktsa,2,248
saba1268,Sabanê,1,312
saki1248,Mekens,2,156
sala1272,Salasaca Highland Quichua,6,2483
sali1298,Sáliba,1,119
sanm1289,San Martín Quechua,4,950
sant1432,Santiago del Estero Quichua,4,138
sanu1240,Sanumá,3,121
saop1235,São Paulo Kaingáng,1,736
sate1243,Sateré-Mawé,1,58
seco1241,Secoya,3,211
shal1242,Shall-Zwall,4,578
shar1245,Sharanahua,10,329
shua1257,Shuar,4,1256
sian1254,Siang,4,52
sion1247,Siona-Tetete,3,236
siri1273,Sirionó,3,182
siri1274,Siriano,1,186
suru1262,Suruí,4,204
suru1263,Suruahá,4,124
suya1243,Suyá,4,283
taca1256,Tacana,4,207
tani1257,Tanimuca-Retuarã,1,128
tapi1253,Tapieté,4,304
tapi1254,Tapirapé,1,181
tari1256,Tariana,2,114
taus1253,Taushiro,1,212
tehu1242,Tehuelche,4,299
temb1276,Tenetehara,1,54
tena1240,Tena Lowland Quichua,6,978
tenh1241,Tenharim-Parintintin-Diahoi,1,96
tere1279,Terena-Kinikinao-Chane,2,233
tini1245,Tinigua,4,264
toba1269,Toba,8,139
toca1235,Tocantins Asurini,1,99
trin1274,Trinitario,3,165
trio1238,Trió,1,638
trum1247,Trumai,4,284
tuca1252,Tucano,1,144
tupa1250,Tuparí,2,247
tupi1273,Tupinambá,2,70
tuyu1244,Tuyuca,1,182
ucay1237,Ucayali-Yurúa Ashéninka,6,324
umot1240,Umotína,3,135
urar1246,Urarina,3,125
urub1250,Urubú-Kaapor,2,95
urue1240,Uru-Eu-Wau-Wau,1,251
uruu1244,Uru,4,3822
vile1241,Vilela,3,54
waim1253,Waimiri-Atroari,4,83
waiw1244,Waiwai,3,409
wapi1253,Wapishana,4,130
wara1303,Warao,1,26
wari1268,Wari',1,153
waur1244,Waurá,3,362
waya1270,Wayampi,2,204
wayu1243,Wayuu,3,37
wich1262,Wichí Lhamtés Nocten,3,656
woun1238,Woun Meu,1,62
xava1240,Xavánte,2,323
xere1240,Xerénte,2,305
xeta1241,Xetá,2,690
xing1248,Xingú Asuriní,2,184
xipa1240,Xipaya,3,90
xiri1243,Xiriâna,2,263
xokl1240,Xokleng,2,794
yaba1248,Yabarana,1,808
yagu1244,Yagua,2,97
yama1264,Yámana,4,279
yame1242,Yameo,2,143
yami1256,Yaminahua,6,322
yane1238,Yanesha',6,2474
yano1261,Yanomamö,6,548
yano1262,Yanomámi,7,341
yavi1244,Yavitero,3,120
yawa1260,Yawanawa,5,261
yawa1261,Yawalapití,4,331
yine1238,Yine,4,355
yora1241,Yora,5,569
yucu1253,Yucuna,2,164
yuhu1238,Yuhup,1,109
yukp1241,Yukpa,5,1989
yuqu1240,Yuqui,2,208
yura1255,Yuracaré,4,209
yuru1263,Yurutí,1,176
zapa1253,Záparo,3,207
zoee1240,Zo'é,2,87
0,Wayana,0,182
1,Abipon,0,65
2,Ticuna,0,150
3,Waorani,0,259
4,Nukak Makú,0,227
5,Karajá,0,184
6,Maxakalí,0,294
7,Hupdë,0,156
8,Barasana-Eduria,0,238
9,Tatuyo,0,219
