,language,tap,elevation
abip1241,Abipon,1,65
abis1238,Aewa,1,216
acha1250,Achagua,1,168
ache1246,Aché,1,158
achu1248,Achuar-Shiwiar,1,251
agua1253,Aguaruna,1,1526
aika1237,Aikanã,1,520
ajyi1238,Ajyíninka Apurucayali,2,500
akaw1239,Akawaio,1,970
akun1241,Akuntsu,1,352
akur1238,Akurio,1,205
amah1246,Amahuaca,1,429
amar1274,Amarakaeri,1,266
amun1246,Amundava,1,115
ando1255,Andoa,1,225
ando1256,Andoque,1,181
apal1257,Apalaí,1,354
apia1248,Apiaká,1,142
apin1244,Apinayé,1,229
apur1254,Apurinã,1,138
arab1268,Arabela,2,182
araw1273,Araweté,1,207
araw1276,Lokono,2,7
arhu1242,Arhuaco,1,3650
arik1265,Arikapú,1,191
asha1243,Asháninka,1,497
ashe1272,Ashéninka Perené,2,956
avac1239,Avá-Canoeiro,1,540
awac1239,Awa-Cuaiquer,1,453
awet1244,Awetí,1,297
ayac1239,Ayacucho Quechua,1,3504
ayor1240,Ayoreo,1,235
baka1277,Bakairí,2,428
bani1255,Baniwa do Icana,3,152
bara1380,Barasana-Eduria,1,238
baur1253,Baure,1,137
bora1263,Bora,1,70
bord1248,Border Kuna,1,460
boro1282,Bororo,1,180
cabi1241,Cabiyarí,1,185
caja1238,Cajamarca Quechua,1,3238
call1235,Callawalla,1,2399
cams1241,Camsá,1,2387
cand1248,Candoshi-Shapra,1,145
cane1242,Canela-Krahô,1,298
capa1241,Capanahua,1,189
caqu1242,Caquinte,2,795
cara1272,Carapana,1,126
cari1279,Carijona,1,228
cash1251,Cashibo-Cacataibo,1,285
cavi1250,Cavineña,1,173
cayu1262,Cayubaba,1,141
cent2142,Central Aymara,2,4210
cent2150,Central Tunebo,1,560
chac1249,Cha'palaa,1,122
chac1250,Chachapoyas Quechua,1,2477
cham1318,Chamicuro,1,129
chay1248,Shawi,1,1083
chib1270,Chibcha,1,212
chim1309,Chimila,1,193
chip1262,Chipaya,1,3721
chiq1248,Chiquitano,1,315
chir1286,Chiripá,1,202
coca1259,Cocama-Cocamilla,1,93
cofa1242,Cofán,1,342
colo1256,Tsafiki,1,440
coro1247,Corongo Ancash Quechua,1,3515
cube1242,Cubeo,1,192
culi1244,Culina,1,224
curr1243,Curripaco,3,98
cusc1236,Cusco Quechua,1,4573
