,language,trill,elevation
bani1255,Baniwa do Icana,1,152
bari1297,Barí,1,87
cham1315,Chamacoco,1,91
embe1259,Emberá-Baudó,1,263
embe1260,Emberá-Catío,1,14
embe1262,Emberá-Chamí,1,1906
epen1239,Epena,1,22
japr1238,Japrería,1,859
mala1522,Malayo,1,2877
muin1242,Muinane,1,177
nort2972,Northern Emberá,1,234
puel1244,Puelche,1,121
sali1298,Sáliba,1,119
wayu1243,Wayuu,1,37
woun1238,Woun Meu,1,62
xiri1243,Xiriâna,1,263
yawa1261,Yawalapití,1,331
0,Qawasqar,0,80
1,Mapudungun,0,1538
2,Achagua,0,168
3,Apurinã,0,138
4,Lokono,0,7
5,Asháninka,0,497
6,Ajyíninka Apurucayali,0,500
7,Ashéninka Perené,0,956
8,Pichis Ashéninka,0,1033
9,Ucayali-Yurúa Ashéninka,0,324
10,Baré,0,100
11,Cabiyarí,0,185
12,Caquinte,0,795
13,Chamicuro,0,129
14,Curripaco,0,98
15,Enawené-Nawé,0,371
16,Iñapari,0,278
17,Kinikinao,0,366
18,Machinere,0,249
19,Machiguenga,0,2191
20,Mehináku,0,314
21,Nanti,0,1607
22,Nomatsiguenga,0,890
23,Palikúr,0,42
24,Paraujano,0,65
25,Parecís,0,384
26,Piapoco,0,126
27,Resígaro,0,127
28,Tariana,0,114
29,Terena-Kinikinao-Chane,0,233
30,Wapishana,0,130
31,Baniva de Maroa,0,109
32,Waurá,0,362
33,Yanesha',0,2474
34,Yavitero,0,120
35,Yine,0,355
36,Yucuna,0,164
37,Baure,0,137
38,Ignaciano,0,159
39,Deni,0,144
40,Madi,0,96
41,Culina,0,224
42,Paumari,0,41
43,Suruahá,0,124
44,Central Aymara,0,4210
45,Jaqaru,0,2766
46,Awa-Cuaiquer,0,453
47,Cha'palaa,0,122
48,Guambiano,0,1725
49,Tsafiki,0,440
50,Bora,0,70
52,Jebero,0,242
53,Shawi,0,1083
54,Akurio,0,205
55,Apalaí,0,354
56,Pará Arára,0,181
57,Bakairí,0,428
58,Galibi Carib,0,6
59,Carijona,0,228
60,Hixkaryána,0,341
61,Ikpeng,0,335
62,Akawaio,0,970
63,Kaxuiâna,0,346
64,Kuikúro-Kalapálo,0,283
65,Macushi,0,387
66,Mapoyo,0,200
67,Maquiritari,0,1193
68,Panare,0,52
69,Pemon,0,838
70,Pémono,0,169
71,Trió,0,638
72,Waimiri-Atroari,0,83
73,Waiwai,0,409
74,Wayana,0,182
75,Yabarana,0,808
76,Oro Win,0,381
77,Wari',0,153
78,Arhuaco,0,3650
79,Chibcha,0,212
80,Chimila,0,193
81,Cofán,0,342
82,Cogui,0,1649
83,Border Kuna,0,460
84,Central Tunebo,0,560
85,Selk'nam,0,108
86,Tehuelche,0,299
87,Cocama-Cocamilla,0,93
88,Cuiba,0,98
89,Guahibo,0,88
90,Guayabero,0,177
91,Macaguán,0,150
92,Abipon,0,65
93,Kadiwéu,0,86
94,Mocoví,0,64
95,Pilagá,0,119
96,Toba,0,139
