Glottocode,language,anterior,elevation
abip1241,Abipon,4,65
abis1238,Aewa,6,216
acha1250,Achagua,7,168
ache1246,Aché,5,158
achu1248,Achuar-Shiwiar,5,251
agua1253,Aguaruna,5,1526
aika1237,Aikanã,7,520
ajyi1238,Ajyíninka Apurucayali,8,500
akaw1239,Akawaio,4,970
akun1241,Akuntsu,3,352
akur1238,Akurio,3,205
amah1246,Amahuaca,5,429
amar1274,Amarakaeri,5,266
amun1246,Amundava,3,115
ando1255,Andoa,5,225
ando1256,Andoque,4,181
apal1257,Apalaí,5,354
apia1248,Apiaká,4,142
apin1244,Apinayé,5,229
apur1254,Apurinã,5,138
arab1268,Arabela,7,182
arao1248,Araona,7,199
araw1273,Araweté,4,207
araw1276,Lokono,7,7
arhu1242,Arhuaco,6,3650
arik1265,Arikapú,3,191
asha1243,Asháninka,5,497
ashe1272,Ashéninka Perené,7,956
avac1239,Avá-Canoeiro,3,540
awac1239,Awa-Cuaiquer,7,453
awet1244,Awetí,5,297
ayac1239,Ayacucho Quechua,5,3504
ayor1240,Ayoreo,6,235
baka1277,Bakairí,13,428
bani1255,Baniwa do Icana,15,152
bara1380,Barasana-Eduria,3,238
bare1276,Baré,6,100
bari1297,Barí,5,87
baur1253,Baure,4,137
bora1263,Bora,8,70
bord1248,Border Kuna,8,460
boro1282,Bororo,4,180
cabi1241,Cabiyarí,4,185
cacu1241,Kakua,5,155
caja1238,Cajamarca Quechua,5,3238
call1235,Callawalla,7,2399
cams1241,Camsá,7,2387
cand1248,Candoshi-Shapra,7,145
cane1242,Canela-Krahô,3,298
capa1241,Capanahua,5,189
caqu1242,Caquinte,7,795
cara1272,Carapana,4,126
cari1279,Carijona,5,228
cash1251,Cashibo-Cacataibo,5,285
cash1254,Cashinahua,5,279
cavi1250,Cavineña,6,173
cayu1262,Cayubaba,5,141
cent2142,Central Aymara,14,4210
cent2150,Central Tunebo,4,560
chac1249,Cha'palaa,9,122
chac1250,Chachapoyas Quechua,5,2477
chac1251,Chácobo,4,185
cham1315,Chamacoco,7,91
cham1318,Chamicuro,6,129
chay1248,Shawi,4,1083
chib1270,Chibcha,6,212
chim1309,Chimila,6,193
chip1262,Chipaya,12,3721
chiq1248,Chiquitano,4,315
chir1286,Chiripá,4,202
chol1284,Cholón,5,694
coca1259,Cocama-Cocamilla,4,93
cofa1242,Cofán,9,342
cogu1240,Cogui,8,1649
colo1256,Tsafiki,7,440
coro1247,Corongo Ancash Quechua,6,3515
cube1242,Cubeo,4,192
cuib1242,Cuiba,6,98
culi1244,Culina,8,224
curr1243,Curripaco,10,98
cusc1236,Cusco Quechua,7,4573
daww1239,Dâw,5,115
deni1241,Deni,8,144
desa1247,Desano,4,149
djeo1235,Djeoromitxí,5,164
east2555,Eastern Bolivian Guaraní,8,272
embe1259,Emberá-Baudó,9,263
embe1260,Emberá-Catío,8,14
embe1262,Emberá-Chamí,7,1906
emer1243,Teko,5,168
enap1235,Panare,5,52
enaw1238,Enawené-Nawé,6,371
epen1239,Epena,6,22
esee1248,Ese Ejja,9,221
fuln1247,Fulniô,7,391
gali1262,Galibi Carib,11,6
gavi1246,Gavião Do Jiparaná,7,232
guah1255,Guahibo,8,88
guaj1255,Guajajára,5,308
guaj1256,Guajá,3,138
guam1248,Guambiano,6,1725
guan1269,Kotiria,5,143
guan1270,Kinikinao,5,366
guar1292,Guarayu,4,353
guar1293,Baniva de Maroa,5,109
guat1253,Guató,4,101
guay1257,Guayabero,6,177
hixk1239,Hixkaryána,7,341
hual1241,Huallaga Huánuco Quechua,5,1221
huam1247,Huambisa,5,1193
hupd1244,Hupdë,3,156
igna1246,Ignaciano,5,159
ikpe1245,Ikpeng,4,335
imba1240,Imbabura Highland Quichua,6,3424
inap1243,Iñapari,5,278
inga1252,Inga,7,2471
iqui1243,Iquito,4,135
iran1263,Irántxe-Münkü,7,403
iton1250,Itonama,8,169
iyow1239,Iyo'wujwa Chorote,7,269
jama1261,Madi,9,96
japr1238,Japrería,4,859
jaqa1244,Jaqaru,13,2766
jauj1238,Jauja Wanca Quechua,5,4697
jebe1250,Jebero,7,242
juma1249,Júma,3,68
jung1240,Jungle Inga,5,371
juru1256,Jurúna,7,315
kadi1248,Kadiwéu,7,86
kain1272,Kaingang,3,662
kaiw1246,Kaiwá,3,306
kama1373,Kamayurá,4,311
kano1245,Kanoê,4,142
kara1500,Karajá,5,184
kari1255,Karirí-Xocó,7,163
kari1311,Karitiâna,4,125
kaxa1239,Kaxararí,6,157
kaxu1237,Kaxuiâna,4,346
kaya1329,Kayabí,4,345
kaya1330,Kayapó,4,403
kore1283,Koreguaje,5,245
koru1247,Korubo,5,145
krah1246,Krahô,4,231
kren1239,Krenak,5,188
krik1239,Krikati-Timbira,3,332
kuik1246,Kuikúro-Kalapálo,6,283
kunz1244,Kunza,7,2621
kuru1309,Kuruáya,6,149
kwaz1243,Kwaza,7,176
lamb1276,Lambayeque Quechua,5,1886
latu1238,Latundê,4,480
leco1242,Leco,10,496
maca1259,Macaguán,6,150
maca1260,Maca,8,70
mach1267,Machiguenga,7,2191
mach1268,Machinere,5,249
macu1259,Macushi,4,387
macu1260,Macuna,4,169
maku1278,Makuráp,3,193
mala1522,Malayo,8,2877
mama1278,Mamaindé,5,578
