Glottocode,language,labiodental,elevation
ache1246,Aché,1,158
ajyi1238,Ajyíninka Apurucayali,1,500
apin1244,Apinayé,1,229
baur1253,Baure,1,137
cacu1241,Kakua,1,155
cent2142,Central Aymara,1,4210
cofa1242,Cofán,2,342
guat1253,Guató,2,101
igna1246,Ignaciano,1,159
japr1238,Japrería,1,859
maca1260,Maca,1,70
mapu1245,Mapudungun,1,1538
mato1253,Mato Grosso Arára,1,138
mose1249,Mosetén-Chimané,6,385
nuku1263,Nukuini,2,244
para1311,Paraguayan Guaraní,1,184
qawa1238,Qawasqar,1,80
shal1242,Shall-Zwall,1,578
shar1245,Sharanahua,1,329
xokl1240,Xokleng,1,794
yano1262,Yanomámi,1,341
yukp1241,Yukpa,1,1989
