Glottocode,language,sonorant,elevation
abip1241,Abipon,15,65
abis1238,Aewa,16,216
acha1250,Achagua,16,168
ache1246,Aché,18,158
achu1248,Achuar-Shiwiar,18,251
agua1253,Aguaruna,11,1526
aika1237,Aikanã,17,520
ajyi1238,Ajyíninka Apurucayali,15,500
akaw1239,Akawaio,16,970
akun1241,Akuntsu,17,352
akur1238,Akurio,19,205
amah1246,Amahuaca,13,429
amar1274,Amarakaeri,24,266
amun1246,Amundava,18,115
ando1255,Andoa,15,225
ando1256,Andoque,26,181
apal1257,Apalaí,17,354
apia1248,Apiaká,16,142
apin1244,Apinayé,24,229
apur1254,Apurinã,26,138
arab1268,Arabela,18,182
arao1248,Araona,10,199
araw1273,Araweté,14,207
araw1276,Lokono,12,7
arhu1242,Arhuaco,10,3650
arik1265,Arikapú,19,191
asha1243,Asháninka,13,497
ashe1272,Ashéninka Perené,18,956
avac1239,Avá-Canoeiro,18,540
awac1239,Awa-Cuaiquer,16,453
awet1244,Awetí,19,297
ayac1239,Ayacucho Quechua,10,3504
ayor1240,Ayoreo,20,235
baka1277,Bakairí,38,428
bani1255,Baniwa do Icana,29,152
bara1380,Barasana-Eduria,8,238
bare1276,Baré,12,100
bari1297,Barí,16,87
baur1253,Baure,9,137
bora1263,Bora,18,70
bord1248,Border Kuna,14,460
boro1282,Bororo,12,180
cabi1241,Cabiyarí,10,185
cacu1241,Kakua,13,155
caja1238,Cajamarca Quechua,10,3238
call1235,Callawalla,14,2399
cams1241,Camsá,14,2387
cand1248,Candoshi-Shapra,11,145
cane1242,Canela-Krahô,23,298
capa1241,Capanahua,13,189
caqu1242,Caquinte,16,795
cara1272,Carapana,15,126
cari1279,Carijona,12,228
cash1251,Cashibo-Cacataibo,11,285
cash1254,Cashinahua,12,279
cavi1250,Cavineña,11,173
cayu1262,Cayubaba,21,141
cent2142,Central Aymara,26,4210
cent2150,Central Tunebo,11,560
chac1249,Cha'palaa,12,122
chac1250,Chachapoyas Quechua,11,2477
chac1251,Chácobo,8,185
cham1315,Chamacoco,22,91
cham1318,Chamicuro,18,129
chay1248,Shawi,9,1083
chib1270,Chibcha,11,212
chim1309,Chimila,27,193
chip1262,Chipaya,19,3721
chiq1248,Chiquitano,16,315
chir1286,Chiripá,16,202
chol1284,Cholón,13,694
coca1259,Cocama-Cocamilla,10,93
cofa1242,Cofán,17,342
cogu1240,Cogui,18,1649
colo1256,Tsafiki,16,440
coro1247,Corongo Ancash Quechua,14,3515
cube1242,Cubeo,10,192
cuib1242,Cuiba,13,98
culi1244,Culina,8,224
curr1243,Curripaco,13,98
cusc1236,Cusco Quechua,13,4573
daww1239,Dâw,27,115
deni1241,Deni,8,144
desa1247,Desano,10,149
djeo1235,Djeoromitxí,15,164
east2555,Eastern Bolivian Guaraní,29,272
embe1259,Emberá-Baudó,19,263
embe1260,Emberá-Catío,17,14
embe1262,Emberá-Chamí,18,1906
emer1243,Teko,17,168
enap1235,Panare,13,52
enaw1238,Enawené-Nawé,19,371
epen1239,Epena,25,22
esee1248,Ese Ejja,18,221
fuln1247,Fulniô,18,391
gali1262,Galibi Carib,33,6
gavi1246,Gavião Do Jiparaná,17,232
guah1255,Guahibo,24,88
guaj1255,Guajajára,14,308
guaj1256,Guajá,17,138
guam1248,Guambiano,13,1725
guan1269,Kotiria,15,143
guan1270,Kinikinao,16,366
guar1292,Guarayu,17,353
guar1293,Baniva de Maroa,14,109
guat1253,Guató,12,101
guay1257,Guayabero,12,177
hixk1239,Hixkaryána,12,341
hual1241,Huallaga Huánuco Quechua,14,1221
huam1247,Huambisa,14,1193
hupd1244,Hupdë,19,156
igna1246,Ignaciano,9,159
ikpe1245,Ikpeng,13,335
imba1240,Imbabura Highland Quichua,10,3424
inap1243,Iñapari,25,278
inga1252,Inga,11,2471
iqui1243,Iquito,13,135
iran1263,Irántxe-Münkü,29,403
iton1250,Itonama,12,169
iyow1239,Iyo'wujwa Chorote,10,269
jama1261,Madi,20,96
japr1238,Japrería,12,859
jaqa1244,Jaqaru,15,2766
jauj1238,Jauja Wanca Quechua,14,4697
jebe1250,Jebero,13,242
juma1249,Júma,18,68
jung1240,Jungle Inga,9,371
juru1256,Jurúna,15,315
kadi1248,Kadiwéu,18,86
kain1272,Kaingang,10,662
kaiw1246,Kaiwá,18,306
kama1373,Kamayurá,18,311
kano1245,Kanoê,20,142
kara1500,Karajá,18,184
kari1255,Karirí-Xocó,12,163
kari1311,Karitiâna,26,125
kaxa1239,Kaxararí,10,157
kaxu1237,Kaxuiâna,11,346
kaya1329,Kayabí,18,345
kaya1330,Kayapó,24,403
kore1283,Koreguaje,18,245
koru1247,Korubo,10,145
krah1246,Krahô,40,231
kren1239,Krenak,24,188
krik1239,Krikati-Timbira,20,332
kuik1246,Kuikúro-Kalapálo,18,283
kunz1244,Kunza,15,2621
kuru1309,Kuruáya,16,149
kwaz1243,Kwaza,23,176
lamb1276,Lambayeque Quechua,10,1886
latu1238,Latundê,21,480
leco1242,Leco,13,496
maca1259,Macaguán,12,150
maca1260,Maca,15,70
mach1267,Machiguenga,16,2191
mach1268,Machinere,10,249
macu1259,Macushi,17,387
macu1260,Macuna,15,169
maku1278,Makuráp,16,193
mala1522,Malayo,14,2877
mama1278,Mamaindé,25,578
mapo1246,Mapoyo,13,200
mapu1245,Mapudungun,16,1538
maqu1238,Maquiritari,20,1193
mati1255,Matís,10,76
mato1253,Mato Grosso Arára,21,138
mats1244,Matsés,10,151
maxa1247,Maxakalí,14,294
mbya1239,Mbyá Guaraní,19,524
mehi1240,Mehináku,16,314
mini1256,Minica Huitoto,11,162
moch1259,Mochica,21,379
moco1246,Mocoví,16,64
mose1249,Mosetén-Chimané,70,385
movi1243,Movima,17,146
muin1242,Muinane,12,177
mund1330,Mundurukú,26,108
muni1258,Muniche,12,182
muru1274,Murui Huitoto,10,165
nade1244,Nadëb,24,79
nant1250,Nanti,16,1607
napo1242,Napo Lowland Quechua,11,262
nhen1239,Nhengatu,10,109
nina1238,Ninam,10,575
niva1238,Nivaclé,11,209
noma1263,Nomatsiguenga,15,890
nonu1241,Nonuya,10,155
nort2972,Northern Emberá,18,234
nort2976,North Bolivian Quechua,11,2814
nort2979,Northern Conchucos Ancash Quechua,14,3530
nort2980,North Junín Quechua,42,4270
nucl1668,Katukína,12,174
nuka1242,Nukak Makú,14,227
nuku1263,Nukuini,12,244
ocai1244,Ocaina,16,114
ofay1240,Ofayé,14,344
olub1238,Olu'bo,10,721
omag1248,Omagua,10,71
onaa1245,Selk'nam,14,108
orej1242,Maijiki,8,144
orow1243,Oro Win,11,381
paca1246,Pacahuara,9,152
paez1247,Páez,23,3472
pait1247,Pai Tavytera,19,284
pali1279,Palikúr,14,42
pana1307,Panará,20,309
pano1254,Panoan Katukína,9,239
pano1255,Panobo,9,534
para1310,Pará Arára,13,181
para1311,Paraguayan Guaraní,15,184
para1312,Parakanã,9,177
para1315,Pará Gavião,36,128
para1316,Paraujano,19,65
pare1272,Parecís,10,384
paum1247,Paumari,10,41
pemo1245,Pémono,13,169
pemo1248,Pemon,28,838
piap1246,Piapoco,9,126
piar1243,Piaroa,12,92
pich1237,Pichis Ashéninka,19,1033
pila1245,Pilagá,11,119
pira1253,Pirahã,3,75
pira1254,Wa'ikhana,15,143
pisa1245,Pisamira,7,181
poya1241,Poyanáwa,10,215
puel1244,Puelche,14,121
puin1248,Puinave,13,77
pume1238,Pumé,22,53
puri1262,Puri,11,1737
qawa1238,Qawasqar,23,80
resi1247,Resígaro,12,127
reye1240,Reyesano,10,254
rikb1245,Rikbaktsa,20,248
saba1268,Sabanê,8,312
saki1248,Mekens,17,156
sala1272,Salasaca Highland Quichua,10,2483
sali1298,Sáliba,15,119
sanm1289,San Martín Quechua,10,950
sant1432,Santiago del Estero Quichua,12,138
sanu1240,Sanumá,42,121
saop1235,São Paulo Kaingáng,21,736
sate1243,Sateré-Mawé,21,58
seco1241,Secoya,16,211
shal1242,Shall-Zwall,9,578
shar1245,Sharanahua,24,329
shua1257,Shuar,13,1256
sian1254,Siang,8,52
sion1247,Siona-Tetete,16,236
siri1273,Sirionó,20,182
siri1274,Siriano,15,186
suru1262,Suruí,18,204
suru1263,Suruahá,11,124
suya1243,Suyá,44,283
taca1256,Tacana,9,207
tani1257,Tanimuca-Retuarã,13,128
tapi1253,Tapieté,14,304
tapi1254,Tapirapé,16,181
tari1256,Tariana,26,114
tatu1247,Tatuyo,9,219
taus1253,Taushiro,10,212
tehu1242,Tehuelche,12,299
temb1276,Tenetehara,13,54
tena1240,Tena Lowland Quichua,11,978
tenh1241,Tenharim-Parintintin-Diahoi,18,96
tere1279,Terena-Kinikinao-Chane,16,233
ticu1245,Ticuna,24,150
tini1245,Tinigua,22,264
toba1269,Toba,32,139
toca1235,Tocantins Asurini,9,99
trin1274,Trinitario,18,165
trio1238,Trió,19,638
trum1247,Trumai,12,284
tuca1252,Tucano,15,144
tupa1250,Tuparí,21,247
tupi1273,Tupinambá,18,70
tuyu1244,Tuyuca,15,182
