Glottocode,language,spreadGlottis,elevation
abip1241,Abipon,1,65
abis1238,Aewa,1,216
acha1250,Achagua,1,168
agua1253,Aguaruna,1,1526
ajyi1238,Ajyíninka Apurucayali,4,500
amah1246,Amahuaca,1,429
amun1246,Amundava,1,115
ando1255,Andoa,1,225
ando1256,Andoque,1,181
apia1248,Apiaká,1,142
apur1254,Apurinã,1,138
arab1268,Arabela,3,182
arao1248,Araona,1,199
araw1273,Araweté,1,207
araw1276,Lokono,3,7
arik1265,Arikapú,1,191
asha1243,Asháninka,1,497
ashe1272,Ashéninka Perené,2,956
awac1239,Awa-Cuaiquer,1,453
ayac1239,Ayacucho Quechua,1,3504
ayor1240,Ayoreo,1,235
baka1277,Bakairí,2,428
bani1255,Baniwa do Icana,2,152
bara1380,Barasana-Eduria,1,238
bare1276,Baré,4,100
bari1297,Barí,1,87
baur1253,Baure,1,137
bora1263,Bora,10,70
cabi1241,Cabiyarí,1,185
cacu1241,Kakua,1,155
call1235,Callawalla,5,2399
cand1248,Candoshi-Shapra,1,145
cane1242,Canela-Krahô,1,298
capa1241,Capanahua,1,189
caqu1242,Caquinte,1,795
cara1272,Carapana,1,126
cari1279,Carijona,1,228
cash1254,Cashinahua,1,279
cavi1250,Cavineña,1,173
cent2142,Central Aymara,11,4210
cent2150,Central Tunebo,1,560
chac1251,Chácobo,1,185
cham1315,Chamacoco,1,91
cham1318,Chamicuro,1,129
chay1248,Shawi,1,1083
chib1270,Chibcha,1,212
chim1309,Chimila,1,193
chip1262,Chipaya,7,3721
cofa1242,Cofán,5,342
cogu1240,Cogui,1,1649
colo1256,Tsafiki,1,440
coro1247,Corongo Ancash Quechua,1,3515
cube1242,Cubeo,1,192
cuib1242,Cuiba,4,98
culi1244,Culina,5,224
curr1243,Curripaco,4,98
cusc1236,Cusco Quechua,6,4573
daww1239,Dâw,1,115
deni1241,Deni,5,144
desa1247,Desano,1,149
djeo1235,Djeoromitxí,1,164
embe1259,Emberá-Baudó,4,263
embe1260,Emberá-Catío,6,14
emer1243,Teko,1,168
enaw1238,Enawené-Nawé,1,371
epen1239,Epena,4,22
esee1248,Ese Ejja,2,221
fuln1247,Fulniô,5,391
gali1262,Galibi Carib,1,6
guah1255,Guahibo,2,88
guaj1255,Guajajára,1,308
guaj1256,Guajá,1,138
guan1269,Kotiria,4,143
