,language,advancedTongueRoot,elevation
cent1989,Central Khmer,5,26
0,Korean,0,154
1,Ket,0,176
2,Lak,0,2018
3,Kabardian,0,1234
4,Georgian,0,1338
5,Burushaski,0,3309
6,Kurukh,0,284
7,Telugu,0,440
8,Kota (India),0,1456
9,Mundari,0,50
10,Kharia,0,376
11,Khasi,0,38
12,Sedang,0,1287
13,Vietnamese,0,8
14,Mandarin Chinese,0,88
15,Wu Chinese,0,205
16,Hakka Chinese,0,365
17,Yue Chinese,0,-3
18,Iu Mien,0,1299
19,Nyishi-Hill Miri,0,996
20,Burmese,0,711
21,Lahu,0,1476
22,Garo,0,114
23,S'gaw Karen,0,246
24,Lakkia,0,767
25,Thai,0,3
26,Bouyei,0,774
27,Western Cham,0,35
28,Atayal,0,1882
29,Plateau Malagasy,0,1653
30,Standard Malay,0,54
31,Batak Toba,0,948
32,Sa'ban,0,1002
33,Sundanese,0,493
34,Javanese,0,112
35,Tagalog,0,93
36,Chamorro,0,69
37,Iaai,0,21
39,Adzera,0,207
40,Maori,0,451
41,Hawaiian,0,2020
42,Antakarinya,0,178
43,Nyangumarta,0,260
44,Kunjen,0,162
45,Maranunggu,0,23
46,Mawng,0,28
47,Wubuy,0,6
48,Alawa,0,147
49,Wik-Mungkan,0,32
50,Sentani,0,74
51,Kwoma,0,31
52,Tamnim Citak,0,19
53,Telefol,0,2130
54,Gadsup,0,1311
55,Awiyaana,0,1917
56,Kunimaipa,0,1857
57,Selepet,0,759
58,Naasioi,0,1855
59,Aleut,0,82
60,Kalaallisut,0,0
61,Chipewyan,0,258
62,Tolowa-Chetco,0,81
63,Hupa,0,123
64,Navajo,0,2140
65,Northern Haida,0,80
66,Squamish,0,50
67,Northern Straits Salish,0,490
68,Nuu-chah-nulth,0,614
69,Kwak'wala,0,112
70,Eastern Ojibwa,0,213
71,Unami,0,415
72,Wichita,0,390
73,Lakota,0,834
74,Seneca,0,427
75,Oneida,0,375
76,Yuchi,0,247
77,Alabama,0,89
78,Tunica,0,40
79,Nez Perce,0,1041
80,Northeast Maidu,0,1271
81,Copainalá Zoque,0,526
82,Papantla Totonac,0,89
83,Tabasco Chontal,0,3
84,Tzeltal,0,2091
85,Purepecha,0,2340
86,Karok,0,676
87,Southeastern Pomo,0,439
88,Tipai,0,297
89,Zuni,0,2210
90,Southern Tiwa,0,1532
91,Rio Grande Tewa,0,1687
92,Luiseno,0,742
93,Hopi,0,1713
94,Tohono O'odham,0,640
95,Mezquital Otomi,0,2391
96,Central Mazahua,0,2941
97,Chiquihuitlán Mazatec,0,1897
98,San Miguel El Grande Mixtec,0,2279
99,Cha'palaa,0,122
100,Páez,0,3472
101,Itonama,0,169
102,South Bolivian Quechua,0,4156
103,Jaqaru,0,2766
104,Mapudungun,0,1538
105,Island Carib,0,758
106,Wapishana,0,130
107,Wayuu,0,37
108,Asháninka,0,497
109,Ignaciano,0,159
110,Yanesha',0,2474
111,Shuar,0,1256
112,Waimaha,0,167
113,Ticuna,0,150
114,Galibi Carib,0,6
115,Ocaina,0,114
116,Sirionó,0,182
117,Paraguayan Guaraní,0,184
118,Amahuaca,0,429
119,Chácobo,0,185
120,Apinayé,0,229
121,Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber,0,408
122,Hausa,0,600
123,Ngas,0,1130
124,Marghi Central,0,426
125,Somali,0,211
126,Awngi,0,2024
127,Iraqw,0,1767
128,Tigre,0,2112
129,Amharic,0,3440
130,Egyptian Arabic,0,6
131,Moroccan Arabic,0,352
132,Maltese,0,44
133,Modern Hebrew,0,515
135,Liberia Kpelle,0,285
136,Wolof,0,53
137,Dagbani,0,181
138,Akan,0,166
139,Ga,0,94
140,Ewe,0,114
141,Igbo,0,8
142,Beembe,0,358
143,Swahili,0,200
144,Luvale,0,1078
145,Zulu,0,537
146,Gbaya-Bossangoa,0,476
147,Koyraboro Senni Songhai,0,261
148,Central Kanuri,0,314
149,Lugbara,0,1225
150,Nobiin,0,277
151,Luo (Kenya and Tanzania),0,1467
152,Masai,0,1187
154,Irish,0,88
155,Breton,0,143
156,Icelandic,0,0
157,Norwegian Bokmål,0,20
158,English,0,22
159,German,0,368
160,French,0,124
161,Portuguese,0,445
162,Spanish,0,1202
163,Romanian,0,348
164,Russian,0,185
165,Bulgarian,0,98
166,Lithuanian,0,54
167,Northern Tosk Albanian,0,88
168,Modern Greek,0,190
169,Eastern Armenian,0,1912
170,Western Farsi,0,2174
171,Central Pashto,0,1057
172,Kashmiri,0,1623
173,Eastern Panjabi,0,227
174,Hindi,0,416
175,Bengali,0,8
176,Sinhala,0,51
177,Basque,0,362
178,Finnish,0,66
179,Eastern Mari,0,45
180,Komi-Zyrian,0,125
181,Hungarian,0,110
182,Kazym-Berezover-Suryskarer Khanty,0,54
183,Tundra Nenets,0,0
184,Turkish,0,1138
185,North Azerbaijani,0,276
186,Kirghiz,0,3699
187,Chuvash,0,95
188,Sakha,0,875
189,Halh Mongolian,0,1305
190,Even,0,0
191,Northern Yukaghir,0,0
192,Nivkh,0,365
193,Chukchi,0,0
194,Hokkaido Ainu,0,216
195,Japanese,0,127
