Glottocode,language,anterior,elevation
adze1240,Adzera,7,207
ainu1240,Hokkaido Ainu,4,216
akan1250,Akan,6,166
alab1237,Alabama,5,89
alaw1244,Alawa,9,147
aleu1260,Aleut,7,82
amah1246,Amahuaca,5,429
amha1245,Amharic,18,3440
anta1253,Antakarinya,7,178
apin1244,Apinayé,3,229
asha1243,Asháninka,7,497
atay1247,Atayal,6,1882
awiy1238,Awiyaana,4,1917
awng1244,Awngi,8,2024
basq1248,Basque,8,362
bata1289,Batak Toba,5,948
beem1239,Beembe,7,358
beng1280,Bengali,11,8
bouy1240,Bouyei,8,774
bret1244,Breton,7,143
bulg1262,Bulgarian,17,98
buru1296,Burushaski,10,3309
cent1973,Central Pashto,9,1057
cent1989,Central Khmer,6,26
cent2050,Central Kanuri,7,314
cent2144,Central Mazahua,15,2941
chac1249,Cha'palaa,9,122
chac1251,Chácobo,5,185
cham1312,Chamorro,12,69
chip1261,Chipewyan,20,258
chiq1250,Chiquihuitlán Mazatec,11,1897
chuk1273,Chukchi,5,0
chuv1255,Chuvash,14,95
copa1236,Copainalá Zoque,10,526
dagb1246,Dagbani,6,181
east2328,Eastern Mari,10,45
east2542,Eastern Ojibwa,6,213
egyp1253,Egyptian Arabic,25,6
even1260,Even,7,0
ewee1241,Ewe,9,114
finn1318,Finnish,11,66
gaaa1244,Ga,8,94
gads1258,Gadsup,3,1311
gali1262,Galibi Carib,5,6
garo1247,Garo,10,114
gbay1287,Gbaya-Bossangoa,10,476
gily1242,Nivkh,10,365
hakk1236,Hakka Chinese,8,365
halh1238,Halh Mongolian,9,1305
haus1257,Hausa,10,600
hawa1245,Hawaiian,3,2020
hebr1245,Modern Hebrew,7,515
hind1269,Hindi,20,416
hopi1249,Hopi,9,1713
hung1274,Hungarian,18,110
hupa1239,Hupa,11,123
iaai1238,Iaai,9,21
icel1247,Icelandic,10,0
igna1246,Ignaciano,8,159
iraq1241,Iraqw,11,1767
iris1253,Irish,19,88
isla1278,Island Carib,6,758
iton1250,Itonama,8,169
iumi1238,Iu Mien,12,1299
jaqa1244,Jaqaru,10,2766
java1254,Javanese,11,112
kaba1278,Kabardian,15,1234
kala1399,Kalaallisut,9,0
karo1304,Karok,9,676
kash1277,Kashmiri,10,1623
kett1243,Ket,10,176
khan1273,Kazym-Berezover-Suryskarer Khanty,5,54
khar1287,Kharia,8,376
khas1269,Khasi,6,38
kirg1245,Kirghiz,8,3699
komi1268,Komi-Zyrian,8,125
kore1280,Korean,7,154
kota1263,Kota (India),7,1456
koyr1242,Koyraboro Senni Songhai,14,261
kumi1248,Tipai,12,297
kuni1267,Kunimaipa,6,1857
kunj1245,Kunjen,9,162
kuru1302,Kurukh,13,284
kwak1269,Kwak'wala,17,112
kwom1262,Kwoma,5,31
lahu1253,Lahu,5,1476
lakk1238,Lakkia,9,767
lakk1252,Lak,16,2018
lako1247,Lakota,7,834
libe1247,Liberia Kpelle,9,285
lith1251,Lithuanian,15,54
lugb1240,Lugbara,11,1225
luis1253,Luiseno,6,742
luok1236,Luo (Kenya and Tanzania),8,1467
luva1239,Luvale,6,1078
malt1254,Maltese,18,44
mand1415,Mandarin Chinese,15,88
maor1246,Maori,3,451
mapu1245,Mapudungun,8,1538
mara1386,Maranunggu,6,23
marg1265,Marghi Central,12,426
masa1300,Masai,7,1187
maun1240,Mawng,6,28
mezq1235,Mezquital Otomi,13,2391
mode1248,Modern Greek,11,190
moro1292,Moroccan Arabic,26,352
mund1320,Mundari,8,50
naas1242,Naasioi,3,1855
nava1243,Navajo,15,2140
nene1249,Tundra Nenets,14,0
nezp1238,Nez Perce,10,1041
ngas1240,Ngas,8,1130
nobi1240,Nobiin,12,277
nort2697,North Azerbaijani,7,276
nort2745,Northern Yukaghir,7,0
nort2938,Northern Haida,12,80
nort2952,Northeast Maidu,6,1271
norw1259,Norwegian Bokmål,7,20
nucl1235,Eastern Armenian,11,1912
nucl1301,Turkish,7,1138
nucl1302,Georgian,11,1338
nucl1310,Burmese,13,711
nucl1347,Wolof,8,53
nucl1417,Igbo,11,8
nucl1632,Sentani,3,74
nucl1643,Japanese,9,127
nung1290,Wubuy,9,6
nuuc1236,Nuu-chah-nulth,10,614
nyan1301,Nyangumarta,7,260
nyis1236,Nyishi-Hill Miri,6,996
ocai1244,Ocaina,9,114
onei1249,Oneida,4,375
paez1247,Páez,11,3472
panj1256,Eastern Panjabi,14,227
papa1238,Papantla Totonac,7,89
para1311,Paraguayan Guaraní,8,184
plat1254,Plateau Malagasy,13,1653
port1283,Portuguese,7,445
pure1242,Purepecha,9,2340
roma1327,Romanian,8,348
russ1263,Russian,15,185
saba1265,Sa'ban,14,1002
sanm1295,San Miguel El Grande Mixtec,6,2279
seda1262,Sedang,14,1287
sele1250,Selepet,6,759
sene1264,Seneca,4,427
sgaw1245,S'gaw Karen,9,246
shua1257,Shuar,6,1256
sinh1246,Sinhala,11,51
siri1273,Sirionó,7,182
soma1255,Somali,10,211
sout2961,Southern Tiwa,9,1532
sout2982,Southeastern Pomo,11,439
sout2991,South Bolivian Quechua,9,4156
squa1248,Squamish,9,50
stan1288,Spanish,8,1202
stan1290,French,7,124
stan1293,English,8,22
stan1295,German,7,368
stan1306,Standard Malay,7,54
stra1244,Northern Straits Salish,11,490
sund1252,Sundanese,6,493
swah1253,Swahili,11,200
taba1266,Tabasco Chontal,10,3
taga1270,Tagalog,6,93
tamn1235,Tamnim Citak,5,19
tari1263,Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber,20,408
tele1256,Telefol,5,2130
telu1262,Telugu,16,440
tewa1260,Rio Grande Tewa,11,1687
thai1261,Thai,7,3
ticu1245,Ticuna,5,150
tigr1270,Tigre,18,2112
toho1245,Tohono O'odham,6,640
tolo1259,Tolowa-Chetco,9,81
tosk1239,Northern Tosk Albanian,13,88
tuni1252,Tunica,6,40
tzel1254,Tzeltal,10,2091
unam1242,Unami,7,415
viet1252,Vietnamese,7,8
waim1255,Waimaha,4,167
wapi1253,Wapishana,6,130
wayu1243,Wayuu,10,37
west2369,Western Farsi,7,2174
west2650,Western Cham,6,35
wich1260,Wichita,11,390
wikm1247,Wik-Mungkan,6,32
wuch1236,Wu Chinese,11,205
yaku1245,Sakha,11,875
yane1238,Yanesha',6,2474
yuch1247,Yuchi,16,247
yuec1235,Yue Chinese,5,-3
zulu1248,Zulu,15,537
zuni1245,Zuni,16,2210
