Glottocode,language,approximant,elevation
adze1240,Adzera,10,207
ainu1240,Hokkaido Ainu,8,216
akan1250,Akan,19,166
alab1237,Alabama,9,89
alaw1244,Alawa,12,147
aleu1260,Aleut,12,82
amah1246,Amahuaca,11,429
amha1245,Amharic,13,3440
anta1253,Antakarinya,13,178
apin1244,Apinayé,36,229
asha1243,Asháninka,7,497
atay1247,Atayal,12,1882
awiy1238,Awiyaana,9,1917
awng1244,Awngi,11,2024
basq1248,Basque,9,362
bata1289,Batak Toba,9,948
beem1239,Beembe,23,358
beng1280,Bengali,25,8
bouy1240,Bouyei,11,774
bret1244,Breton,23,143
bulg1262,Bulgarian,17,98
buru1296,Burushaski,16,3309
cent1973,Central Pashto,12,1057
cent1989,Central Khmer,25,26
cent2050,Central Kanuri,11,314
cent2144,Central Mazahua,22,2941
chac1249,Cha'palaa,9,122
chac1251,Chácobo,7,185
cham1312,Chamorro,11,69
chip1261,Chipewyan,22,258
chiq1250,Chiquihuitlán Mazatec,12,1897
chuk1273,Chukchi,9,0
chuv1255,Chuvash,18,95
copa1236,Copainalá Zoque,13,526
dagb1246,Dagbani,14,181
east2328,Eastern Mari,13,45
east2542,Eastern Ojibwa,12,213
egyp1253,Egyptian Arabic,17,6
even1260,Even,21,0
ewee1241,Ewe,18,114
finn1318,Finnish,21,66
gaaa1244,Ga,19,94
gads1258,Gadsup,7,1311
gali1262,Galibi Carib,15,6
garo1247,Garo,9,114
gbay1287,Gbaya-Bossangoa,17,476
gily1242,Nivkh,16,365
hakk1236,Hakka Chinese,10,365
halh1238,Halh Mongolian,18,1305
haus1257,Hausa,16,600
hawa1245,Hawaiian,12,2020
hebr1245,Modern Hebrew,8,515
hind1269,Hindi,33,416
hopi1249,Hopi,23,1713
hung1274,Hungarian,22,110
hupa1239,Hupa,10,123
iaai1238,Iaai,23,21
icel1247,Icelandic,22,0
igna1246,Ignaciano,8,159
iraq1241,Iraqw,16,1767
iris1253,Irish,36,88
isla1278,Island Carib,17,758
iton1250,Itonama,10,169
iumi1238,Iu Mien,13,1299
jaqa1244,Jaqaru,11,2766
java1254,Javanese,13,112
kaba1278,Kabardian,10,1234
kala1399,Kalaallisut,7,0
karo1304,Karok,14,676
kash1277,Kashmiri,33,1623
kett1243,Ket,16,176
khan1273,Kazym-Berezover-Suryskarer Khanty,19,54
khar1287,Kharia,15,376
khas1269,Khasi,11,38
kirg1245,Kirghiz,19,3699
komi1268,Komi-Zyrian,11,125
kore1280,Korean,21,154
kota1263,Kota (India),16,1456
koyr1242,Koyraboro Senni Songhai,22,261
kumi1248,Tipai,15,297
kuni1267,Kunimaipa,8,1857
kunj1245,Kunjen,10,162
kuru1302,Kurukh,31,284
kwak1269,Kwak'wala,16,112
kwom1262,Kwoma,10,31
lahu1253,Lahu,12,1476
lakk1238,Lakkia,27,767
lakk1252,Lak,13,2018
lako1247,Lakota,11,834
libe1247,Liberia Kpelle,15,285
lith1251,Lithuanian,16,54
lugb1240,Lugbara,17,1225
luis1253,Luiseno,15,742
luok1236,Luo (Kenya and Tanzania),13,1467
luva1239,Luvale,14,1078
malt1254,Maltese,18,44
mand1415,Mandarin Chinese,18,88
maor1246,Maori,12,451
mapu1245,Mapudungun,12,1538
mara1386,Maranunggu,10,23
marg1265,Marghi Central,11,426
masa1300,Masai,25,1187
maun1240,Mawng,12,28
mezq1235,Mezquital Otomi,20,2391
mode1248,Modern Greek,8,190
moro1292,Moroccan Arabic,16,352
mund1320,Mundari,10,50
naas1242,Naasioi,11,1855
nava1243,Navajo,20,2140
nene1249,Tundra Nenets,14,0
nezp1238,Nez Perce,16,1041
ngas1240,Ngas,15,1130
nobi1240,Nobiin,18,277
nort2697,North Azerbaijani,11,276
nort2745,Northern Yukaghir,17,0
nort2938,Northern Haida,9,80
nort2952,Northeast Maidu,9,1271
norw1259,Norwegian Bokmål,27,20
nucl1235,Eastern Armenian,11,1912
nucl1301,Turkish,20,1138
nucl1302,Georgian,9,1338
nucl1310,Burmese,18,711
nucl1347,Wolof,19,53
nucl1417,Igbo,21,8
nucl1632,Sentani,10,74
nucl1643,Japanese,14,127
nung1290,Wubuy,12,6
nuuc1236,Nuu-chah-nulth,14,614
nyan1301,Nyangumarta,14,260
nyis1236,Nyishi-Hill Miri,12,996
ocai1244,Ocaina,11,114
onei1249,Oneida,15,375
paez1247,Páez,15,3472
panj1256,Eastern Panjabi,27,227
papa1238,Papantla Totonac,9,89
para1311,Paraguayan Guaraní,16,184
plat1254,Plateau Malagasy,9,1653
port1283,Portuguese,20,445
pure1242,Purepecha,10,2340
roma1327,Romanian,13,348
russ1263,Russian,10,185
saba1265,Sa'ban,15,1002
sanm1295,San Miguel El Grande Mixtec,12,2279
seda1262,Sedang,23,1287
sele1250,Selepet,10,759
sene1264,Seneca,18,427
sgaw1245,S'gaw Karen,13,246
shua1257,Shuar,11,1256
sinh1246,Sinhala,21,51
